epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,policy_ratio_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,action_dim,action_block_count,action_block_slices,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,sum_to_mean_scale_ratio,sum_to_blockmean_scale_ratio,mean_to_blockmean_scale_ratio,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_policy_update_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean,probe_policy_pairwise_kl_mean,probe_policy_pairwise_l1_mean,policy_logit_delta_mean,policy_logit_delta_std,selected_action_change_rate,top1_action_change_rate,top1_prob_delta_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,block_mean_ratio,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-157.27785496626092,1140.0167864067541,189.641793876796,9612983216.759508,4.2130535906428985,0.06795247726843388,142.50209830084427,1.185261211729974,13.590495453686776,0.4990709719225201,100,-0.1276248101145029,2.4232630491256715,30.20243458747864,30.20243458747864,-21.841066360473633,6.262200832366943,0.0,1.0,-22.253490447998047,6.308380126953125,-3.5762786065873797e-09,1.0,0.0,1.0,-0.0938347652554512,0.231362447142601,-0.06418944150209427,0.8741214871406555,0.0,0.0,0.0,-0.06418944150209427,0.0,0.6308380126953126,0.9358105659484863,0.22572503983974457,0.595738410949707,1.4641069173812866,0.5799999833106995,0.0,0.5799999833106995,0.0938347801566124,-0.03023570403456688,-0.1487828493118286,"{""negative"": {""count"": 100, ""max"": 1.4641069173812866, ""mean"": 0.9358105659484863, ""min"": 0.595738410949707, ""std"": 0.22572503983974457}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}",-2.2520341873168945,5.552698612213135,-0.031278252601623535,0.0771208181977272,-0.0938347652554512,0.231362447142601,0.9358105659484863,0.22572503983974457,71.99998119227796,23.999995827413542,0.33333331877323075,-21.841066360473633,6.262200920592779,-21.841066360473633,6.262200920592779,0.5463728551681147,0.13996604084968567,0.13996604084968567,0.3682546019554138,0.13996604084968567,0.3012772500514984,"{""0p5_to_1"": 649, ""1_to_2"": 19, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2935, ""neg_1_to_neg_0p5"": 688, ""neg_2_to_neg_1"": 36, ""zero_to_0p5"": 2873}",-9.585677146911621,1.22486412525177,1.9570419788360596,0.19559642672538757,0.14576101303100586,0.47040465474128723,0.19559642672538757,0.9999999403953552,4.68425178527832,-3.6842517852783203,0.4079832434654236,1.5140142440795898,-1.1060309410095215,-0.0010037681786343455,0.6982322335243225,0.30681365728378296,0.08720245212316513,0.22089457511901855,3.4712445735931396,0.6555382858499018,2.1268003771461372,0.21653100848197937,0.3633980453014374,0.14768022298812866,0.0,0.0,200,400,0.04594167321920395,0.28588351607322693,200,0,0.15303876996040344,0.0,42,42,1.082313247025013e-05,0.9015593528747559,0.8128217458724976,0.0,2.6737967345979996e-05,174,374,0.021845202893018723,0.25329434871673584,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\prediction_target_payload_epoch_00.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\probe_policy_update_payload_epoch_00.csv,-7.306884765625,2.0336947441101074,-10.085676193237305,0.3750457763671875,10.460721969604492,2.7365028858184814,2.1755690574645996,0.007490737829357386,0.09462825208902359,0.012465773150324821,0.1754462718963623,0.08203125,0.001953125,-0.003817497519776225
1,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,block_mean_ratio,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-149.69561276395257,1081.2165596142343,181.38029462716065,9124130182.800611,4.15707395093358,0.0670495798537674,135.15206995177928,1.1336268414197546,13.40991597075348,0.5016984215048393,100,-0.060572209348902104,1.0822299923747778,30.27767300605774,30.27767300605774,-26.222305297851562,7.366272926330566,-0.3051444888114929,1.026092767715454,-19.2486515045166,7.5017781257629395,7.748603536583687e-09,1.0,0.029999999329447746,0.9700000286102295,-0.4028779864311218,0.6177878975868225,-0.19463574886322021,0.801091194152832,0.5110170841217041,0.5913437604904175,0.2688037157058716,-0.21479113399982452,2.8695452213287354,0.750177812576294,0.8053642511367798,0.49609410762786865,0.11665231734514236,1.9904180765151978,0.9700000286102295,1.0,0.969072163105011,0.4028779864311218,-0.0303818192332983,-0.14722928404808044,"{""negative"": {""count"": 97, ""max"": 1.9904180765151978, ""mean"": 0.7852088809013367, ""min"": 0.11665231734514236, ""std"": 0.489487886428833}, ""positive"": {""count"": 3, ""max"": 1.5913437604904175, ""mean"": 1.4570547342300415, ""min"": 1.2688037157058716, ""std"": 0.13709354400634766}}",-9.669072151184082,14.826909065246582,-0.13429266214370728,0.20592929422855377,-0.4028779864311218,0.6177878975868225,0.8053642511367798,0.49609410762786865,71.99999108394552,23.999998885800355,0.33333334359309746,-24.031685829162598,7.178954165910427,-24.031685829162598,7.178954165910427,0.35083178536185744,0.24130603671073914,0.24130603671073914,0.3690052926540375,0.24130603671073914,0.5248039960861206,"{""0p5_to_1"": 800, ""1_to_2"": 53, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2757, ""neg_1_to_neg_0p5"": 743, ""neg_2_to_neg_1"": 63, ""zero_to_0p5"": 2784}",-23.76500701904297,6.455991268157959,0.037147365510463715,0.8992941379547119,0.7160274386405945,0.8467057943344116,0.8764257431030273,1.0528663396835327,0.4161488711833954,0.6367174386978149,0.391927033662796,0.20178602635860443,0.1901410073041916,-0.001491139642894268,0.7614284753799438,0.2771165370941162,0.0867018923163414,0.4145027697086334,3.321965456008911,1.0323006242317563,2.984246495907575,-0.007695099804550409,0.9846424460411072,0.8576289415359497,0.0,0.0008249999955296516,200,400,0.04473191499710083,0.282391220331192,200,0,0.15798766911029816,0.0,42,42,-0.008444673381745815,0.9126452803611755,0.8144326210021973,0.0,0.0002673796843737364,174,374,0.020746368914842606,0.24828320741653442,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\prediction_target_payload_epoch_01.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\probe_policy_update_payload_epoch_01.csv,-17.69925308227539,14.271849632263184,-26.280338287353516,22.598392486572266,48.87873077392578,6.176414489746094,12.538010597229004,0.003960581962019205,0.0682055726647377,-0.0007079715142026544,0.1248169019818306,0.0703125,0.010416666666666666,-0.0008107850444503129
2,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,block_mean_ratio,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-163.63440771958707,1185.634704424931,189.82898273557385,9625308468.510721,4.415527942555762,0.07121819262186713,148.20433805311637,1.1864311420973364,14.243638524373425,0.5031793366083641,100,-0.09023374607786536,0.49536891244351866,30.467296266555785,30.467296266555785,-36.543636322021484,11.836703300476074,-0.7749736905097961,1.0997244119644165,-16.5267391204834,12.578797340393066,1.2159347306806012e-07,1.0,0.10000000149011612,0.8999999761581421,-0.3778083324432373,0.5915825963020325,-0.1827828735113144,0.8215711712837219,0.4235379695892334,0.770913302898407,0.4283831715583801,-0.2812488079071045,13.509312629699707,1.2578797340393066,0.817217230796814,0.49810945987701416,0.1780831217765808,2.294034481048584,0.9900000095367432,1.0,0.9888888597488403,0.3778083920478821,-0.030594095587730408,-0.14479972422122955,"{""negative"": {""count"": 90, ""max"": 1.8336982727050781, ""mean"": 0.726763904094696, ""min"": 0.1780831217765808, ""std"": 0.4295787513256073}, ""positive"": {""count"": 10, ""max"": 2.294034481048584, ""mean"": 1.6312952041625977, ""min"": 1.2296806573867798, ""std"": 0.2897073030471802}}",-9.067400932312012,14.197981834411621,-0.1259361058473587,0.1971942037343979,-0.3778083324432373,0.5915825963020325,0.817217230796814,0.49810945987701416,72.00000282881201,24.000001138081647,0.333333320096878,-28.202335993448894,10.763336634689786,-28.202335993448894,10.763336634689786,0.39151100232560654,0.27576881647109985,0.27576881647109985,0.3700968027114868,0.27576881647109985,0.5923468470573425,"{""0p5_to_1"": 833, ""1_to_2"": 66, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2659, ""neg_1_to_neg_0p5"": 844, ""neg_2_to_neg_1"": 78, ""zero_to_0p5"": 2720}",-36.74140548706055,11.226115226745605,-0.7933480739593506,1.042995810508728,0.7153162956237793,0.8513190746307373,0.9484156370162964,1.2093937397003174,0.34463226795196533,0.864761471748352,0.4758690893650055,0.13734860718250275,0.33852046728134155,-0.002019578590989113,0.7561509609222412,0.32574301958084106,0.0863489955663681,0.44703009724617004,2.5947446823120117,1.6085259345980867,1.4999611688689942,0.024114545434713364,0.945844292640686,0.8419479131698608,0.0,0.00032500000088475645,200,400,0.046357981860637665,0.28623491525650024,200,0,0.1600930094718933,0.0,42,42,0.014615928754210472,0.9155085682868958,0.8180071115493774,0.0,0.0002673796843737364,174,374,0.02173180878162384,0.2505881190299988,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\prediction_target_payload_epoch_02.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\probe_policy_update_payload_epoch_02.csv,-27.976903915405273,20.671327590942383,-43.414337158203125,36.401790618896484,79.81612777709961,20.67359447479248,20.164276123046875,0.004025990609079599,0.06851142644882202,0.0040033841505646706,0.12453078478574753,0.056640625,0.017578125,-0.0018437806284055114
3,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,block_mean_ratio,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-159.14461878436006,1150.74698583873,189.00949322223212,9505143677.362825,4.377180228782742,0.07059968110939907,143.84337322984126,1.1813093326389508,14.119936221879815,0.5045587826431032,100,-0.13653797199949622,0.3346961005590856,30.694600772857665,30.694600772857665,-42.68745040893555,11.157607078552246,-0.8660608530044556,0.8894799947738647,-14.452790260314941,22.958721160888672,-3.33786012163273e-08,1.0,0.18000000715255737,0.8199999928474426,-0.0584840290248394,0.5732444524765015,0.08459431678056717,0.8450327515602112,0.6228311061859131,0.5174196362495422,0.548512876033783,-0.05299374833703041,19.439945220947266,2.295872116088867,1.0845942497253418,0.4981226325035095,0.22711357474327087,2.3850531578063965,0.949999988079071,0.9444444179534912,0.9512194991111755,0.058484043926000595,-0.030829519033432007,-0.14338581264019012,"{""negative"": {""count"": 82, ""max"": 2.3850531578063965, ""mean"": 0.9778158664703369, ""min"": 0.22711357474327087, ""std"": 0.47553494572639465}, ""positive"": {""count"": 18, ""max"": 2.165238857269287, ""mean"": 1.5710290670394897, ""min"": 1.1987501382827759, ""std"": 0.2444489598274231}}",-1.4036167860031128,13.757866859436035,-0.0194946750998497,0.1910814791917801,-0.0584840290248394,0.5732444524765015,1.0845942497253418,0.4981226325035095,71.99999272575721,23.9999999967961,0.33333334670625775,-31.823614597320557,12.543966142997444,-31.823614597320557,12.543966142997444,0.42216890597929313,0.2808959484100342,0.2808959484100342,0.37130972743034363,0.2808959484100342,0.6016256213188171,"{""0p5_to_1"": 858, ""1_to_2"": 107, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2663, ""neg_1_to_neg_0p5"": 805, ""neg_2_to_neg_1"": 97, ""zero_to_0p5"": 2670}",-43.00244140625,9.513404846191406,-0.8911718726158142,0.7584048509597778,0.8784607648849487,0.9414618015289307,0.8526384830474854,0.7911746501922607,0.09678933024406433,0.694385290145874,0.3057798445224762,0.04776127263903618,0.2580185830593109,-0.003385803196579218,0.755420982837677,0.28193938732147217,0.08630339801311493,0.4370257258415222,2.5109596252441406,1.8684205976502326,0.6959045299408656,0.006204501260071993,0.9149454832077026,0.8186723589897156,0.0,0.00019999999494757503,200,400,0.045646846294403076,0.28362035751342773,200,0,0.1579258292913437,0.0,42,42,0.0037041029427200556,0.9007763266563416,0.8054948449134827,0.0,0.00010695186938391998,174,374,0.02122940495610237,0.24868810176849365,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\prediction_target_payload_epoch_03.csv,checkpoints\dense_policy_ratio_block_experiment_20260317_152037\policy_ratio_block_mean_ratio_20260317_152134_174154\probe_policy_update_payload_epoch_03.csv,-39.58548355102539,13.732226371765137,-49.00835418701172,16.008607864379883,65.0169620513916,8.323066711425781,11.953051567077637,0.002990354085341096,0.05932822823524475,-0.002628448186442256,0.11089003086090088,0.05859375,0.026692708333333332,0.0004910873249173164
