epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,route_update_cap_trigger_count,route_update_cap_per_epoch,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_cap,hierarchical_actor_separate_theta_route_backbones,1.0029438734054565,0.0888105258345604,2.0899930000305176,0.994012713432312,0.1642678678035736,2.192805290222168,0.0008200996671803296,0.01951378956437111,0.03333333507180214,0.17183570563793182,0.004098762758076191,0.0021549962229156254,0.03,0.015,0,10,10,0,0,0,2,1,11,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_cap,hierarchical_actor_separate_theta_route_backbones,1.010490894317627,0.3160962462425232,4.299216270446777,1.013890027999878,0.3004177212715149,3.945589542388916,0.03153693303465843,0.02737193927168846,0.3304166793823242,0.409015029668808,0.0018063878053319914,0.001441319353034487,0.03,0.015,6,5,3,0,0,5,2,17,18,0.49916666746139526,0.49916666746139526,0.5,0.0
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_cap,hierarchical_actor_separate_theta_route_backbones,1.0031483173370361,0.27459242939949036,6.286853313446045,1.0073662996292114,0.2812812328338623,3.488150119781494,0.029423177242279053,0.028727330267429352,0.2666666805744171,0.33946487307548523,0.0026707339362474158,0.0019933773155571544,0.03,0.015,2,6,5,0,0,4,2,15,16,0.4983333349227905,0.4983333349227905,0.5,0.0
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_cap,hierarchical_actor_separate_theta_route_backbones,1.0101629495620728,0.2861611247062683,4.974120140075684,1.0010900497436523,0.3579156994819641,9.265206336975098,0.024477656930685043,0.03914625197649002,0.2841666638851166,0.37863248586654663,0.001773935873930704,0.002347167134490412,0.03,0.015,1,5,5,0,0,5,2,19,17,0.48750001192092896,0.48750001192092896,0.5,0.0
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_route_cap,hierarchical_actor_separate_theta_route_backbones,1.0019872188568115,0.27513012290000916,4.649538516998291,1.0010526180267334,0.2574813663959503,2.362370491027832,0.03290720656514168,0.03293948620557785,0.30250000953674316,0.3471861481666565,0.002558609645575416,0.00271490653588747,0.03,0.015,2,6,5,0,0,4,2,16,15,0.48124998807907104,0.48124998807907104,0.5,0.0
