rank,critic_learning_rate,value_coeff,run_dir,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,reward_gap_abs,final_critic_loss,avg_theta_last10,best_epoch_is_one
1,0.0005,0.25,checkpoints\dense_critic_search_20260316_093539\critic_lr_5em04_value_coeff_0p25_20260316_093644_070015,5,-1098.0806754121104,-1172.8068996934662,1,-74.72622428135583,74.72622428135583,27245.607275390623,0.5037826408899349,1
2,0.0005,0.5,checkpoints\dense_critic_search_20260316_093539\critic_lr_5em04_value_coeff_0p5_20260316_093702_074806,5,-1098.0806754121104,-1172.8068996934662,1,-74.72622428135583,74.72622428135583,27245.607275390623,0.5037826408899349,1
3,0.0005,1.0,checkpoints\dense_critic_search_20260316_093539\critic_lr_5em04_value_coeff_1p0_20260316_093720_802848,5,-1098.0806754121104,-1172.8068996934662,1,-74.72622428135583,74.72622428135583,27245.607275390623,0.5037826408899349,1
4,0.001,0.25,checkpoints\dense_critic_search_20260316_093539\critic_lr_1em03_value_coeff_0p25_20260316_093738_974113,5,-1098.0806754121104,-1174.1041563956571,1,-76.02348098354673,76.02348098354673,26121.83627929688,0.5030930207856614,1
5,0.001,0.5,checkpoints\dense_critic_search_20260316_093539\critic_lr_1em03_value_coeff_0p5_20260316_093759_166862,5,-1098.0806754121104,-1174.1041563956571,1,-76.02348098354673,76.02348098354673,26121.83627929688,0.5030930207856614,1
6,0.001,1.0,checkpoints\dense_critic_search_20260316_093539\critic_lr_1em03_value_coeff_1p0_20260316_093815_690081,5,-1098.0806754121104,-1174.1041563956571,1,-76.02348098354673,76.02348098354673,26121.83627929688,0.5030930207856614,1
7,0.0002,0.25,checkpoints\dense_critic_search_20260316_093539\critic_lr_2em04_value_coeff_0p25_20260316_093539_739920,5,-1098.0806754121104,-1175.8099729562177,1,-77.72929754410734,77.72929754410734,28108.620947265623,0.5071537119197137,1
8,0.0002,0.5,checkpoints\dense_critic_search_20260316_093539\critic_lr_2em04_value_coeff_0p5_20260316_093557_415834,5,-1098.0806754121104,-1175.8099729562177,1,-77.72929754410734,77.72929754410734,28108.620947265623,0.5071537119197137,1
9,0.0002,1.0,checkpoints\dense_critic_search_20260316_093539\critic_lr_2em04_value_coeff_1p0_20260316_093622_779957,5,-1098.0806754121104,-1175.8099729562177,1,-77.72929754410734,77.72929754410734,28108.620947265623,0.5071537119197137,1
