epoch,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,route_residual_credit_mean,route_residual_credit_std,route_candidate_score_mean,route_candidate_score_std,route_expected_score_mean,route_selected_score_mean,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,conditional_policy_consistency_score
0,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,0,1.0,0.0,1.0,1.0,-0.03212945535778999,0.9879896640777588,-1.9025522135507345e-07,0.995085597038269,-0.003066684352234006,-0.03519614413380623,0.993874728679657,0.9999465942382812,0.006825629156082869,5.4726056987419724e-05,0.0,0.0,0.15225982666015625,0.5021116435527802
1,0.49958333373069763,0.49958333373069763,0.4962500035762787,0.4962500035762787,0.49958333373069763,1199.0,0,1.0,0.0,1.0,1.0,-0.027900300920009613,0.978934109210968,-3.921279585483717e-07,0.9955803751945496,-0.0029405842069536448,-0.03084089607000351,0.9887312650680542,0.9999262094497681,0.01302031334489584,7.719425047980621e-05,0.00041666667675599456,0.0,0.02926022931933403,0.504668116569519
2,0.5120833516120911,0.5120833516120911,0.49791666865348816,0.49791666865348816,0.5120833516120911,1229.0,0,1.0,0.0,1.0,1.0,0.017637824639678,0.9780087471008301,-7.101731171132997e-06,0.9927502870559692,-0.001029416685923934,0.016608409583568573,0.9978240728378296,0.999946653842926,0.002660464495420456,5.4236104915617034e-05,0.0,0.0,-0.08192434906959534,0.5044951140880585
3,0.49666666984558105,0.49666666984558105,0.4854166805744171,0.4854166805744171,0.49666666984558105,1192.0,0,1.0,0.0,1.0,1.0,-0.03614651411771774,0.983022928237915,-2.2641764019226684e-07,0.9950505495071411,-0.003262012032791972,-0.03940853476524353,0.9990281462669373,0.9999973177909851,0.0011773661244660616,3.0235605663619936e-06,0.0,0.0,0.2037525326013565,0.5036488175392151
4,0.502916693687439,0.502916693687439,0.4854166805744171,0.4854166805744171,0.502916693687439,1207.0,0,1.0,0.0,1.0,1.0,0.043787188827991486,0.9834967255592346,5.592466095549753e-06,0.994657039642334,-0.0037849382497370243,0.040002256631851196,0.9987359642982483,1.000001311302185,0.001374824671074748,-1.1045131032005884e-06,0.0,0.0,-0.12982966005802155,0.5032892227172852
