mode,epoch,update_epoch,minibatch_id,trace_stage,probe_value_pred_mean,probe_value_pred_std,probe_value_target_mean,probe_value_target_std,probe_return_mean,probe_return_std,probe_advantage_mean,probe_advantage_std,probe_pearson_value_vs_value_target,probe_spearman_value_vs_value_target,probe_pearson_value_vs_return,probe_spearman_value_vs_return,probe_pearson_value_vs_advantage,probe_spearman_value_vs_advantage,probe_pearson_value_vs_one_step_reward,probe_spearman_value_vs_one_step_reward
hierarchical_actor_joint_reward_aligned_credit,0,0,0,before_actor,-0.1447436809539795,0.3795018494129181,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,-0.00518252095207572,-0.03810247406363487,-0.005182520020753145,-0.03810247406363487,-0.018954521045088768,-0.046352580189704895,0.584826648235321,0.5252931118011475
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_actor_before_critic,-0.1447436809539795,0.3795018494129181,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,-0.00518252095207572,-0.03810247406363487,-0.005182520020753145,-0.03810247406363487,-0.018954521045088768,-0.046352580189704895,0.584826648235321,0.5252931118011475
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_critic,-0.2926483452320099,0.38845378160476685,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.16524377465248108,0.1534954458475113,0.16524378955364227,0.1534954458475113,0.15124914050102234,0.14274859428405762,0.5205116868019104,0.47676941752433777
hierarchical_actor_joint_reward_aligned_credit,0,0,1,before_actor,-0.2926483452320099,0.38845378160476685,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.16524377465248108,0.1534954458475113,0.16524378955364227,0.1534954458475113,0.15124914050102234,0.14274859428405762,0.5205116868019104,0.47676941752433777
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_actor_before_critic,-0.2926483452320099,0.38845378160476685,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.16524377465248108,0.1534954458475113,0.16524378955364227,0.1534954458475113,0.15124914050102234,0.14274859428405762,0.5205116868019104,0.47676941752433777
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_critic,-0.3856912851333618,0.38783130049705505,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.2505699694156647,0.3645245432853699,0.2505699396133423,0.3645245432853699,0.23688386380672455,0.35236647725105286,0.4973277747631073,0.4224924147129059
hierarchical_actor_joint_reward_aligned_credit,0,0,2,before_actor,-0.3856912851333618,0.38783130049705505,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.2505699694156647,0.3645245432853699,0.2505699396133423,0.3645245432853699,0.23688386380672455,0.35236647725105286,0.4973277747631073,0.4224924147129059
hierarchical_actor_joint_reward_aligned_credit,0,0,2,after_actor_before_critic,-0.3856912851333618,0.38783130049705505,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.2505699694156647,0.3645245432853699,0.2505699396133423,0.3645245432853699,0.23688386380672455,0.35236647725105286,0.4973277747631073,0.4224924147129059
hierarchical_actor_joint_reward_aligned_credit,0,0,2,after_critic,-0.48748573660850525,0.37783345580101013,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.3203873038291931,0.44626572728157043,0.3203872740268707,0.44626572728157043,0.30759647488594055,0.43399912118911743,0.43217021226882935,0.35735997557640076
hierarchical_actor_joint_reward_aligned_credit,0,0,3,before_actor,-0.48748573660850525,0.37783345580101013,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.3203873038291931,0.44626572728157043,0.3203872740268707,0.44626572728157043,0.30759647488594055,0.43399912118911743,0.43217021226882935,0.35735997557640076
hierarchical_actor_joint_reward_aligned_credit,0,0,3,after_actor_before_critic,-0.48748573660850525,0.37783345580101013,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.3203873038291931,0.44626572728157043,0.3203872740268707,0.44626572728157043,0.30759647488594055,0.43399912118911743,0.43217021226882935,0.35735997557640076
hierarchical_actor_joint_reward_aligned_credit,0,0,3,after_critic,-0.5727401375770569,0.37803369760513306,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.35785534977912903,0.46178895235061646,0.35785534977912903,0.46178895235061646,0.3448091149330139,0.4498480260372162,0.3598293364048004,0.2840859591960907
hierarchical_actor_joint_reward_aligned_credit,0,1,4,before_actor,-0.5727401375770569,0.37803369760513306,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.35785534977912903,0.46178895235061646,0.35785534977912903,0.46178895235061646,0.3448091149330139,0.4498480260372162,0.3598293364048004,0.2840859591960907
hierarchical_actor_joint_reward_aligned_credit,0,1,4,after_actor_before_critic,-0.5727401375770569,0.37803369760513306,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.35785534977912903,0.46178895235061646,0.35785534977912903,0.46178895235061646,0.3448091149330139,0.4498480260372162,0.3598293364048004,0.2840859591960907
hierarchical_actor_joint_reward_aligned_credit,0,1,4,after_critic,-0.6864864230155945,0.39133355021476746,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.4119800925254822,0.48588794469833374,0.4119800329208374,0.48588794469833374,0.399601012468338,0.4743812084197998,0.2565229535102844,0.21135474741458893
hierarchical_actor_joint_reward_aligned_credit,0,1,5,before_actor,-0.6864864230155945,0.39133355021476746,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.4119800925254822,0.48588794469833374,0.4119800329208374,0.48588794469833374,0.399601012468338,0.4743812084197998,0.2565229535102844,0.21135474741458893
hierarchical_actor_joint_reward_aligned_credit,0,1,5,after_actor_before_critic,-0.6864864230155945,0.39133355021476746,0.6999223232269287,0.9068131446838379,-18.150854110717773,5.905631065368652,-17.30265235900879,5.859312057495117,0.4119800925254822,0.48588794469833374,0.4119800329208374,0.48588794469833374,0.399601012468338,0.4743812084197998,0.2565229535102844,0.21135474741458893
