topology,epoch,step,state_mean,state_max,state_var,raw_total_backlog,normalized_total_backlog,total_backlog,total_delay,total_energy,queue_penalty,reward_delay_term,reward_energy_term,reward_backlog_term,avg_theta,reward
dense,0,0,0.39618602067232134,1.4566283226013184,0.15045851865176252,11080228181.630432,4.832757471663937,0.07794770115586995,6.6484590150516425,0.0,0.1558954023117399,6.6484590150516425,0.0,0.1558954023117399,0.5129588352649673,-6.804354417363382
dense,0,1,0.40423941997345536,1.466517448425293,0.1383365763368263,10392751576.573812,3.9206723546326065,0.06323665088117107,12.09447235859124,2.255234146259653,0.12647330176234214,12.09447235859124,0.11276170731298266,0.12647330176234214,0.5024017897112228,-12.333707367666564
dense,0,2,0.4025737292261329,1.941746473312378,0.14558985677978867,11658519983.184958,4.210125313812335,0.06790524699697315,13.373347938218215,2.111498347422445,0.1358104939939463,13.373347938218215,0.10557491737112226,0.1358104939939463,0.4996134692309788,-13.614733349583283
dense,0,3,0.3829577202446671,1.1873873472213745,0.11914682472091087,10841017748.659372,4.031147492073595,0.06501850793667088,11.718677216647897,2.1017523118520263,0.13003701587334177,11.718677216647897,0.10508761559260132,0.13003701587334177,0.5100846388124852,-11.95380184811384
dense,0,4,0.4146534288882867,1.8102540969848633,0.15207332973425408,12598658206.562696,4.796132705226128,0.07735697911655046,13.521405045274214,2.069813062838646,0.1547139582331009,13.521405045274214,0.10349065314193232,0.1547139582331009,0.5311393054573258,-13.779609656649248
dense,0,5,0.3974584631473317,1.0680263042449951,0.12727407877936237,9868790205.899548,4.0586784232995905,0.06546255521450953,14.55115830074134,2.5282710289387964,0.13092511042901905,14.55115830074134,0.12641355144693983,0.13092511042901905,0.49352681388684605,-14.808496962617298
dense,0,6,0.4269240146377706,1.2837027311325073,0.13570502576214505,12807821426.131737,5.1178920780116535,0.0825466464195428,13.580271490347414,1.906229554725099,0.1650932928390856,13.580271490347414,0.09531147773625495,0.1650932928390856,0.5104994202321756,-13.840676260922754
dense,0,7,0.3976972853006373,1.2111653089523315,0.12812813225926922,10758219275.24247,4.508125304553079,0.07271169846053353,13.24644604109428,2.6044505951493653,0.14542339692106707,13.24644604109428,0.13022252975746826,0.14542339692106707,0.4951592181023061,-13.522091967772816
dense,0,8,0.3819623871264048,1.0,0.11491236990134387,7876422167.089779,3.262692219841066,0.05262406806195268,10.977589100653903,2.149390072028787,0.10524813612390536,10.977589100653903,0.10746950360143935,0.10524813612390536,0.506216630024575,-11.190306740379247
dense,0,9,0.40404515738599,1.3762176036834717,0.12392071455627532,12701065221.970243,5.124334349496817,0.08265055402414222,10.323455430770938,1.5767928880197584,0.16530110804828443,10.323455430770938,0.07883964440098792,0.16530110804828443,0.512229096392124,-10.56759618322021
