dim_index,mean,max,var
0,0.5406666825215022,1.0,0.07898325948148283
1,0.313503575772047,1.7257142066955566,0.09927083955351418
2,0.313503575772047,1.7257142066955566,0.09927083955351418
3,0.5793106074134509,1.0762454271316528,0.031071419345306217
4,0.5730158885320028,1.0,0.07769967038404946
5,0.3858294006685416,1.8258404731750488,0.14157098018346387
6,0.3858294006685416,1.8258404731750488,0.14157098018346387
7,0.5560208081454039,1.1494996547698975,0.03872508892775489
8,0.5532142800092698,1.0,0.08419630135591738
9,0.3769895673294862,1.7388228178024292,0.11720840556281553
10,0.3769895673294862,1.7388228178024292,0.11720840556281553
11,0.5048601342240969,1.0728232860565186,0.04308053499559106
12,0.5626666821042696,1.0,0.08257659231155429
13,0.35801219118138156,1.741741418838501,0.12002425470648137
14,0.35801219118138156,1.741741418838501,0.12002425470648137
15,0.5880520307893554,1.1405584812164307,0.03666125156162825
16,0.5857143014669418,1.0,0.07666666453590176
17,0.3810006502767404,2.1468169689178467,0.15999387438265913
18,0.3810006502767404,2.1468169689178467,0.15999387438265913
19,0.5585605242351691,1.102967619895935,0.03558997643185574
20,0.58107142329216,1.0,0.09124630162501007
21,0.38081178347269695,1.6084136962890625,0.12210207453124045
22,0.38081178347269695,1.6084136962890625,0.12210207453124045
23,0.5418524830043316,1.0,0.02996674725065318
24,0.562000014881293,1.0,0.08621525870684754
25,0.37163107059895994,1.5903874635696411,0.10512299712268722
26,0.37163107059895994,1.5903874635696411,0.10512299712268722
27,0.5849419966340065,1.1247973442077637,0.03772739451805124
28,0.5634920783837636,1.0,0.08081380476771971
29,0.3638169862826665,2.124950647354126,0.15264324590571204
30,0.3638169862826665,2.124950647354126,0.15264324590571204
31,0.5730715156594912,1.1965463161468506,0.045062455437904825
32,0.567499994635582,1.0,0.08910446475446215
33,0.4281572590768337,2.437121868133545,0.1722425201382606
34,0.4281572590768337,2.437121868133545,0.1722425201382606
35,0.5269757627323269,1.077128291130066,0.03401416145416747
36,0.552888905207316,1.0,0.07653609906586284
37,0.33292764517168205,1.871100902557373,0.1045450330731832
38,0.33292764517168205,1.871100902557373,0.1045450330731832
39,0.5797359498838583,1.1383200883865356,0.03739035733696805
40,0.5928571584820748,1.0,0.0774319705269772
41,0.3650594947735469,2.1979684829711914,0.16523872187127045
42,0.3650594947735469,2.1979684829711914,0.16523872187127045
43,0.5844281346102556,1.1509037017822266,0.031799363648691736
44,0.5146428525447846,1.0,0.0871197703238652
45,0.3458757637937864,1.9720909595489502,0.12764998377466968
46,0.3458757637937864,1.9720909595489502,0.12764998377466968
47,0.5037593820939461,1.3763649463653564,0.03527102333631865
48,0.5386666843295097,1.0,0.06699377902021647
49,0.34394040164848166,1.7905014753341675,0.10760559131596137
50,0.34394040164848166,1.7905014753341675,0.10760559131596137
51,0.5723826694115997,1.1600478887557983,0.04273882547036617
52,0.578571444451809,1.0,0.07579931773214899
53,0.3360286994278431,1.5712088346481323,0.12080168249566314
54,0.3360286994278431,1.5712088346481323,0.12080168249566314
55,0.5745905238886674,1.2320488691329956,0.03329505747398864
56,0.55857142329216,1.0,0.08876326567315729
57,0.4191862709323565,1.8394079208374023,0.16201376466101097
58,0.4191862709323565,1.8394079208374023,0.16201376466101097
59,0.49893308435877165,1.0186529159545898,0.03368648079770334
60,0.55111112733682,1.0,0.0770765434870746
61,0.3217235583315293,1.4333744049072266,0.08220589315613422
62,0.3217235583315293,1.4333744049072266,0.08220589315613422
63,0.5936907143890857,1.2000337839126587,0.04151432696360152
64,0.5626984283328056,1.0,0.07652998045338388
65,0.34748393267393113,1.8325847387313843,0.132378083181509
66,0.34748393267393113,1.8325847387313843,0.132378083181509
67,0.5484810864677032,1.169409990310669,0.04080286013028572
68,0.5378571391105652,1.0,0.09935765316648543
69,0.3617579413453738,1.6369197368621826,0.13406966581096919
70,0.3617579413453738,1.6369197368621826,0.13406966581096919
71,0.5271354056894779,1.1108936071395874,0.04087485133014712
72,0.5884444605310758,1.0,0.07808869104600663
73,0.3667281649758418,1.3720817565917969,0.1127600431750187
74,0.3667281649758418,1.3720817565917969,0.1127600431750187
75,0.5878559632102648,1.1909807920455933,0.03325170290691848
76,0.6142857299248378,1.0,0.07684807005747618
77,0.4002494463324547,2.0279088020324707,0.1572760498462135
78,0.4002494463324547,2.0279088020324707,0.1572760498462135
79,0.613302493840456,1.1689878702163696,0.035105317595883145
80,0.5267857077717781,1.0,0.07243303575305904
81,0.38318459143241246,1.892501711845398,0.15529563946021754
82,0.38318459143241246,1.892501711845398,0.15529563946021754
83,0.48491916122535866,1.0,0.023883446684973136
84,0.5448889047900836,1.0,0.07891832117834624
85,0.3567185022930304,1.4803991317749023,0.10239906342732794
86,0.3567185022930304,1.4803991317749023,0.10239906342732794
87,0.5904064098497231,1.04564368724823,0.029909797755852285
88,0.5944444593787194,1.0,0.08136747038217212
89,0.40167572766542436,2.617638111114502,0.1947643172875249
90,0.40167572766542436,2.617638111114502,0.1947643172875249
91,0.612133480956157,1.1880881786346436,0.0394984242601879
92,0.5242857095599175,1.0,0.08800714286164357
93,0.39829791789253555,2.0975260734558105,0.16806971184686867
94,0.39829791789253555,2.0975260734558105,0.16806971184686867
95,0.5139972661435604,1.2021270990371704,0.03705654641666656
96,0.10008593394731481,0.3469700217247009,0.0036765944145616455
97,0.10406378579636415,0.3277062475681305,0.0041815946308467345
98,0.12259463115905722,0.42488086223602295,0.006883597085600962
99,0.09828551973837117,0.37043049931526184,0.004377890528226246
100,0.11378923808069279,0.3965610861778259,0.005976616042462019
101,0.10489410308500131,0.40902554988861084,0.00479084902240952
102,0.10878673183421293,0.3301403224468231,0.004834832021685952
103,0.10989866679844756,0.4751165807247162,0.00544077721550284
104,0.03596879971845435,0.18872179090976715,0.0009574047513018112
105,0.03263277388106265,0.1406639665365219,0.0005941303462299499
106,0.09680323945979277,0.3004342317581177,0.002963384366563574
107,0.04350804470159346,0.20315353572368622,0.0013716792001504468
108,0.03156442110936041,0.170047327876091,0.0006511967439695289
109,0.09366192491725087,0.2914441227912903,0.002695945953254999
110,0.04582297757803948,0.17236390709877014,0.001259806724691566
111,0.02794547289891246,0.11898205429315567,0.000533517173173124
112,0.13506191462588807,0.4751581847667694,0.0058140971259881685
113,0.04098575996244714,0.17326900362968445,0.0014107217746188773
114,0.029082478135969723,0.1458609402179718,0.0006127949056543797
115,0.09079572175318996,0.3794628381729126,0.0037607113319488
116,0.04416803491608031,0.20667913556098938,0.001241348192426469
117,0.028287541840375827,0.13943658769130707,0.0004786415117947234
118,0.12782597202652443,0.3595069348812103,0.00472126316469014
119,0.03779837649898885,0.1317894011735916,0.0009077618893690194
120,0.027618122303392736,0.1369684338569641,0.0004779940005463206
121,0.11315964679854612,0.3170013129711151,0.0047187936737730155
122,0.044554448002018035,0.18293237686157227,0.0012040292770347841
123,0.03402843190517975,0.15278896689414978,0.0007416786425680738
124,0.10180351065006107,0.3894192576408386,0.004218867790035982
125,0.043320992849503456,0.21156801283359528,0.0013289113816326295
126,0.03311372098281936,0.14326290786266327,0.0007809221288679305
127,0.10944157227563361,0.46653643250465393,0.004750670477360228
128,0.16006380905707676,0.3730655610561371,0.003474697786483301
129,0.1842044552663962,0.47470828890800476,0.005819299249374833
130,0.11132664523397882,0.28023380041122437,0.0019300784873658439
131,0.15172535522530475,0.3349676728248596,0.0027987947684708567
132,0.1980998839934667,0.47826531529426575,0.007352444661239958
133,0.1134996398165822,0.28890639543533325,0.002047039183267735
134,0.03703944476942221,0.18646439909934998,0.0014725718388527269
135,0.048624901336928206,0.26829788088798523,0.0024316444081888045
136,0.030326692646097702,0.16839921474456787,0.0007864188641243153
