epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_factorized_ratio_pg,hierarchical_actor_separate_theta_route_backbones,0.9993976950645447,0.15041616559028625,2.234055757522583,1.001161813735962,0.19125604629516602,2.4812493324279785,0.011616787873208523,0.016570542007684708,0.14499999582767487,0.24559932947158813,4.9856641453516204e-05,0.0010469979792105733,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.010691293427953497,0.010691293427953497,0.0021222950890660286,0.04349616542458534,40,0,1.0,0.0,40,40,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_factorized_ratio_pg,hierarchical_actor_separate_theta_route_backbones,1.0003002882003784,0.38463684916496277,5.821591377258301,1.0097250938415527,0.4114390015602112,4.943857669830322,0.06242974102497101,0.06698144972324371,0.4258333444595337,0.5925925970077515,0.0019043959611735773,0.0016223122125666122,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.01677415468147956,0.01677415468147956,0.0012296742061153054,0.06529738754034042,40,0,1.0,0.0,40,40,0.4950000047683716,0.4950000047683716,0.5,0.0
2,hierarchical_actor_factorized_ratio_pg,hierarchical_actor_separate_theta_route_backbones,0.9957468509674072,0.32929888367652893,4.061794757843018,1.0067052841186523,0.43000397086143494,4.809376239776611,0.055412326008081436,0.0744657814502716,0.4037500023841858,0.5691399574279785,0.0015213280511488848,0.0006782100550481118,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.017571195255732162,0.017571195255732162,0.002806431381031871,0.0582100935280323,40,0,1.0,0.0,40,40,0.49416667222976685,0.49416667222976685,0.5,0.0
3,hierarchical_actor_factorized_ratio_pg,hierarchical_actor_separate_theta_route_backbones,0.9943881034851074,0.3181575536727905,3.7719221115112305,1.0107128620147705,0.40369635820388794,4.205395221710205,0.055708128958940506,0.06788227707147598,0.39250001311302185,0.5630901455879211,0.001994830634794198,0.00200977025742759,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.018234632012899966,0.018234632012899966,0.0042630876414477825,0.057565122842788696,40,0,1.0,0.0,40,40,0.4854166805744171,0.4854166805744171,0.5,0.0
4,hierarchical_actor_factorized_ratio_pg,hierarchical_actor_separate_theta_route_backbones,0.9953374266624451,0.3107987344264984,4.215648651123047,0.9956591725349426,0.3964385390281677,2.9540305137634277,0.05331623554229736,0.08913879841566086,0.398333340883255,0.6237969994544983,0.0017606559200430637,0.0038271758869086623,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.018217101902700962,0.018217101902700962,0.0031902913469821215,0.07349821925163269,40,0,1.0,0.0,40,40,0.4762499928474426,0.4762499928474426,0.5,0.0
