epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,policy_surrogate_mode,policy_ratio_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,action_dim,action_block_count,action_block_slices,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,block_logprob_delta_mean,block_logprob_delta_std,block_weight_entropy,block_weight_max_mean,top_k_block_weight_share,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_adv_scale_entropy,top_k_block_adv_scale_share,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_scale_entropy,top_k_block_value_scale_share,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_td_advantage_entropy,top_k_block_td_advantage_share,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_advantage_entropy,top_k_block_advantage_share,active_block_count_mean,block_ratio_proxy_mean,block_ratio_proxy_std,block_clip_fraction_mean,block_clip_fraction_std,block_positive_adv_clip_fraction_mean,block_negative_adv_clip_fraction_mean,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,sum_to_mean_scale_ratio,sum_to_blockmean_scale_ratio,mean_to_blockmean_scale_ratio,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_policy_update_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean,probe_policy_pairwise_kl_mean,probe_policy_pairwise_l1_mean,policy_logit_delta_mean,policy_logit_delta_std,selected_action_change_rate,top1_action_change_rate,top1_prob_delta_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_surrogate_mean,blockwise_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-157.03200046843207,1137.716249010199,189.88034279213005,9616098477.34768,4.225522331908992,0.06815358599853209,142.21453112627486,1.1867521424508134,13.63071719970642,0.5011808531926131,100,-0.1113206779002212,2.3891976475715637,30.239390325546264,30.239390325546264,-21.793495178222656,6.218523025512695,-2.4676322141203855e-07,1.0,-22.205528259277344,6.267415523529053,-1.6093254373572563e-07,0.9999999403953552,0.0,1.0,-0.048060398548841476,0.17286598682403564,-0.016104483976960182,0.9135582447052002,0.0,0.0,0.0,-0.016104483976960182,0.0,0.6267415523529053,0.9838955402374268,0.2553316354751587,0.227405846118927,2.6714608669281006,0.3933333456516266,0.43581080436706543,0.36838623881340027,0.048060398548841476,-0.0302523635327816,-0.09759826958179474,"{""negative"": {""count"": 2400, ""max"": 2.6714608669281006, ""mean"": 0.9838955402374268, ""min"": 0.227405846118927, ""std"": 0.2553316354751587}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}",-1.153449535369873,4.1487836837768555,-0.01602013409137726,0.057621993124485016,-0.048060398548841476,0.17286598682403564,3.05245304107666,0.08329051733016968,0.2932572066783905,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.748402951307071e-07,0.9999999403953552,3.2119548320770264,-1.2498899698257446,3.178053617477417,0.1666666865348816,-1.748402951307071e-07,0.9999999403953552,3.2119548320770264,-1.2498899698257446,3.178053379058838,0.1666666567325592,0.0,0.9674777388572693,0.16884730756282806,0.3933333158493042,0.06400954723358154,0.0,0.3933333456516266,0.9838955402374268,0.2553316354751587,2.6714608669281006,0.09759826958179474,1.0654473304748535,-0.016104482114315033,0.2553316354751587,71.99999289788796,24.000000768460872,0.33333331155672324,-21.793495178222656,6.218522724234926,-21.793495178222656,6.218522724234926,0.7240613193861737,0.10807805508375168,0.10807805508375168,0.36834168434143066,0.10807805508375168,0.233158141374588,"{""0p5_to_1"": 644, ""1_to_2"": 29, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2974, ""neg_1_to_neg_0p5"": 665, ""neg_2_to_neg_1"": 42, ""zero_to_0p5"": 2846}",-9.728649139404297,1.4479228258132935,1.940146803855896,0.23284034430980682,0.1151890754699707,0.363776296377182,0.23284034430980682,1.0000001192092896,4.648981094360352,-3.6489810943603516,0.40629899501800537,1.4921435117721558,-1.0858445167541504,-0.0011747890384867787,0.7003787159919739,0.3131238520145416,0.08357641845941544,0.2258126139640808,3.488205671310425,0.6103070260829482,2.13292488432154,0.21643032133579254,0.3631461262702942,0.1474854052066803,0.0,0.0,200,400,0.04592933505773544,0.2856951355934143,200,0,0.1528221070766449,0.0,42,42,5.018264801037731e-06,0.9014903903007507,0.8127591013908386,0.0,8.021390385692939e-05,174,374,0.021848168224096298,0.2531195878982544,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\prediction_target_payload_epoch_00.csv,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\probe_policy_update_payload_epoch_00.csv,-7.758059024810791,1.8038979768753052,-10.291531562805176,-2.645345687866211,7.646185874938965,2.3711929321289062,2.0320687294006348,0.008321614004671574,0.09839699417352676,0.011335586197674274,0.17824192345142365,0.08658854166666667,0.00390625,-0.004136053379625082
1,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_surrogate_mean,blockwise_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-149.37878848072646,1078.1972751326282,181.59349522657666,9112983766.311018,4.175442620634356,0.06734584871990895,134.77465939157852,1.1349593451661042,13.469169743981789,0.5038859650145109,100,-0.08831458521308377,1.0692072782665492,30.240577745437623,30.240577745437623,-26.706026077270508,7.40746545791626,-0.3380209803581238,1.0193848609924316,-18.958715438842773,7.780921936035156,-9.357929542375132e-08,1.0,0.03999999910593033,0.9599999785423279,-0.26802974939346313,0.4519546627998352,-0.09393677115440369,0.8931623697280884,1.0165926218032837,0.813589334487915,0.0,-0.13386498391628265,4.397285461425781,0.7780921936035157,0.9060632586479187,0.5798410773277283,0.014479946345090866,5.8419084548950195,0.8179166913032532,0.8097222447395325,0.8214285969734192,0.26802974939346313,-0.03026696853339672,-0.13566768169403076,"{""negative"": {""count"": 2304, ""max"": 5.174367427825928, ""mean"": 0.8661349415779114, ""min"": 0.014479946345090866, ""std"": 0.5281534790992737}, ""positive"": {""count"": 96, ""max"": 5.8419084548950195, ""mean"": 1.8643403053283691, ""min"": 1.0218435525894165, ""std"": 0.8684055209159851}}",-6.432714939117432,10.846911430358887,-0.08934326469898224,0.15065155923366547,-0.26802974939346313,0.4519546627998352,3.0363998413085938,0.08776932954788208,0.3014278709888458,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7166138377433526e-07,1.0,3.1032958030700684,-1.5889021158218384,3.178053379058838,0.1666666567325592,-1.7166138377433526e-07,1.0,3.1032958030700684,-1.5889021158218384,3.178053379058838,0.1666666567325592,0.0,0.8529977202415466,0.42610472440719604,0.8179166913032532,0.048732198774814606,0.9479166865348816,0.8125,0.9060632586479187,0.5798410773277283,5.8419084548950195,0.13566768169403076,1.0926599502563477,-0.09393677115440369,0.5798410773277283,72.00000145325998,23.999998513956392,0.3333332852352234,-24.249760627746582,7.266603243874424,-24.249760627746582,7.266603243874424,0.6068370931875146,0.2256859391927719,0.2256859391927719,0.36842143535614014,0.2256859391927719,0.4857111871242523,"{""0p5_to_1"": 765, ""1_to_2"": 58, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2722, ""neg_1_to_neg_0p5"": 751, ""neg_2_to_neg_1"": 53, ""zero_to_0p5"": 2851}",-24.398544311523438,5.373473167419434,-0.020475246012210846,0.7394751906394958,0.7084418535232544,0.8510088920593262,0.7254131436347961,1.0391453504562378,0.4038065969944,0.6353387832641602,0.38687965273857117,0.200197234749794,0.18668241798877716,-0.0006863603484816849,0.7623618841171265,0.24273818731307983,0.08286790549755096,0.4127705693244934,3.3121535778045654,1.0695615280819433,2.913954604692997,-0.010323201306164265,0.9821467399597168,0.8560984134674072,0.0,0.0009500000160187483,200,400,0.04464424028992653,0.28170403838157654,200,0,0.1572929322719574,0.0,42,42,-0.009359441697597504,0.9115396738052368,0.8133717179298401,0.0,0.00037433154648169875,174,374,0.020681051537394524,0.24753013253211975,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\prediction_target_payload_epoch_01.csv,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\probe_policy_update_payload_epoch_01.csv,-19.65407371520996,11.17025089263916,-26.451885223388672,15.641799926757812,42.093685150146484,4.277157783508301,9.71245288848877,0.002400745637714863,0.05269525945186615,0.0014929510653018951,0.09795769304037094,0.048177083333333336,0.007161458333333333,-0.00032287079375237226
2,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_surrogate_mean,blockwise_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-162.57657215771712,1177.0459942180962,189.8236501215515,9612855608.02204,4.420421770830601,0.07129712533597744,147.13074927726203,1.1863978132596968,14.259425067195489,0.5060818802539535,100,-0.09709733295021579,0.4714990582317114,30.288826179504394,30.288826179504394,-36.8870964050293,11.442914962768555,-0.787894606590271,1.0701395273208618,-16.41754722595215,12.22150707244873,6.19888282926695e-08,1.0,0.10000000149011612,0.8999999761581421,-0.18093346059322357,0.4350297451019287,-0.01986064948141575,0.8647755980491638,1.1347936391830444,0.6891086101531982,0.537581205368042,-0.1191040426492691,12.0958251953125,1.2221507072448732,0.9801393747329712,0.7044329643249512,0.06941425055265427,16.309551239013672,0.7695833444595337,0.7941918969154358,0.7574626803398132,0.18093346059322357,-0.030277661979198456,-0.12944172322750092,"{""negative"": {""count"": 2160, ""max"": 8.032234191894531, ""mean"": 0.8868639469146729, ""min"": 0.06941425055265427, ""std"": 0.5147243142127991}, ""positive"": {""count"": 240, ""max"": 16.309551239013672, ""mean"": 1.8196178674697876, ""min"": 0.992074191570282, ""std"": 1.3396867513656616}}",-4.342402935028076,10.440713882446289,-0.060311153531074524,0.14500992000102997,-0.18093346059322357,0.4350297451019287,3.0526256561279297,0.08291945606470108,0.29100966453552246,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.496805689451321e-08,1.0,2.791943311691284,-3.3629202842712402,3.178053617477417,0.1666666865348816,3.496805689451321e-08,1.0,2.791943311691284,-3.3629202842712402,3.178053379058838,0.1666666567325592,0.0,0.9208027124404907,0.4245518147945404,0.7695832848548889,0.02908022701740265,0.8916666507720947,0.7560185194015503,0.9801393747329712,0.7044329643249512,16.309551239013672,0.12944172322750092,1.0223991870880127,-0.019860653206706047,0.7044329643249512,71.99999915138187,23.999998364115793,0.33333329172064446,-28.46220588684082,10.692918343953382,-28.46220588684082,10.692918343953382,0.6251432592580979,0.24383091926574707,0.24383091926574707,0.36847811937332153,0.24383091926574707,0.5285825729370117,"{""0p5_to_1"": 824, ""1_to_2"": 71, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2689, ""neg_1_to_neg_0p5"": 731, ""neg_2_to_neg_1"": 61, ""zero_to_0p5"": 2824}",-36.98759841918945,10.814116477966309,-0.7972937226295471,1.0113344192504883,0.8455939888954163,0.9199055433273315,0.9450491070747375,1.1451984643936157,0.17691388726234436,0.9682846069335938,0.44188961386680603,0.07625381648540497,0.36563581228256226,-0.0018225539242848754,0.755379855632782,0.3300183415412903,0.11808424443006516,0.45447614789009094,2.636181592941284,1.5426251159376674,1.4722359151815554,0.024708330631256104,0.9389345049858093,0.835733950138092,0.0,0.0004250000056345016,200,400,0.04633833467960358,0.28572994470596313,200,0,0.15896421670913696,0.0,42,42,0.015117233619093895,0.9113786220550537,0.8143453598022461,0.0,0.00029411763534881175,174,374,0.021743496879935265,0.2500440180301666,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\prediction_target_payload_epoch_02.csv,checkpoints\dense_policy_block_td_value_experiment_20260318_081609\policy_ratio_blockwise_surrogate_mean_20260318_081613_518176\probe_policy_update_payload_epoch_02.csv,-31.56268310546875,17.239173889160156,-43.50118637084961,23.51902961730957,67.02021598815918,11.262269973754883,16.011842727661133,0.002097503049299121,0.049702081829309464,0.0014376842882484198,0.09145842492580414,0.045572916666666664,0.009114583333333334,-0.0013657371746376157
