rank,start_check_epoch,max_epochs,patience,min_delta,combo_dir,mean_best_reward,std_best_reward,mean_final_reward,std_final_reward,mean_reward_gap,std_reward_gap,mean_best_epoch,mean_final_critic_loss,mean_avg_theta_last10,early_stop_trigger_rate,mean_epochs_completed,abs_mean_reward_gap
1,8,12,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_12_pat_05_delta_1p0,-399.0058786642139,3.720521334287266,-431.25038962255877,17.146166692512,-32.24451095834486,18.36432520788784,6.6,3025.3443255615234,0.49418346981007344,0.0,12.0,32.24451095834486
2,8,20,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_20_pat_05_delta_1p0,-399.0058786642139,3.720521334287266,-433.02889960671655,18.38261914979031,-34.02302094250257,19.687066618063522,6.6,3008.7384338378906,0.49573753098652434,1.0,14.0,34.02302094250257
3,8,15,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_15_pat_05_delta_1p0,-399.0058786642139,3.720521334287266,-433.2361686542823,18.484241539879243,-34.23028999006833,19.761969794349046,6.6,3064.2825457763674,0.49530624577418186,0.8,13.6,34.23028999006833
4,8,12,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_12_pat_03_delta_1p0,-399.30007940925714,3.913075687532052,-428.19957252012057,17.432652294553392,-28.899493110863318,15.949499863299106,4.8,3047.972573852539,0.4938135581627261,1.0,11.2,28.899493110863318
5,8,15,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_15_pat_03_delta_1p0,-399.30007940925714,3.913075687532052,-428.19957252012057,17.432652294553392,-28.899493110863318,15.949499863299106,4.8,3047.972573852539,0.4938135581627261,1.0,11.2,28.899493110863318
6,8,20,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_08_max_20_pat_03_delta_1p0,-399.30007940925714,3.913075687532052,-428.19957252012057,17.432652294553392,-28.899493110863318,15.949499863299106,4.8,3047.972573852539,0.4938135581627261,1.0,11.2,28.899493110863318
7,3,15,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_15_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-432.16819974437186,12.65661468967265,-32.86812033511459,11.134534771314337,4.8,3068.753334350586,0.49442751047864314,1.0,10.8,32.86812033511459
8,3,20,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_20_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-432.16819974437186,12.65661468967265,-32.86812033511459,11.134534771314337,4.8,3068.753334350586,0.49442751047864314,1.0,10.8,32.86812033511459
9,5,15,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_15_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-436.10959978902747,16.162405013683365,-36.80952037977022,14.015503015296726,4.8,3200.5052929687504,0.4944440850788596,1.0,11.4,36.80952037977022
10,5,20,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_20_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-436.10959978902747,16.162405013683365,-36.80952037977022,14.015503015296726,4.8,3200.5052929687504,0.4944440850788596,1.0,11.4,36.80952037977022
11,3,12,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_12_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-439.2342239833762,3.806191835717529,-39.934144574118875,4.544285066224534,4.8,3196.104666748047,0.4939709414338701,0.8,10.4,39.934144574118875
12,5,12,5,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_12_pat_05_delta_1p0,-399.30007940925714,3.913075687532052,-443.1756240280318,7.734370059124655,-43.875544618774505,6.116120539933491,4.8,3327.856625366211,0.4939875160340866,0.8,11.0,43.875544618774505
13,3,12,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_12_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-408.8533605914011,2.104340907526829,-9.338198196291966,2.718012843290823,4.0,2721.9751269531253,0.4933470718711591,1.0,8.0,9.338198196291966
14,3,15,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_15_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-408.8533605914011,2.104340907526829,-9.338198196291966,2.718012843290823,4.0,2721.9751269531253,0.4933470718711591,1.0,8.0,9.338198196291966
15,3,20,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_03_max_20_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-408.8533605914011,2.104340907526829,-9.338198196291966,2.718012843290823,4.0,2721.9751269531253,0.4933470718711591,1.0,8.0,9.338198196291966
16,5,12,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_12_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-415.3913596984339,14.400276767519504,-15.876197303324783,13.16066963674251,4.0,2868.0779064941407,0.4931058841475089,1.0,8.6,15.876197303324783
17,5,15,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_15_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-415.3913596984339,14.400276767519504,-15.876197303324783,13.16066963674251,4.0,2868.0779064941407,0.4931058841475089,1.0,8.6,15.876197303324783
18,5,20,3,1.0,checkpoints\early_stop_policy_seed_search_20260315_121254\start_05_max_20_pat_03_delta_1p0,-399.51516239510903,3.7692619688143587,-415.3913596984339,14.400276767519504,-15.876197303324783,13.16066963674251,4.0,2868.0779064941407,0.4931058841475089,1.0,8.6,15.876197303324783
