epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,theta_update_count,route_update_count,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.004026028327643871,0.3250690698623657,1.358491063117981,-1.4784793853759766,0.002925727516412735,0.35408124327659607,1.3555880784988403,-1.4028644561767578,2.086162576020456e-09,1.0,-3.1975668779438138e-09,1.0,1193.0,0.0,0.31914427876472473,0.1527167707681656,0.000646832981146872,-0.01654309779405594,-0.037656575441360474,-0.04484717175364494,0.1145833358168602,0.3403185307979584,1.0006468296051025,0.1434679478406906,2.474493980407715,0.9834569692611694,0.23356209695339203,2.9429666996002197,0.009240609593689442,0.04419349506497383,-0.031471915543079376,-0.00787954218685627,0.25036731362342834,0.20923623482301154,0.4378836592847278,0.3494402324262008,0.2896127004604485,0.03,0.015,0,5,5,20,6,9.539176389807835e-05,0.008361674146726727,0.0006877735602756729,-0.004308018639373283,0.0,0.001244263118132949,-0.08206197619438171,0.17251978814601898,0.49801138043403625,0.6618263721466064,0.05229305848479271,0.5486437678337097,-0.10994871705770493,0.6063331961631775
1,-0.005135506857186556,0.24924589693546295,1.8816194534301758,-1.8290083408355713,0.0024657812900841236,0.26586246490478516,2.2645206451416016,-1.6745896339416504,3.5762786065873797e-09,0.9999999403953552,3.95059790436747e-10,1.0,1207.0,0.0,0.42410168051719666,0.2867118716239929,0.015519213862717152,0.03460012748837471,-0.10855751484632492,-0.08856292068958282,0.3462499976158142,0.4639602303504944,1.0155192613601685,0.3912913501262665,6.6295928955078125,1.0346002578735352,0.40239739418029785,5.233851909637451,0.04018536955118179,0.0239939596503973,-0.05328407883644104,-0.03938523679971695,0.739155650138855,0.27330299454619295,0.48119799974773897,0.4954783671609299,0.45849400580338,0.03,0.015,3,3,3,14,15,0.001929377344952497,0.001733923243591562,-0.0011252942515836497,-0.000758336989141147,0.0,0.0009213818786000567,-0.012957863509654999,0.0038398930337280035,0.5006069540977478,0.659640371799469,0.07463276386260986,0.6402258276939392,-0.12645936012268066,0.766657292842865
2,-0.004648217931389809,0.2594176232814789,1.884536623954773,-1.6530100107192993,0.0005577488918788731,0.2741633355617523,2.0054101943969727,-1.6990735530853271,-3.079573263065072e-09,1.0,0.0,1.0,1204.0,0.0,0.4536919891834259,0.32675784826278687,0.015519682317972183,0.008700398728251457,-0.0975586473941803,-0.0705341175198555,0.3083333373069763,0.3521594703197479,1.0155197381973267,0.3778718411922455,8.66378402709961,1.0087004899978638,0.2877022624015808,2.905034065246582,0.03145277500152588,0.03112584725022316,-0.0516505092382431,-0.03524501621723175,0.6823748350143433,0.2968306773587206,0.7050660999809768,0.5399353359577953,0.629912799946371,0.03,0.015,3,3,3,14,13,0.0022700656617027043,0.0026207734615756916,-0.0015658646069433807,-0.0017192739077682535,0.0,0.0008611677455649312,-0.010821922682225704,-0.021485449746251106,0.4989669919013977,0.6591624617576599,0.01990123838186264,0.6696325540542603,-0.02445005252957344,0.7850286960601807
3,-0.0055062188766896725,0.25129666924476624,1.6332733631134033,-1.2693406343460083,-0.0008292145794257522,0.2735498547554016,1.8703365325927734,-1.741058349609375,-2.781550101360608e-09,0.9999999403953552,-1.4131499304070871e-09,1.0,1181.0,0.0,0.4350460469722748,0.3581456243991852,0.00599388312548399,0.010843099094927311,-0.09951770305633545,-0.08554158359766006,0.2970833480358124,0.33446231484413147,1.0059939622879028,0.35037654638290405,6.863181114196777,1.01084303855896,0.3058212995529175,4.104084014892578,0.03828015550971031,0.028323229402303696,-0.052536822855472565,-0.040571995079517365,0.7722581028938293,0.269372524682744,0.6095272331671702,0.4914271454328275,0.5305724904098259,0.03,0.015,3,4,4,15,11,0.003347598625502239,0.0019687683882445776,-0.0026863905038529384,-0.0010788605193903838,0.0,0.0008432162498744826,-0.02725374884903431,0.0320834256708622,0.4961709976196289,0.6591379046440125,-0.013718899339437485,0.7566369771957397,0.034464430063962936,0.7950539588928223
4,-0.0035072246100753546,0.2617935240268707,1.7315020561218262,-1.8918588161468506,-0.0005581752629950643,0.2600667476654053,1.662562370300293,-1.6312470436096191,7.947286162490741e-10,1.0,2.5008941584303557e-09,1.0,1144.0,0.0,0.43537893891334534,0.40964940190315247,0.0037687618751078844,0.008581288158893585,-0.11879277974367142,-0.09292386472225189,0.32624998688697815,0.33741259574890137,1.0037686824798584,0.31074219942092896,3.9952268600463867,1.008581280708313,0.2887980043888092,3.447594404220581,0.04181194305419922,0.03397442400455475,-0.05842976272106171,-0.05213829129934311,0.8923240303993225,0.2677081795329314,0.6184990421190795,0.454653682406559,0.5612826278440639,0.03,0.015,4,4,4,16,10,0.0028177522481200867,0.004166584147606045,-0.0022769650131522212,-0.00310285569903499,0.0,0.0007949029422888998,0.009284342639148235,-0.010326892137527466,0.4947565197944641,0.6596773266792297,-0.048123352229595184,1.0049278736114502,0.02749539352953434,1.0527831315994263
