block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.49000000953674316,-0.0373811237514019,0.19322924315929413,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6000000238418579,-0.021210523322224617,0.21846650540828705,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5299999713897705,0.005447621922940016,0.22172071039676666,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5099999904632568,-0.0007365679484792054,0.21629798412322998,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.47999998927116394,0.006367911584675312,0.20444585382938385,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6899999976158142,0.003387465374544263,0.22857046127319336,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5600000023841858,0.012598956003785133,0.2479756474494934,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.550000011920929,-0.013503696769475937,0.19591031968593597,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5600000023841858,-0.015806229785084724,0.2161845862865448,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5299999713897705,-0.049505043774843216,0.15227775275707245,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6200000047683716,0.009299131110310555,0.2483200877904892,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.7099999785423279,-0.013789963908493519,0.22286006808280945,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5699999928474426,-0.022957172244787216,0.19404755532741547,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4699999988079071,-0.016647519543766975,0.15262548625469208,1
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.699999988079071,-0.0516091026365757,0.24119603633880615,1
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5699999928474426,-0.01952926628291607,0.3103651702404022,1
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6399999856948853,-0.011874488554894924,0.23220358788967133,1
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5899999737739563,0.0056233834475278854,0.24315723776817322,1
20,60,63,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.550000011920929,-0.008900173008441925,0.1766154021024704,1
21,63,66,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6399999856948853,-0.016220398247241974,0.2653961479663849,1
22,66,69,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5199999809265137,-0.00915892980992794,0.1709587126970291,1
23,69,72,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6700000166893005,0.027193186804652214,0.2321956604719162,1
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4300000071525574,-0.016982918605208397,0.14901608228683472,2
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5400000214576721,-0.034242838621139526,0.19067463278770447,2
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4399999976158142,-0.015476861037313938,0.20980903506278992,2
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4699999988079071,-0.0005540621350519359,0.18666797876358032,2
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4300000071525574,0.005356956738978624,0.17114032804965973,2
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.49000000953674316,0.0033298868220299482,0.1568807065486908,2
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5099999904632568,-0.017299190163612366,0.1703362613916397,2
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6100000143051147,0.021295862272381783,0.24535761773586273,2
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5400000214576721,0.026207642629742622,0.24320922791957855,2
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.36000001430511475,-0.005495056509971619,0.19357573986053467,2
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4699999988079071,0.01525883562862873,0.17516128718852997,2
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.44999998807907104,0.016831049695611,0.20911093056201935,2
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6899999976158142,-0.027685746550559998,0.19615685939788818,2
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.6000000238418579,-0.008816367015242577,0.29008346796035767,2
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5199999809265137,-0.0153883071616292,0.2155277132987976,2
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4300000071525574,-0.01862088218331337,0.14622925221920013,2
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.550000011920929,-0.04482204094529152,0.1981792151927948,2
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.5299999713897705,-0.03486719727516174,0.21303030848503113,2
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.41999998688697815,-0.02836928889155388,0.13649846613407135,2
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_epochwise,1.0,0.0,1.0,1.0,0.4300000071525574,-0.0036566865164786577,0.19398845732212067,2
