rank,epochs,run_dir,best_reward,final_reward,best_epoch,best_delay,best_cost,delay_at_best_reward,cost_at_best_reward,final_critic_loss,avg_theta_trend,avg_theta_first_mean,avg_theta_last_mean,avg_theta_slope,reward_degradation,reward_gap,critic_loss_status,critic_loss_ratio_vs_min,plots_dir,degradation_score,theta_stuck_penalty,critic_penalty
1,120,checkpoints\controlled_epochs_search_20260315_110147\epochs_120_20260315_110421_191258,-361.43298175459955,-416.1894900014889,33,346.23504910184283,350.3182520539137,346.23504910184283,350.3182520539137,2785.914469909668,整体上升，末段均值=0.575，已明显偏离0.5,0.5184125894557675,0.5754454488841916,0.0006403539703108884,明显,54.756508246889325,基本稳定,1.8429972764197486,checkpoints\controlled_epochs_search_20260315_110147\epochs_120_20260315_110421_191258\plots,2,0,0
2,80,checkpoints\controlled_epochs_search_20260315_110147\epochs_080_20260315_110245_028860,-361.43298175459955,-440.12736132279286,33,346.23504910184283,350.3182520539137,346.23504910184283,350.3182520539137,2594.5438079833984,整体上升，末段均值=0.543，已明显偏离0.5,0.5123985319471945,0.5430450082161541,0.0005078490583947306,明显,78.69437956819331,基本稳定,1.7163976939393162,checkpoints\controlled_epochs_search_20260315_110147\epochs_080_20260315_110245_028860\plots,2,0,0
3,100,checkpoints\controlled_epochs_search_20260315_110147\epochs_100_20260315_110327_926153,-361.43298175459955,-449.39633135520097,33,346.23504910184283,350.3182520539137,346.23504910184283,350.3182520539137,3099.9172088623045,整体上升，末段均值=0.563，已明显偏离0.5,0.5160897735216733,0.5634070899150722,0.0006233222532759397,明显,87.96334960060142,有发散迹象,2.050723033591617,checkpoints\controlled_epochs_search_20260315_110147\epochs_100_20260315_110327_926153\plots,2,0,1
4,40,checkpoints\controlled_epochs_search_20260315_110147\epochs_040_20260315_110147_776546,-361.43298175459955,-457.7257576075479,33,346.23504910184283,350.3182520539137,346.23504910184283,350.3182520539137,2441.040216064453,整体上升，末段均值=0.531，已明显偏离0.5,0.503425020894405,0.531355704281695,0.000962834550157353,明显,96.29277585294835,基本稳定,1.6148487394100561,checkpoints\controlled_epochs_search_20260315_110147\epochs_040_20260315_110147_776546\plots,2,0,0
5,60,checkpoints\controlled_epochs_search_20260315_110147\epochs_060_20260315_110211_855321,-361.43298175459955,-458.0950906863541,33,346.23504910184283,350.3182520539137,346.23504910184283,350.3182520539137,3169.758920288086,整体上升，末段均值=0.536，已明显偏离0.5,0.5067627603524882,0.5364516348076616,0.0006532732186937962,明显,96.66210893175457,有发散迹象,2.0969262050559525,checkpoints\controlled_epochs_search_20260315_110147\epochs_060_20260315_110211_855321\plots,2,0,1
