epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,prune_all_static42_actor_raw,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-157.89303997708845,1145.2238200982472,189.2570817105276,9623161582.834246,4.202733768276225,0.06778602852058425,143.1529775122809,1.1828567606907974,13.55720570411685,0.4971592300112273,100,-0.10623227558098733,2.4232235848903656,30.14077444076538,30.14077444076538,-21.476879119873047,6.198690891265869,-1.4841556605915684e-07,1.0,-22.552410125732422,6.20958137512207,4.118680863030022e-07,1.0,-21.476879119873047,6.198690756106789,-21.476879119873047,6.198690756106789,3.85818592692302,0.1149674579501152,0.1149674579501152,0.36795592308044434,0.1149674579501152,0.25515902042388916,"{""0p5_to_1"": 594, ""1_to_2"": 28, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2931, ""neg_1_to_neg_0p5"": 740, ""neg_2_to_neg_1"": 51, ""zero_to_0p5"": 2856}",-9.280961990356445,1.4440383911132812,1.9674988985061646,0.2329586148262024,0.06510233879089355,0.25620877742767334,0.2329586148262024,1.0,4.805950164794922,-3.805950164794922,0.40913617610931396,1.5278105735778809,-1.118674397468567,0.006592816673219204,0.6907166242599487,0.3586837649345398,0.12391486018896103,0.22977881133556366,3.447937250137329,0.7019983401658599,1.9981450894021822,0.16137106716632843,0.32755762338638306,0.16510418057441711,0.0,0.0,200,358,0.04594810679554939,0.2858164310455322,158,42,0.19383442401885986,0.017737986519932747,0,0,1.3068703992757946e-05,0.9015465378761292,0.8128100633621216,0.0,2.6737967345979996e-05,174,374,0.021844035014510155,0.25320178270339966,D:\MEC_PPO\checkpoints\dense_actor_raw_prune_experiment_20260316_231148\actor_raw_prune_all_static42_actor_raw_20260316_231314_717811\prediction_target_payload_epoch_00.csv,-6.46543025970459,2.5883235931396484,-10.05919075012207,-0.1283111572265625,9.930879592895508,3.0167837142944336,2.8862650394439697
1,stronger_critic_backbone,normalized_augmented_actor_input,prune_all_static42_actor_raw,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-150.438117213788,1087.2145328865513,180.4184176166065,9154007108.180052,4.156692502788232,0.0670434274643263,135.9018166108189,1.1276151101037906,13.408685492865262,0.5004091120373747,100,-0.11140425922349095,1.063577450066805,30.255916595458984,30.255916595458984,-26.184812545776367,7.529961109161377,-0.3230276107788086,1.0333142280578613,-19.580944061279297,7.46150541305542,-7.629394360719743e-08,1.0,-23.830845832824707,7.287194221006048,-23.830845832824707,7.287194221006048,5.833576758517312,0.19812420010566711,0.19812420010566711,0.36890357732772827,0.19812420010566711,0.4255032539367676,"{""0p5_to_1"": 714, ""1_to_2"": 46, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2747, ""neg_1_to_neg_0p5"": 818, ""neg_2_to_neg_1"": 67, ""zero_to_0p5"": 2808}",-23.71269989013672,6.158629894256592,0.016212666407227516,0.845130443572998,0.6505564451217651,0.8066490292549133,0.817883312702179,1.0677381753921509,0.4881981611251831,0.5795400142669678,0.40553605556488037,0.22831901907920837,0.177217036485672,0.004632851574569941,0.7556601762771606,0.26614779233932495,0.11006632447242737,0.40955573320388794,3.2448558807373047,1.1171296786358833,2.7496337552013097,-0.0060980054549872875,1.0380324125289917,0.9530908465385437,0.0,0.0007821228937245905,200,358,0.04479636624455452,0.28222617506980896,158,42,0.1992284506559372,0.01849125325679779,0,0,-0.007882708683609962,0.9103574752807617,0.8115159273147583,0.0,0.00010695186938391998,174,374,0.020726319402456284,0.24794583022594452,D:\MEC_PPO\checkpoints\dense_actor_raw_prune_experiment_20260316_231148\actor_raw_prune_all_static42_actor_raw_20260316_231314_717811\prediction_target_payload_epoch_01.csv,-18.64167594909668,12.078782081604004,-26.128108978271484,20.800342559814453,46.92845153808594,6.463937759399414,10.792210578918457
2,stronger_critic_backbone,normalized_augmented_actor_input,prune_all_static42_actor_raw,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-162.21740057543184,1175.115816595222,189.33168178918038,9607441333.943214,4.3848261518525025,0.07072300244923391,146.88947707440275,1.1833230111823771,14.14460048984678,0.5020965946537818,100,-0.21638869661837817,0.4751408802345395,30.44622759819031,30.44622759819031,-36.1136474609375,10.385491371154785,-0.7995723485946655,1.0140950679779053,-16.702774047851562,13.418647766113281,-7.152557657263969e-08,0.9999999403953552,-27.925113042195637,10.241142184088986,-27.925113042195637,10.241142184088986,4.664693834279834,0.2149159014225006,0.2149159014225006,0.3699744939804077,0.2149159014225006,0.46203744411468506,"{""0p5_to_1"": 758, ""1_to_2"": 54, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2768, ""neg_1_to_neg_0p5"": 782, ""neg_2_to_neg_1"": 59, ""zero_to_0p5"": 2779}",-35.979530334472656,9.879834175109863,-0.7864763736724854,0.9647198915481567,0.7129638195037842,0.8503825664520264,0.9513111114501953,1.0283888578414917,0.29535630345344543,0.7330325841903687,0.4017891585826874,0.1289568692445755,0.2728322744369507,0.0042954301461577415,0.7544076442718506,0.3099376857280731,0.12036136537790298,0.454470157623291,2.7006237506866455,1.6559672229790148,1.409581749240971,0.030670417472720146,0.9898164868354797,0.9321047067642212,0.0,0.0003072625841014087,200,358,0.046548061072826385,0.2865949273109436,158,42,0.20158813893795013,0.018933922052383423,0,0,0.017291812226176262,0.9101623296737671,0.8135910630226135,0.0,0.00024064170429483056,174,374,0.02181815356016159,0.25091028213500977,D:\MEC_PPO\checkpoints\dense_actor_raw_prune_experiment_20260316_231148\actor_raw_prune_all_static42_actor_raw_20260316_231314_717811\prediction_target_payload_epoch_02.csv,-28.212806701660156,18.81937599182129,-41.372100830078125,28.32943344116211,69.70153427124023,12.574921607971191,17.783428192138672
3,stronger_critic_backbone,normalized_augmented_actor_input,prune_all_static42_actor_raw,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-158.5559554902024,1146.338301045563,188.45211645532922,9506418533.360598,4.36661106081497,0.07042921065830594,143.29228763069537,1.1778257278458073,14.085842131661188,0.5008550571125687,100,-0.15171211287379266,0.29374797956552356,30.65054965019226,30.65054965019226,-41.542903900146484,11.022059440612793,-0.851694643497467,0.9191340208053589,-14.796418190002441,21.88550567626953,-4.649162121950212e-08,1.0,-31.32956075668335,11.991788360052114,-31.32956075668335,11.991788360052114,4.040886933839828,0.21630145609378815,0.21630145609378815,0.3707977533340454,0.21630145609378815,0.4598727226257324,"{""0p5_to_1"": 836, ""1_to_2"": 67, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2767, ""neg_1_to_neg_0p5"": 749, ""neg_2_to_neg_1"": 58, ""zero_to_0p5"": 2723}",-40.48583984375,11.465069770812988,-0.7635455131530762,0.9560768008232117,0.9426794052124023,0.9732236862182617,1.0401930809020996,0.8448072671890259,0.05619514361023903,0.7886121273040771,0.32124781608581543,0.028097571805119514,0.29315024614334106,0.0021545046474784613,0.7546972632408142,0.3177816867828369,0.0864105150103569,0.442966103553772,2.586108446121216,1.8138237000933224,0.7592453941729034,0.008273204788565636,0.9642271995544434,0.9124128222465515,0.0,8.379888458875939e-05,200,358,0.04580840468406677,0.2837655246257782,158,42,0.1989162713289261,0.021005475893616676,0,0,0.004775776527822018,0.8989077806472778,0.8040357232093811,0.0,2.6737967345979996e-05,174,374,0.021313099190592766,0.24868693947792053,D:\MEC_PPO\checkpoints\dense_actor_raw_prune_experiment_20260316_231148\actor_raw_prune_all_static42_actor_raw_20260316_231314_717811\prediction_target_payload_epoch_03.csv,-41.47816848754883,7.077199935913086,-47.620201110839844,-13.025091171264648,34.595109939575195,4.7663116455078125,6.606216907501221
4,stronger_critic_backbone,normalized_augmented_actor_input,prune_all_static42_actor_raw,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-161.01289640964282,1165.680979067927,190.22480357367937,9622011112.231945,4.37529939118309,0.07056934501908209,145.71012238349087,1.1889050223354962,14.113869003816419,0.5043183969569665,100,-0.09798423959873617,0.2197342931292951,30.80826301574707,30.80826301574707,-51.4798469543457,14.758016586303711,-1.0781186819076538,0.9870144724845886,-9.626381874084473,14.326068878173828,5.364417887676609e-08,1.0,-35.35961799621582,14.952178679872194,-35.35961799621582,14.952178679872194,4.065588008658145,0.23604685068130493,0.23604685068130493,0.37185540795326233,0.23604685068130493,0.5057271718978882,"{""0p5_to_1"": 828, ""1_to_2"": 62, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2736, ""neg_1_to_neg_0p5"": 803, ""neg_2_to_neg_1"": 80, ""zero_to_0p5"": 2691}",-51.3722038269043,13.682883262634277,-1.0709201097488403,0.9151096343994141,0.9396588206291199,0.9703209400177002,0.9271491765975952,0.9741975665092468,0.05883605033159256,0.9153615236282349,0.3690354824066162,0.02941802516579628,0.33961746096611023,0.000939179677516222,0.758570671081543,0.31371721625328064,0.11333849281072617,0.4438944458961487,2.3387434482574463,0.8959397883842662,0.934046987872547,0.009058728814125061,0.995944619178772,0.9349982142448425,0.0,0.0005027932929806411,200,358,0.045713093131780624,0.287565141916275,158,42,0.2016601711511612,0.02075819857418537,0,0,0.005534402094781399,0.9221063852310181,0.8194944262504578,0.0,0.00024064170429483056,174,374,0.021436795592308044,0.2547757625579834,D:\MEC_PPO\checkpoints\dense_actor_raw_prune_experiment_20260316_231148\actor_raw_prune_all_static42_actor_raw_20260316_231314_717811\prediction_target_payload_epoch_04.csv,-51.97669219970703,8.459993362426758,-59.353363037109375,-17.643648147583008,41.70971488952637,8.283016204833984,8.002073287963867
