telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0,0,0,0.09999388879667437,77696,47352,0.6094522240527183,337441.9375,813527.0625,8006502.950000231,87227216.0,8004.7783203125,10889.51220703125,55061.98457031283,87227216.0
1,0,0,1,0.07549988311941945,77696,46816,0.6025535420098846,270456.65625,733907.453125,6914406.0,70262296.0,2677.474609375,6589.6741943359375,16129.944580078127,677964.4375
2,0,0,2,0.06243781177746273,77696,46666,0.6006229406919276,256907.703125,746558.8125,6581216.5,65455696.0,2406.592041015625,5706.5181884765625,11403.642871093754,174991.0625
3,0,0,3,0.05667884284990793,77696,45171,0.581381280889621,250913.0,823406.75,6729823.0,50853132.0,2226.62939453125,5029.9029541015625,9119.968896484384,53404.59375
4,0,1,4,0.05530010621353857,77696,45654,0.5875978171334432,236560.921875,822021.234375,6376445.0,44915164.0,2207.705322265625,4922.0391845703125,8468.863037109377,33125.796875
5,0,1,5,0.05490110506028421,77696,45954,0.5914590197693574,224814.6875,830267.875,6165054.275000045,38294732.0,2200.675537109375,4873.576416015625,8118.820410156251,30427.033203125
6,0,1,6,0.05291713396405667,77696,46112,0.5934925864909391,215751.375,814336.625,5795679.0,37934516.0,2187.141357421875,4810.4315185546875,7651.243164062504,30129.099609375
7,0,1,7,0.05126855493524916,77696,44303,0.5702095345963756,213205.6875,838559.125,5678437.5,35945220.0,2116.5234375,4468.0181884765625,7045.520483398442,31774.66015625
8,0,2,8,0.05118102323787833,77696,44426,0.5717926276771005,205785.625,816777.6875,5494236.5,37011424.0,2109.298583984375,4423.4031982421875,6825.223754882814,33512.6015625
9,0,2,9,0.04981070448017392,77696,44686,0.5751390032948929,204733.140625,813258.125,5429815.150000034,37826040.0,2111.909912109375,4412.5872802734375,6725.813208007822,29460.37890625
10,0,2,10,0.0493724686669103,77696,44984,0.5789744645799012,200480.625,813040.6875,5252446.950000003,36378444.0,2117.594482421875,4420.9422607421875,6623.0791992187515,25917.94140625
