telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm
0,0,0,0,critic_backbone.0.weight,43776,38309,0.8751142178362573,573411.0,2235569.25,12908685.0,85565536.0,1355.1719970703125,1400.0,1400.0,1400.0,0.056886304169893265,0.10099786520004272,113.77267456054688
0,0,0,0,critic_backbone.4.bias,128,20,0.15625,6266.3056640625,11312.115673828097,30410.081464843817,465070.96875,1708.12109375,3999.999755859375,3999.999755859375,3999.999755859375,0.005332984961569309,0.013485387898981571,10.665969848632812
0,0,0,0,critic_backbone.6.weight,16384,8908,0.543701171875,35184.6484375,75792.02460937499,332237.7840625,73211040.0,3129.345703125,3999.999755859375,3999.999755859375,3999.999755859375,0.049073897302150726,0.05828505754470825,98.14781951904297
0,0,0,0,critic_backbone.7.weight,128,115,0.8984375,221582.0,250233.3773437497,3327849.307500013,16370807.0,3946.40625,3999.999755859375,3999.999755859375,3999.999755859375,0.002890203846618533,0.0015513859689235687,5.780407905578613
0,0,0,0,critic_backbone.7.bias,128,0,0.0,2073.26953125,6815.32045898436,19551.646230468752,21489.31640625,2073.26953125,6815.32045898436,19551.646230468752,21489.31640625,0.005656736437231302,0.014666320756077766,11.313472747802734
1,0,0,1,critic_backbone.0.weight,43776,39225,0.8960389254385965,474132.8125,2207300.75,10695317.0,70262296.0,1368.07275390625,1400.0,1400.0,1400.0,0.04034881293773651,0.0935191884636879,114.73804473876953
1,0,0,1,critic_backbone.4.bias,128,15,0.1171875,2010.5589599609375,6327.153808593746,8160.646166992191,10958.4775390625,1735.2593994140625,3999.999755859375,3999.999755859375,3999.999755859375,0.005277511663734913,0.012972968630492687,10.64477252960205
1,0,0,1,critic_backbone.6.weight,16384,7457,0.45513916015625,9324.537109375,34068.221679687456,93441.62351562505,1065012.375,2988.59521484375,3999.999755859375,3999.999755859375,3999.999755859375,0.04266178980469704,0.059636522084474564,105.34640502929688
1,0,0,1,critic_backbone.7.weight,128,119,0.9296875,49097.9140625,139815.89687499966,861589.3993750017,1349274.125,3954.64111328125,3999.999755859375,3999.999755859375,3999.999755859375,0.0025341773871332407,0.0016498240875080228,5.887980937957764
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2228.31396484375,6791.125146484373,22456.01609375003,26138.388671875,2228.31396484375,6791.125146484373,22456.01609375003,26138.388671875,0.00553834019228816,0.013426953926682472,10.639768600463867
2,0,0,2,critic_backbone.0.weight,43776,39995,0.9136284722222222,451393.53125,2217340.75,10299828.0,65455696.0,1375.841796875,1400.0,1400.0,1400.0,0.030424941331148148,0.08561894297599792,110.1961441040039
2,0,0,2,critic_backbone.4.bias,128,16,0.125,2052.1279296875,6509.539965820308,8231.010375976562,12949.921875,1763.9615478515625,3999.999755859375,3999.999755859375,3999.999755859375,0.00517623033374548,0.011940374970436096,10.112634658813477
2,0,0,2,critic_backbone.6.weight,16384,6538,0.3990478515625,7157.91015625,26795.6583984375,59971.73203125,318550.96875,2888.89404296875,3999.999755859375,3999.999755859375,3999.999755859375,0.03867214545607567,0.06036960333585739,111.08806610107422
2,0,0,2,critic_backbone.7.weight,128,117,0.9140625,33340.98046875,113804.0249999999,377353.08718750015,833786.5,3940.91259765625,3999.999755859375,3999.999755859375,3999.999755859375,0.0023806579411029816,0.0018126078648492694,6.644357681274414
2,0,0,2,critic_backbone.7.bias,128,0,0.0,2142.89306640625,7803.140307617183,17262.93470703125,18482.802734375,2142.89306640625,7803.140307617183,17262.93470703125,18482.802734375,0.0054902853444218636,0.013128743506968021,10.771827697753906
