block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,-0.29131683707237244,0.6845912933349609,0.9254687428474426,0.6136223077774048,0
1,3,6,3,dispatch_decision_block,-0.8096710443496704,1.415447473526001,1.0088303089141846,1.5949114561080933,0
2,6,9,3,dispatch_decision_block,-0.11377573013305664,0.638398289680481,1.1828467845916748,1.6126385927200317,0
3,9,12,3,dispatch_decision_block,-0.6309201717376709,1.303678035736084,1.098528265953064,1.5154790878295898,0
4,12,15,3,dispatch_decision_block,-0.4722442626953125,1.0564309358596802,1.0339772701263428,1.1860840320587158,0
5,15,18,3,dispatch_decision_block,-0.12123650312423706,0.6257410049438477,1.0808970928192139,0.7934795022010803,0
6,18,21,3,dispatch_decision_block,-0.5942029356956482,1.239418387413025,1.1922918558120728,1.7696654796600342,0
7,21,24,3,dispatch_decision_block,-0.24589890241622925,0.8120407462120056,1.0678629875183105,0.8973656296730042,0
8,24,27,3,dispatch_decision_block,-0.11990299075841904,0.6327460408210754,1.109840750694275,0.9408182501792908,0
9,27,30,3,dispatch_decision_block,-0.30320626497268677,0.8123869299888611,0.9791459441184998,0.711471676826477,0
10,30,33,3,dispatch_decision_block,-0.4067270755767822,1.066460371017456,1.0755228996276855,1.0688233375549316,0
11,33,36,3,dispatch_decision_block,0.0016638481756672263,0.31668612360954285,1.0549592971801758,0.3714994192123413,0
12,36,39,3,dispatch_decision_block,-1.0478813648223877,1.777639627456665,1.3425614833831787,3.1643764972686768,0
13,39,42,3,dispatch_decision_block,-0.23630154132843018,0.6814057230949402,0.986441969871521,0.7396728992462158,0
14,42,45,3,dispatch_decision_block,-0.3221922218799591,1.031800389289856,1.120424509048462,1.3175815343856812,0
15,45,48,3,dispatch_decision_block,-0.12205648422241211,0.7049388289451599,1.1160528659820557,0.8044406175613403,0
16,48,51,3,dispatch_decision_block,-0.5584014058113098,0.976944625377655,0.8323699235916138,0.7443869113922119,0
17,51,54,3,dispatch_decision_block,-0.3418234586715698,0.9893389344215393,1.0576754808425903,0.8907946348190308,0
18,54,57,3,dispatch_decision_block,-0.29105520248413086,1.0158971548080444,1.256666660308838,1.7202610969543457,0
19,57,60,3,dispatch_decision_block,-0.31545037031173706,0.8766711950302124,1.0298711061477661,0.919924259185791,0
20,60,63,3,dispatch_decision_block,-0.21959318220615387,0.6077280044555664,0.9554212689399719,0.5872278213500977,0
21,63,66,3,dispatch_decision_block,-0.9489238262176514,1.8327547311782837,2.3043556213378906,11.508070945739746,0
22,66,69,3,dispatch_decision_block,-0.6505756974220276,1.4000996351242065,1.1384735107421875,1.56345534324646,0
23,69,72,3,dispatch_decision_block,-1.0071357488632202,1.7009031772613525,1.5271655321121216,4.538447856903076,0
0,0,3,3,dispatch_decision_block,-0.5599909424781799,1.393707513809204,1.3467556238174438,2.2891879081726074,1
1,3,6,3,dispatch_decision_block,-0.5678060054779053,1.570304274559021,1.5320086479187012,2.9463701248168945,1
2,6,9,3,dispatch_decision_block,-0.6558059453964233,1.269997000694275,1.0489026308059692,1.6914589405059814,1
3,9,12,3,dispatch_decision_block,-0.540603518486023,1.5445278882980347,2.0538735389709473,6.6558427810668945,1
4,12,15,3,dispatch_decision_block,-1.1448044776916504,1.9517340660095215,0.9791294932365417,1.5029889345169067,1
5,15,18,3,dispatch_decision_block,-0.44286781549453735,1.228271245956421,1.177828311920166,1.616660714149475,1
6,18,21,3,dispatch_decision_block,-0.8333103656768799,1.6860743761062622,1.3067415952682495,2.8705787658691406,1
7,21,24,3,dispatch_decision_block,-0.6743952035903931,1.501822590827942,1.1691033840179443,2.013227701187134,1
8,24,27,3,dispatch_decision_block,-0.30863386392593384,1.117462396621704,4.230495452880859,31.81696128845215,1
9,27,30,3,dispatch_decision_block,-1.323194980621338,2.6705057621002197,3.255902051925659,18.081398010253906,1
10,30,33,3,dispatch_decision_block,-0.4360998272895813,0.9714105129241943,0.9508264660835266,0.8680160641670227,1
11,33,36,3,dispatch_decision_block,-0.8016027808189392,1.774772047996521,1.4368129968643188,3.226012945175171,1
12,36,39,3,dispatch_decision_block,-1.3224600553512573,2.2526156902313232,1.0993434190750122,2.201907157897949,1
13,39,42,3,dispatch_decision_block,-0.9209039211273193,1.7211270332336426,1.2138147354125977,2.862980842590332,1
14,42,45,3,dispatch_decision_block,-0.5221423506736755,1.225637435913086,1.2073523998260498,2.0506410598754883,1
15,45,48,3,dispatch_decision_block,-0.44579991698265076,1.1249008178710938,1.0986360311508179,1.4039757251739502,1
16,48,51,3,dispatch_decision_block,-0.5726874470710754,1.5357807874679565,1.456365704536438,4.518342018127441,1
17,51,54,3,dispatch_decision_block,-1.1324734687805176,2.393291711807251,1.4340168237686157,3.185516834259033,1
18,54,57,3,dispatch_decision_block,-0.5186665058135986,1.1589797735214233,1.0577503442764282,1.2714722156524658,1
19,57,60,3,dispatch_decision_block,-0.9446142315864563,1.9088854789733887,0.9758439660072327,1.2085282802581787,1
20,60,63,3,dispatch_decision_block,-1.0101902484893799,1.6211587190628052,0.9245185852050781,1.587106704711914,1
21,63,66,3,dispatch_decision_block,-0.5853589773178101,1.2673687934875488,0.9775888323783875,1.0975068807601929,1
22,66,69,3,dispatch_decision_block,-0.7382087707519531,1.4110591411590576,1.1494684219360352,2.233017921447754,1
23,69,72,3,dispatch_decision_block,-0.6683767437934875,1.4448696374893188,1.1960482597351074,1.9231884479522705,1
0,0,3,3,dispatch_decision_block,-0.5651673674583435,1.5596303939819336,1.4043045043945312,3.910802125930786,2
1,3,6,3,dispatch_decision_block,-0.6726802587509155,1.7624537944793701,2.010112762451172,7.362016677856445,2
2,6,9,3,dispatch_decision_block,-0.6480255722999573,1.7313374280929565,3.605818748474121,24.37641716003418,2
3,9,12,3,dispatch_decision_block,-0.592750072479248,1.5331919193267822,1.5431320667266846,4.040039539337158,2
4,12,15,3,dispatch_decision_block,-0.4116949737071991,1.4816439151763916,1.5823360681533813,3.6597838401794434,2
5,15,18,3,dispatch_decision_block,-0.7372836470603943,1.7697960138320923,1.329156756401062,2.264923334121704,2
6,18,21,3,dispatch_decision_block,-0.4486152231693268,1.2747845649719238,1.2284775972366333,1.696507453918457,2
7,21,24,3,dispatch_decision_block,-0.2223702222108841,1.2426819801330566,2.456352710723877,11.414499282836914,2
8,24,27,3,dispatch_decision_block,-0.6701884269714355,1.2611390352249146,0.9187778234481812,1.0030654668807983,2
9,27,30,3,dispatch_decision_block,-0.5430376529693604,1.2185202836990356,1.109960675239563,2.0819504261016846,2
10,30,33,3,dispatch_decision_block,-0.48865142464637756,1.5349129438400269,3.2050445079803467,19.659591674804688,2
11,33,36,3,dispatch_decision_block,-0.5839791297912598,1.4250924587249756,1.0773810148239136,1.2869901657104492,2
12,36,39,3,dispatch_decision_block,-0.7023668885231018,1.7404152154922485,1.3520413637161255,2.3526716232299805,2
13,39,42,3,dispatch_decision_block,-0.7034912109375,1.4888907670974731,0.9864940643310547,1.0348440408706665,2
14,42,45,3,dispatch_decision_block,-0.5476088523864746,1.3823281526565552,1.2810171842575073,2.5701680183410645,2
15,45,48,3,dispatch_decision_block,-0.6455048322677612,1.7175724506378174,1.3593696355819702,2.320162057876587,2
16,48,51,3,dispatch_decision_block,-0.37721166014671326,1.321307897567749,1.4995014667510986,3.2848727703094482,2
17,51,54,3,dispatch_decision_block,-0.6906318068504333,1.582932949066162,1.0287702083587646,1.1009618043899536,2
18,54,57,3,dispatch_decision_block,-0.41816771030426025,1.1359938383102417,1.174806833267212,1.594240427017212,2
19,57,60,3,dispatch_decision_block,-0.26418066024780273,1.0114470720291138,1.1961263418197632,1.454057216644287,2
20,60,63,3,dispatch_decision_block,-1.088923692703247,2.2248904705047607,1.1878726482391357,1.998289704322815,2
21,63,66,3,dispatch_decision_block,-0.3474156856536865,1.2663893699645996,1.3111298084259033,1.780153751373291,2
22,66,69,3,dispatch_decision_block,-0.5952840447425842,1.4526898860931396,1.2935113906860352,1.8984134197235107,2
23,69,72,3,dispatch_decision_block,-0.5919399857521057,1.6260042190551758,1.5436286926269531,3.323493480682373,2
0,0,3,3,dispatch_decision_block,0.014880728907883167,1.045015811920166,1.6544466018676758,1.9051859378814697,3
1,3,6,3,dispatch_decision_block,-0.21066851913928986,1.2189303636550903,1.699808955192566,3.509819507598877,3
2,6,9,3,dispatch_decision_block,-0.05413065105676651,1.2551606893539429,1.8893741369247437,3.555187940597534,3
3,9,12,3,dispatch_decision_block,-0.06650874018669128,1.1013574600219727,1.6803534030914307,2.3688511848449707,3
4,12,15,3,dispatch_decision_block,-0.29447847604751587,1.5808932781219482,2.133859634399414,5.771408557891846,3
5,15,18,3,dispatch_decision_block,-0.17224723100662231,1.4699667692184448,1.816723346710205,2.905773639678955,3
6,18,21,3,dispatch_decision_block,-0.5103733539581299,1.73267662525177,1.8057774305343628,5.8048295974731445,3
7,21,24,3,dispatch_decision_block,-0.1539539098739624,0.9279633164405823,1.2880220413208008,1.6438302993774414,3
8,24,27,3,dispatch_decision_block,-0.22177650034427643,1.1477099657058716,1.3012492656707764,1.3058332204818726,3
9,27,30,3,dispatch_decision_block,-0.18386206030845642,1.1834648847579956,1.5757904052734375,3.2475955486297607,3
10,30,33,3,dispatch_decision_block,-0.06814086437225342,1.1588143110275269,1.7217618227005005,2.785813331604004,3
11,33,36,3,dispatch_decision_block,-0.11467108130455017,1.280206322669983,1.9893029928207397,3.7190780639648438,3
12,36,39,3,dispatch_decision_block,-0.2050207555294037,1.1231452226638794,1.3157843351364136,1.315461277961731,3
13,39,42,3,dispatch_decision_block,-0.09834610670804977,1.164667010307312,1.4869285821914673,1.6577751636505127,3
14,42,45,3,dispatch_decision_block,-0.09840908646583557,1.4915666580200195,1.703139305114746,2.476912021636963,3
15,45,48,3,dispatch_decision_block,-0.3785693049430847,1.4409931898117065,1.409542441368103,2.15682315826416,3
16,48,51,3,dispatch_decision_block,-0.1714751124382019,1.3534942865371704,1.6048712730407715,1.89399254322052,3
17,51,54,3,dispatch_decision_block,-0.16968518495559692,1.218875765800476,1.8029158115386963,3.5785903930664062,3
18,54,57,3,dispatch_decision_block,-0.23444479703903198,1.373640537261963,1.5966901779174805,2.614959478378296,3
19,57,60,3,dispatch_decision_block,-0.18442237377166748,1.3792253732681274,1.4954750537872314,1.7170252799987793,3
20,60,63,3,dispatch_decision_block,-0.19632694125175476,1.4194964170455933,2.421962022781372,7.384397029876709,3
21,63,66,3,dispatch_decision_block,-0.19104664027690887,1.031839370727539,1.3340883255004883,1.6213388442993164,3
22,66,69,3,dispatch_decision_block,-0.3272206783294678,1.7878730297088623,1.7360894680023193,2.690973997116089,3
23,69,72,3,dispatch_decision_block,-0.12297403067350388,1.0687185525894165,1.3869819641113281,1.4672476053237915,3
0,0,3,3,dispatch_decision_block,-0.3386170566082001,1.119096040725708,1.161371111869812,1.2612965106964111,4
1,3,6,3,dispatch_decision_block,-0.4558364748954773,1.3297631740570068,1.0540837049484253,0.9215207099914551,4
2,6,9,3,dispatch_decision_block,-0.6531720757484436,1.3617939949035645,1.024062991142273,1.6286468505859375,4
3,9,12,3,dispatch_decision_block,-0.9178943634033203,2.2414164543151855,1.5350064039230347,4.087113380432129,4
4,12,15,3,dispatch_decision_block,-0.49465447664260864,1.6524704694747925,1.6824595928192139,3.730025291442871,4
5,15,18,3,dispatch_decision_block,-0.35394489765167236,1.2943918704986572,1.5854114294052124,3.041602849960327,4
6,18,21,3,dispatch_decision_block,-0.45738843083381653,1.1796032190322876,1.0620988607406616,1.1114771366119385,4
7,21,24,3,dispatch_decision_block,-0.37968966364860535,1.2971895933151245,1.269352674484253,2.1591038703918457,4
8,24,27,3,dispatch_decision_block,-0.4531041085720062,1.4297956228256226,1.2631239891052246,1.609001636505127,4
9,27,30,3,dispatch_decision_block,-0.4978490471839905,1.4691779613494873,1.2410873174667358,1.7900913953781128,4
10,30,33,3,dispatch_decision_block,-0.7969321608543396,2.105921983718872,2.4952633380889893,10.911347389221191,4
11,33,36,3,dispatch_decision_block,-0.4809344410896301,1.5625330209732056,1.529708743095398,2.742255449295044,4
12,36,39,3,dispatch_decision_block,-0.49690601229667664,1.2562978267669678,1.4033573865890503,2.8242123126983643,4
13,39,42,3,dispatch_decision_block,-0.5759969353675842,1.6035940647125244,1.6715095043182373,5.691571235656738,4
14,42,45,3,dispatch_decision_block,-0.43664494156837463,1.31450617313385,1.4094287157058716,2.684314012527466,4
15,45,48,3,dispatch_decision_block,-0.5605294108390808,1.3399244546890259,1.0963053703308105,1.6125810146331787,4
16,48,51,3,dispatch_decision_block,-0.4092472791671753,1.2589032649993896,1.733586072921753,5.39415168762207,4
17,51,54,3,dispatch_decision_block,-0.5162193775177002,1.4590165615081787,1.49808931350708,2.4802191257476807,4
18,54,57,3,dispatch_decision_block,-0.6595636010169983,1.6121801137924194,1.1956572532653809,1.7652119398117065,4
19,57,60,3,dispatch_decision_block,-0.2706652581691742,1.1613022089004517,2.0735573768615723,7.506141185760498,4
20,60,63,3,dispatch_decision_block,-0.3678165674209595,1.4857016801834106,4.285217761993408,28.399982452392578,4
21,63,66,3,dispatch_decision_block,-0.4321764409542084,1.125347375869751,1.1257641315460205,1.693434715270996,4
22,66,69,3,dispatch_decision_block,-0.6654610633850098,1.5452340841293335,1.1953834295272827,1.6829156875610352,4
23,69,72,3,dispatch_decision_block,-0.8288323283195496,2.0404202938079834,1.28910231590271,2.2237164974212646,4
