epoch,advantage_action_alignment,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_action_decision_agreement_ratio_under_td_aligned
0,0.022349057719111443,0.02172771841287613,0.5179166793823242,0.10036302357912064,0.1218709871172905,-0.02150796540081501,1.0214873552322388,0.39791667461395264
1,0.14876964688301086,0.032217320054769516,0.6441667079925537,0.1828029453754425,0.14144454896450043,0.041358377784490585,0.9955726265907288,0.36000001430511475
2,0.09672671556472778,0.02632131054997444,0.5491666793823242,0.30220651626586914,0.20118573307991028,0.10102075338363647,0.9200746417045593,0.3895833492279053
3,0.253292441368103,-0.0032611375208944082,0.4650000035762787,0.4299088716506958,0.2645133435726166,0.16539548337459564,0.8173428177833557,0.42000001668930054
4,0.35290539264678955,0.014524177648127079,0.4387499988079071,0.42200741171836853,0.2712547481060028,0.15075264871120453,0.793762743473053,0.47208333015441895
5,-0.06506404280662537,-0.002432726789265871,0.42250001430511475,0.4978913366794586,0.31230172514915466,0.18558967113494873,0.7432933449745178,0.4775000214576721
