mode,epoch,update_epoch,minibatch_id,trace_stage,trace_scope,set_type,critic_loss,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,critic_grad_norm,actor_grad_norm,critic_param_delta_norm,actor_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,popart_mean,popart_std
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,before_popart_update,preloop,held_out_batch,1.8704402446746826,-19.32539939880371,8.959480285644531,-1.3958534002304077,1.4396981000900269,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960212469100952,0.427884578704834,0.13960212469100952,0.427884578704834,-0.724806010723114,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,after_popart_update,preloop,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,-1,-1,after_target_build,preloop,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,before_actor,minibatch,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_actor_before_critic,minibatch,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,before_critic,minibatch,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_backward_before_step,minibatch,held_out_batch,1.354748249053955,-21.00154685974121,10.794745445251465,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.13960210978984833,0.427884578704834,0.13960209488868713,0.427884578704834,-0.7248061299324036,-0.3581501543521881,-0.36228227615356445,-0.40128201246261597,4.812275066287085,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_optimizer_step,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,4.812275066287085,0.0,0.053310674266317956,0.0,0.0523677106501573,0.00491280850148939,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,0,after_critic,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,4.812275066287085,0.0,0.053310674266317956,0.0,0.0523677106501573,0.00491280850148939,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,before_actor,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_actor_before_critic,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,before_critic,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_backward_before_step,minibatch,held_out_batch,1.3117468357086182,-21.427339553833008,10.567605972290039,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15066540241241455,0.4444596767425537,0.15066538751125336,0.4444596767425537,-0.7107352614402771,-0.34166663885116577,-0.382427841424942,-0.42028385400772095,3.124011711610898,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_optimizer_step,minibatch,held_out_batch,1.2663168907165527,-21.88950538635254,10.21873664855957,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15442247688770294,0.47266480326652527,0.15442247688770294,0.47266480326652527,-0.692645251750946,-0.31117212772369385,-0.38363543152809143,-0.4376373291015625,3.124011711610898,0.0,0.058455176575895856,0.0,0.05767644536473469,0.004761507773030972,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,1,after_critic,minibatch,held_out_batch,1.2663168907165527,-21.88950538635254,10.21873664855957,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15442247688770294,0.47266480326652527,0.15442247688770294,0.47266480326652527,-0.692645251750946,-0.31117212772369385,-0.38363543152809143,-0.4376373291015625,3.124011711610898,0.0,0.058455176575895856,0.0,0.05767644536473469,0.004761507773030972,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,2,before_actor,minibatch,held_out_batch,1.2663168907165527,-21.88950538635254,10.21873664855957,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15442247688770294,0.47266480326652527,0.15442247688770294,0.47266480326652527,-0.692645251750946,-0.31117212772369385,-0.38363543152809143,-0.4376373291015625,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
hierarchical_actor_joint_reward_aligned_credit,0,0,2,after_actor_before_critic,minibatch,held_out_batch,1.2663168907165527,-21.88950538635254,10.21873664855957,-0.8587658405303955,1.1949282884597778,-34.448604583740234,10.621320724487305,-15.658510208129883,14.838415145874023,0.15442247688770294,0.47266480326652527,0.15442247688770294,0.47266480326652527,-0.692645251750946,-0.31117212772369385,-0.38363543152809143,-0.4376373291015625,0.0,0.0,0.0,0.0,0.0,0.0,-26.815319697062176,8.888668270533062
