epoch,episode_reward,episode_delay,episode_energy,actor_loss,critic_loss,entropy
0.0,-5.014965999447517e+18,5.014965999438354e+18,178.6664728559796,0.010960240804013751,2.9137917044617144e+35,33.081787109375
1.0,-2.6504305841161293e+18,2.650430584106302e+18,191.71273298582477,-0.010958820692307893,1.4717722366324753e+35,33.081787109375
2.0,-3.2150854401012823e+18,3.2150854400920115e+18,180.77637957391664,-0.01715902966402826,1.910654052785458e+35,33.081787109375
3.0,-3.6231677032955453e+18,3.6231677032861957e+18,182.46859097151898,-0.00397536890315158,1.9911098661414216e+35,33.081787109375
4.0,-2.0079407370373553e+18,2.0079407370280028e+18,181.19477981437277,0.014453544503166563,7.630315578515697e+34,33.081787109375
5.0,-3.1022218747197843e+17,3.102221874624183e+17,186.44645942671752,-0.0009577557267177673,3.253341805852596e+33,33.081787109375
6.0,-1.2051258455490974e+19,1.2051258455481704e+19,180.8169549422372,0.0152506972884848,1.7893855069898006e+36,33.081787109375
7.0,-3.03280646889632e+18,3.032806468886908e+18,182.87550914443938,-0.017253530189572347,1.146326594984085e+35,33.081787109375
8.0,-3.7883278225216133e+18,3.788327822511818e+18,190.26929042337343,-0.022039894768524738,2.219019595787258e+35,33.081787109375
9.0,-2.5309926215384504e+18,2.530992621528708e+18,189.60872666282592,-0.0008269469918949264,1.861188972146574e+35,33.081787109375
10.0,-3.8903584065687793e+18,3.8903584065596037e+18,178.5414775891056,-0.0005036161414214543,2.215928197625895e+35,33.081787109375
11.0,-2.233507143781496e+18,2.2335071437718925e+18,186.42152648191748,0.014212964324369318,9.24426181911164e+34,33.081787109375
12.0,-3.893598788118417e+18,3.89359878810878e+18,187.29004726729863,0.027674006209487005,2.6934754001290248e+35,33.081787109375
13.0,-4.515849324817988e+18,4.5158493248091167e+18,173.55467019671445,-0.01624380699580624,2.686217919615048e+35,33.081787109375
14.0,-6.371025849472579e+18,6.371025849463033e+18,184.84705338959165,-0.01320480772604545,7.379652888372132e+35,33.081787109375
15.0,-4.98944117796816e+18,4.989441177958966e+18,179.3883998458589,0.02213957914639087,5.680120208378008e+35,33.081787109375
16.0,-2.433216804786053e+18,2.4332168047771146e+18,174.25921641483964,-0.015551125896828515,8.704330866550106e+34,33.081787109375
17.0,-2.320190687404953e+18,2.3201906873951693e+18,190.39246062106537,-0.024921814157139687,8.503042769670881e+34,33.081787109375
18.0,-7.701367019750577e+18,7.701367019741281e+18,180.48861999904227,0.008388714887024392,8.191818943080655e+35,33.081787109375
19.0,-3.2695382656880497e+18,3.269538265678477e+18,186.40730353727298,-0.012644644161420209,1.5616873689734802e+35,33.081787109375
20.0,-4.998157834809615e+18,4.998157834799952e+18,188.33413030514268,0.005216340179599467,3.842925624959256e+35,33.081787109375
21.0,-6.822552585545837e+18,6.822552585536725e+18,178.73673330484908,0.008591657415741966,7.634189314548838e+35,33.081787109375
22.0,-3.755731149055111e+18,3.7557311490457933e+18,181.48506629707813,-0.0029314555493848665,3.0634553929445657e+35,33.081787109375
23.0,-3.248893498936458e+18,3.2488934989266606e+18,189.51878120293202,-0.025502464467925683,1.1392934502796823e+35,33.081787109375
24.0,-5.062228601876547e+18,5.06222860186684e+18,189.45595716903856,2.921434740225474e-05,4.517742590722181e+35,33.081787109375
25.0,-5.282904425708178e+18,5.282904425699104e+18,176.23768396761665,0.011643509469216778,6.720556892192123e+35,33.081787109375
26.0,-3.026302760494251e+18,3.0263027604851814e+18,176.72466863565083,-0.014969796718408665,1.1473131730668792e+35,33.081787109375
27.0,-3.6312125984931087e+18,3.6312125984843187e+18,171.312642624765,-0.019713178897897404,3.8861811331113285e+35,33.08174569266183
28.0,-4.708012544408786e+18,4.708012544399198e+18,186.6245905444169,-0.022048778122379667,5.288542907019007e+35,33.08111772083101
29.0,-3.8515451438366996e+18,3.8515451438276285e+18,176.8721486095454,-0.00843006292624133,1.7994274473927278e+35,33.08104451497396
30.0,-2.6169056060951117e+18,2.6169056060850376e+18,197.2109382675376,0.007578789345210507,1.1670758677357618e+35,33.0810432434082
31.0,-4.512355779746818e+18,4.5123557797376937e+18,178.32124241326508,-0.0061054481858653685,6.020680715913147e+35,33.0810432434082
32.0,-4.96294720359101e+18,4.962947203581962e+18,175.86898045798438,-0.030269479068617027,3.9894699745319354e+35,33.0810432434082
33.0,-1.2093407003525235e+19,1.209340700351634e+19,173.69776576597985,0.00860656580577294,2.4755424835975176e+36,33.0810432434082
34.0,-4.5957410339410294e+18,4.5957410339316767e+18,181.91706262563173,-0.017431853228204307,1.779002728918122e+35,33.0810432434082
35.0,-4.5986431764493435e+18,4.5986431764403374e+18,175.42545064834465,-0.028172300551973638,2.5036932387939775e+35,33.0810432434082
36.0,-3.0556805524478746e+18,3.055680552438535e+18,181.35159648159578,0.005401339115841048,1.985634539305925e+35,33.0810432434082
37.0,-3.7723769617924147e+18,3.772376961782793e+18,187.4865013351004,0.01632175412738607,1.939172728448081e+35,33.0810432434082
38.0,-2.5235034080159995e+18,2.523503408006503e+18,185.5786606992041,-0.015092160730134873,7.844010764379988e+34,33.0810432434082
39.0,-4.3012787184342876e+18,4.3012787184249165e+18,182.9505519079908,0.01853659999601188,3.2236974724175548e+35,33.0810432434082
40.0,-7.09604476196113e+18,7.096044761951305e+18,191.51971547762489,-0.007076535728715715,1.0136037380723946e+36,33.0810432434082
41.0,-2.3923396529739894e+18,2.3923396529643505e+18,187.6529869563216,0.001008723330284868,6.840836428561274e+34,33.0810432434082
42.0,-4.880174016061479e+18,4.880174016052242e+18,179.51125045095807,-0.001706425632749285,4.064671539587513e+35,33.0810432434082
43.0,-3.2114967745059456e+18,3.2114967744961567e+18,189.5763086623213,-0.005307404235714958,2.5244251347706062e+35,33.0810432434082
44.0,-6.27671096621087e+18,6.27671096620142e+18,184.20673946997206,-0.0015700022645649455,4.694198695968857e+35,33.0810432434082
