epoch,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign
0,1.0039385557174683,0.048853203654289246,0.9004427194595337,1.1569247245788574,0.17936855554580688,0.0,0.17936855554580688,0.014478752389550209,-0.030179182067513466,-0.013838239014148712,"{""negative"": {""count"": 100, ""max"": 1.1569247245788574, ""mean"": 1.0039385557174683, ""min"": 0.9004427194595337, ""std"": 0.048853203654289246}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}"
1,1.0107730627059937,0.07065517455339432,0.8859577178955078,1.2812002897262573,0.39432594180107117,0.0,0.39432594180107117,0.03553127497434616,-0.030164407566189766,-0.04633708670735359,"{""negative"": {""count"": 100, ""max"": 1.2812002897262573, ""mean"": 1.0107730627059937, ""min"": 0.8859577178955078, ""std"": 0.07065517455339432}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}"
2,1.018796443939209,0.09457144886255264,0.8218197822570801,1.4075517654418945,0.32341212034225464,0.41542208194732666,0.31204015016555786,0.025968562811613083,-0.030164185911417007,-0.049214448779821396,"{""negative"": {""count"": 89, ""max"": 1.4075517654418945, ""mean"": 1.018593668937683, ""min"": 0.8218197822570801, ""std"": 0.08922775089740753}, ""positive"": {""count"": 11, ""max"": 1.2783008813858032, ""mean"": 1.020437240600586, ""min"": 0.8650873899459839, ""std"": 0.1299513727426529}}"
3,1.0078645944595337,0.07306556403636932,0.8349924087524414,1.3519833087921143,0.28261813521385193,0.319961816072464,0.27385851740837097,0.027648750692605972,-0.03016803227365017,-0.039406996220350266,"{""negative"": {""count"": 81, ""max"": 1.2038204669952393, ""mean"": 1.0039587020874023, ""min"": 0.8709906339645386, ""std"": 0.0595490001142025}, ""positive"": {""count"": 19, ""max"": 1.3519833087921143, ""mean"": 1.0245155096054077, ""min"": 0.8349924087524414, ""std"": 0.11241870373487473}}"
4,1.0138124227523804,0.09183423221111298,0.7920517921447754,1.2941032648086548,0.4114908277988434,0.4117613434791565,0.4114188551902771,0.03533756732940674,-0.030170327052474022,-0.06764456629753113,"{""negative"": {""count"": 79, ""max"": 1.2941032648086548, ""mean"": 1.0118215084075928, ""min"": 0.7920517921447754, ""std"": 0.08945533633232117}, ""positive"": {""count"": 21, ""max"": 1.2440167665481567, ""mean"": 1.0213019847869873, ""min"": 0.8427515029907227, ""std"": 0.09992454946041107}}"
