sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,route_true_gap_bucket,A_route_bucket
0,4,1,1,-0.025539159774780273,-0.09530854225158691,-0.523809552192688,-0.523809552192688,-0.523809552192688,-0.523809552192688,0.0,0.0,1,1,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
0,7,2,1,-0.6867306232452393,-0.1036129891872406,-0.523809552192688,-0.523809552192688,-0.523809552192688,-0.523809552192688,0.0,0.0,1,1,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
0,8,2,2,-0.08254265785217285,0.015986084938049316,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
0,10,3,1,-0.35627126693725586,0.7832208871841431,-1.166961908340454,-1.166961908340454,-1.166961908340454,-1.166961908340454,0.0,0.0,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
0,11,3,2,-0.07654732465744019,0.046325474977493286,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,1,False,1,0,0,False,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
0,12,4,0,-0.36426442861557007,0.10939633846282959,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,0.0,0.0,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(0.0733, 0.333]"
0,13,4,1,-0.33790522813796997,0.44221237301826477,-0.43335583806037903,-0.43335583806037903,-0.43335583806037903,-0.43335583806037903,0.0,0.0,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
0,15,5,0,-0.32611513137817383,0.5332955121994019,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,0.0,0.0,1,1,False,1,0,0,False,"(-0.0136, 0.00342]","(0.333, 2.732]"
0,16,5,1,-0.10140460729598999,-0.12062317132949829,-0.523809552192688,-0.523809552192688,-0.523809552192688,-0.523809552192688,0.0,0.0,1,1,True,1,1,0,True,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
0,17,5,2,-0.6714828610420227,-0.17685329914093018,-0.3152870237827301,-0.3152870237827301,-0.3152870237827301,-0.3152870237827301,0.0,0.0,1,1,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
0,21,7,0,-0.1504383087158203,-0.32102763652801514,-1.4566283226013184,-1.4566283226013184,-1.4566283226013184,-1.4566283226013184,0.0,0.0,1,1,True,1,0,0,False,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
0,23,7,2,-0.5016978979110718,-0.39682960510253906,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,1,True,1,1,0,True,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
1,1,0,1,-1.1809258460998535,-0.7851977348327637,-0.4920099973678589,-0.7206674218177795,-0.7533698081970215,-0.7206674218177795,-0.22865742444992065,0.03270238637924194,1,1,False,1,0,0,True,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
1,4,1,1,0.6230047345161438,-0.6905415654182434,-0.523809552192688,-0.7357061505317688,-0.7684085369110107,-0.7357061505317688,-0.2118965983390808,0.03270238637924194,1,0,False,1,1,0,False,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
1,5,1,2,-0.22272658348083496,-0.7889970541000366,-0.04445453733205795,-0.28565242886543274,-0.31079888343811035,-0.28565242886543274,-0.2411978840827942,0.025146454572677612,1,1,False,1,0,0,True,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
1,6,2,0,0.2608933448791504,2.307347536087036,-0.09117268025875092,-0.4259599447250366,-0.39841026067733765,-0.39841026067733765,-0.30723756551742554,-0.027549684047698975,1,0,False,1,1,0,True,"(-0.0433, -0.0136]","(0.333, 2.732]"
1,8,2,2,2.6707448959350586,-1.5693941116333008,-0.5867409110069275,-0.8710781931877136,-0.8962246775627136,-0.8710781931877136,-0.28433728218078613,0.025146484375,1,0,False,1,1,0,False,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
1,11,3,2,0.20160534977912903,1.7787253856658936,-0.4642857015132904,-0.7084845900535583,-0.7336310744285583,-0.7084845900535583,-0.24419888854026794,0.025146484375,1,0,True,1,1,0,False,"(0.00342, 0.0337]","(0.333, 2.732]"
1,13,4,1,0.9995112419128418,1.8094608783721924,-0.0,-0.41386929154396057,-0.4465717375278473,-0.41386929154396057,-0.41386929154396057,0.03270244598388672,1,0,True,1,0,0,True,"(0.00342, 0.0337]","(0.333, 2.732]"
1,15,5,0,0.43039441108703613,0.8585405349731445,-0.6210760474205017,-1.1525249481201172,-1.1249752044677734,-1.1249752044677734,-0.5038991570472717,-0.02754974365234375,1,0,False,1,0,0,False,"(-0.0433, -0.0136]","(0.333, 2.732]"
1,17,5,2,-0.8901418447494507,-1.220945954322815,-0.3363088071346283,-0.7319411635398865,-0.7570876479148865,-0.7319411635398865,-0.3956323564052582,0.025146484375,1,1,False,1,0,0,True,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
1,18,6,0,-1.6533701419830322,0.44353246688842773,-0.0,-0.2820360064506531,-0.2544863224029541,-0.2544863224029541,-0.2544863224029541,-0.027549684047698975,1,1,False,1,1,0,True,"(-0.0433, -0.0136]","(0.333, 2.732]"
1,20,6,2,0.24319511651992798,-0.05774441361427307,-0.2980230748653412,-0.4897611141204834,-0.5149075984954834,-0.4897611141204834,-0.1917380392551422,0.025146484375,1,0,False,1,1,0,False,"(0.00342, 0.0337]","(-0.0671, 0.0733]"
1,23,7,2,0.5348592400550842,-1.230602741241455,-0.35873958468437195,-0.6047772765159607,-0.6299237608909607,-0.6047772765159607,-0.24603769183158875,0.025146484375,1,0,False,1,1,0,False,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
2,0,0,0,0.6929019093513489,0.3357710540294647,-0.6815385818481445,-0.9708425402641296,-0.9723349213600159,-0.9708425402641296,-0.2893039584159851,0.0014923810958862305,1,0,True,1,0,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
2,1,0,1,1.5160177946090698,0.5988798141479492,-0.2667246460914612,-0.4945126473903656,-0.4999130964279175,-0.4945126473903656,-0.22778800129890442,0.00540044903755188,1,0,True,1,0,0,True,"(0.00342, 0.0337]","(0.333, 2.732]"
2,2,0,2,0.41663500666618347,-0.12474571168422699,-0.13178417086601257,-0.37235334515571594,-0.3716859221458435,-0.3716859221458435,-0.23990175127983093,-0.0006674230098724365,1,0,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
2,3,1,0,0.6883248090744019,-1.3984730243682861,-0.633764922618866,-0.8093406558036804,-0.8108330368995667,-0.8093406558036804,-0.17557573318481445,0.0014923810958862305,1,0,False,1,0,0,True,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
2,5,1,2,0.6441845893859863,1.3479533195495605,-0.9983597993850708,-1.1407581567764282,-1.1400907039642334,-1.1400907039642334,-0.1417309045791626,-0.0006674528121948242,1,0,False,1,0,0,False,"(-0.0136, 0.00342]","(0.333, 2.732]"
2,7,2,1,1.118899941444397,0.19540905952453613,-1.1102229356765747,-1.341579794883728,-1.3469802141189575,-1.341579794883728,-0.23135685920715332,0.005400419235229492,1,0,True,1,0,0,True,"(0.00342, 0.0337]","(0.0733, 0.333]"
2,9,3,0,-0.8232619762420654,0.7385755181312561,-0.40226125717163086,-0.5621116161346436,-0.5636039972305298,-0.5621116161346436,-0.1598503589630127,0.0014923810958862305,1,1,True,1,0,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
2,10,3,1,-0.527237594127655,-2.238126516342163,-0.31693997979164124,-0.5641343593597412,-0.5695347785949707,-0.5641343593597412,-0.24719437956809998,0.005400419235229492,1,1,False,1,0,0,True,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
2,11,3,2,-0.4074760675430298,-1.799291968345642,-0.4642857015132904,-0.5849230885505676,-0.5842556357383728,-0.5842556357383728,-0.1199699342250824,-0.0006674528121948242,1,1,True,1,1,0,True,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
2,15,5,0,0.41423118114471436,-1.542811393737793,-1.0,-1.2072606086730957,-1.2087531089782715,-1.2072606086730957,-0.2072606086730957,0.0014925003051757812,1,0,False,1,1,0,False,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
2,23,7,2,0.1352095603942871,1.3370925188064575,-0.5302666425704956,-0.7473065257072449,-0.74663907289505,-0.74663907289505,-0.21637243032455444,-0.0006674528121948242,1,0,False,1,0,0,False,"(-0.0136, 0.00342]","(0.333, 2.732]"
3,0,0,0,-0.3405719995498657,-0.3160174489021301,-0.5659750699996948,-0.719434916973114,-0.7251913547515869,-0.719434916973114,-0.1534598469734192,0.0057564377784729,1,1,False,1,1,0,False,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
3,2,0,2,-0.08306995034217834,0.04834473133087158,-0.028461871668696404,-0.169834166765213,-0.1905076801776886,-0.169834166765213,-0.14137229323387146,0.020673513412475586,1,1,True,1,0,0,True,"(0.00342, 0.0337]","(-0.0671, 0.0733]"
3,3,1,0,-0.40413376688957214,-0.22338193655014038,-0.5794311165809631,-0.6950804591178894,-0.7008368968963623,-0.6950804591178894,-0.11564934253692627,0.0057564377784729,1,1,False,1,1,0,False,"(0.00342, 0.0337]","(-0.294, -0.0671]"
3,4,1,1,0.222068190574646,0.4612720012664795,-0.2857142984867096,-0.7844263315200806,-0.5497068166732788,-0.5497068166732788,-0.2639925181865692,-0.23471951484680176,1,0,False,1,1,0,True,"(-0.236, -0.0433]","(0.333, 2.732]"
3,5,1,2,-0.09418247640132904,-0.35540926456451416,-0.015174091793596745,-0.12666286528110504,-0.14733636379241943,-0.12666286528110504,-0.11148877441883087,0.020673498511314392,1,1,False,1,0,0,True,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
3,7,2,1,0.01593882590532303,0.05380168557167053,-0.34257811307907104,-0.9181283712387085,-0.683408796787262,-0.683408796787262,-0.3408306837081909,-0.23471957445144653,1,0,False,1,0,0,False,"(-0.236, -0.0433]","(-0.0671, 0.0733]"
3,11,3,2,-0.41492849588394165,0.021608173847198486,-0.4642857015132904,-0.6014877557754517,-0.6221612691879272,-0.6014877557754517,-0.13720205426216125,0.020673513412475586,1,1,True,1,0,0,True,"(0.00342, 0.0337]","(-0.0671, 0.0733]"
3,13,4,1,-0.039438992738723755,0.14956161379814148,-0.6257295608520508,-1.041942834854126,-0.8072232604026794,-0.8072232604026794,-0.18149369955062866,-0.23471957445144653,1,1,False,1,0,0,False,"(-0.236, -0.0433]","(0.0733, 0.333]"
3,14,4,2,-0.13739630579948425,-0.06843656301498413,-0.5369243025779724,-0.6652332544326782,-0.6859067678451538,-0.6652332544326782,-0.1283089518547058,0.020673513412475586,1,1,False,1,1,0,False,"(0.00342, 0.0337]","(-0.294, -0.0671]"
3,15,5,0,0.2422010898590088,0.39174771308898926,-1.1184403896331787,-1.2716577053070068,-1.277414083480835,-1.2716577053070068,-0.15321731567382812,0.005756378173828125,1,0,True,1,0,0,True,"(0.00342, 0.0337]","(0.333, 2.732]"
3,16,5,1,-0.4581330418586731,0.2089635729789734,-0.6483073234558105,-1.120214581489563,-0.8854950666427612,-0.8854950666427612,-0.23718774318695068,-0.23471951484680176,1,1,False,1,1,0,True,"(-0.236, -0.0433]","(0.0733, 0.333]"
