sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,theta_true_gap_bucket,A_theta_bucket
0,0,0,0,-0.6549059152603149,-0.21003732085227966,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
0,1,0,1,-0.467016339302063,-0.2153858244419098,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,0.0,0.0,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
0,2,0,2,0.06522180885076523,-0.3410612940788269,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,-0.8770135641098022,0.0,0.0,0,0,,0,0,1,,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
0,3,1,0,-0.21574881672859192,0.7438888549804688,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0,1,,0,1,1,,"(-0.128, 0.0263]","(-0.291, -0.0766]"
0,4,1,1,-0.025539159774780273,-0.09530854225158691,-0.523809552192688,-0.523809552192688,-0.523809552192688,-0.523809552192688,0.0,0.0,1,1,True,1,0,0,False,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
0,5,1,2,-0.49712488055229187,-0.3468901515007019,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
0,6,2,0,-0.14313995838165283,0.4123387336730957,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0,1,,0,1,1,,"(-0.128, 0.0263]","(-0.291, -0.0766]"
0,7,2,1,-0.6867306232452393,-0.1036129891872406,-0.523809552192688,-0.523809552192688,-0.523809552192688,-0.523809552192688,0.0,0.0,1,1,True,1,0,0,False,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
0,8,2,2,-0.08254265785217285,0.015986084938049316,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,1,False,1,1,0,True,"(-0.128, 0.0263]","(-0.291, -0.0766]"
0,9,3,0,-0.09114491939544678,-0.13189876079559326,-1.166961908340454,-1.166961908340454,-1.166961908340454,-1.166961908340454,0.0,0.0,0,1,,0,0,1,,"(-0.128, 0.0263]","(-0.291, -0.0766]"
0,10,3,1,-0.35627126693725586,0.7832208871841431,-1.166961908340454,-1.166961908340454,-1.166961908340454,-1.166961908340454,0.0,0.0,1,1,False,1,1,0,True,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
0,11,3,2,-0.07654732465744019,0.046325474977493286,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,1,False,1,0,0,False,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
0,12,4,0,-0.36426442861557007,0.10939633846282959,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,-0.5333333611488342,0.0,0.0,1,1,False,1,1,0,True,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
