mode,epoch,update_epoch,minibatch_id,route_step_index_within_epoch,offload_active_count,offload_active_fraction,route_logprob_active_fraction,route_effective_advantage_mean,route_effective_advantage_std,route_loss,route_old_logprob_mean,route_new_logprob_mean,route_ratio_mean,route_approx_kl_precheck,route_clip_fraction_precheck,bare_route_head_grad_norm,bare_route_backbone_grad_norm,route_step_blocked_by_trust_region,route_step_blocked_by_coupled_stop,route_step_blocked_by_other_guard,optimizer_step_executed,route_param_delta_norm,counted_into_route_update_count,counted_route_head_grad_norm,counted_route_backbone_grad_norm,theta_step_happened_before_this_route_step,theta_param_delta_norm_before_route_step
hierarchical_actor_true_conditional_route_candidate_score_credit,0,0,0,2,396,0.515625,0.515625,-0.006085807457566261,0.9641662240028381,0.005275186616927385,-0.6753076910972595,-0.6753037571907043,1.0000046491622925,-3.979513166996185e-06,0.0,0.08128021151374687,0.05248773592666258,0.0,0.0,0.0,1.0,0.11372379724381723,1.0,0.08128021151374687,0.05248773592666258,1.0,0.13306272754359802
hierarchical_actor_true_conditional_route_candidate_score_credit,0,0,1,3,384,0.5,0.5,-0.022772030904889107,0.9782478213310242,0.02312445640563965,-0.671917200088501,-0.6732116341590881,0.9989572167396545,0.0012944088084623218,0.0,0.08477251874015196,0.05730186595278437,0.0,0.0,0.0,1.0,0.07854291551305885,1.0,0.08477251874015196,0.05730186595278437,1.0,0.07823388321165305
hierarchical_actor_true_conditional_route_candidate_score_credit,0,0,2,4,393,0.51171875,0.51171875,-0.034227605909109116,0.9790267944335938,0.03403273597359657,-0.6731090545654297,-0.6772722601890564,0.9963920712471008,0.004163205157965422,0.0,0.0786071714583447,0.0598068805146482,0.0,0.0,0.0,1.0,0.061393804430857346,1.0,0.0786071714583447,0.0598068805146482,1.0,0.06284770247262847
hierarchical_actor_true_conditional_route_candidate_score_credit,0,0,3,5,52,0.5416666865348816,0.5416666865348816,-0.056434888392686844,0.9708406329154968,0.033130448311567307,-0.6662685871124268,-0.6725477576255798,0.9946801662445068,0.006279160268604755,0.0,0.26729424365429505,0.17773574761933303,0.0,0.0,0.0,1.0,0.07034437741191872,1.0,0.26729424365429505,0.17773574761933303,1.0,0.061342656300053075
hierarchical_actor_true_conditional_route_candidate_score_credit,0,1,4,6,417,0.54296875,0.54296875,-0.04768434166908264,0.981860876083374,0.03780929371714592,-0.6763705015182495,-0.6809459924697876,0.9969941973686218,0.00457553518936038,0.0,0.0778083263544949,0.052749623535521324,0.0,0.0,0.0,1.0,0.06763069410014992,1.0,0.0778083263544949,0.052749623535521324,1.0,0.05536347157329799
hierarchical_actor_true_conditional_route_candidate_score_credit,0,1,5,7,383,0.4986979067325592,0.4986979067325592,0.04849414527416229,0.9692357778549194,-0.05853920802474022,-0.6653532981872559,-0.6820740103721619,0.9862632751464844,0.01672074757516384,0.0,0.0870406589584495,0.05374020704451899,0.0,0.0,0.0,1.0,0.06102454191934633,1.0,0.0870406589584495,0.05374020704451899,1.0,0.05309444324921897
hierarchical_actor_true_conditional_route_candidate_score_credit,0,1,6,8,383,0.4986979067325592,0.4986979067325592,-0.030628904700279236,0.9654908180236816,0.017771374434232712,-0.6760463714599609,-0.6895225048065186,0.9906613826751709,0.013476165011525154,0.023498695343732834,0.06765590265500862,0.04315738913107418,0.0,0.0,0.0,1.0,0.055053028763282025,1.0,0.06765590265500862,0.04315738913107418,1.0,0.050079424545670596
hierarchical_actor_true_conditional_route_candidate_score_credit,0,1,7,9,42,0.4375,0.4375,-0.3452026844024658,0.9271314144134521,0.3598470687866211,-0.6860321760177612,-0.6611756086349487,1.028648853302002,-0.02485661208629608,0.0476190485060215,0.3177250157289397,0.20276375723549947,0.0,0.0,0.0,1.0,0.05238156013407662,1.0,0.3177250157289397,0.20276375723549947,1.0,0.05048771750104877
hierarchical_actor_true_conditional_route_candidate_score_credit,0,2,8,10,394,0.5130208134651184,0.5130208134651184,-0.06794938445091248,0.9747394919395447,0.062350016087293625,-0.6705883145332336,-0.6917724609375,0.9845371842384338,0.021184127777814865,0.0964467003941536,0.08040321216486757,0.052700321333828855,0.0,0.0,0.0,1.0,0.04641388613385354,1.0,0.08040321216486757,0.052700321333828855,1.0,0.04804957491039898
hierarchical_actor_true_conditional_route_candidate_score_credit,0,2,9,11,412,0.5364583134651184,0.5364583134651184,-0.05331295356154442,0.9679498672485352,0.03125210106372833,-0.6785722970962524,-0.6918963193893433,0.9929560422897339,0.013323978520929813,0.11407767236232758,0.08720573974321369,0.05335710141497317,0.0,0.0,0.0,1.0,0.043934482656637186,1.0,0.08720573974321369,0.05335710141497317,1.0,0.04362947416752594
