epoch,episode_reward,episode_cost,episode_queue_penalty,episode_delay,episode_local_delay_cost,episode_uplink_delay_cost,episode_backhaul_delay_cost,episode_bs_compute_delay_cost,episode_energy,episode_uplink_energy,episode_local_compute_energy,episode_bs_compute_energy,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_normalized_avg_queue_len,avg_raw_total_backlog,avg_normalized_total_backlog,avg_theta,num_steps,actor_loss,critic_loss,entropy
0.0,-395.1540389027448,383.4350934412397,11.718945461504891,379.28739492915577,257.2998441041474,10.088408736261016,0.40396818694323944,111.49517390180411,82.953970241683,1.3410873190221373,33.090049969446795,48.52283295321403,379.28739492915577,4.1476985120841485,11.718945461504891,0.058594727307524457,4316859215.4085455,1.9922207284558313,0.4899339004883499,100.0,-0.0011757256579585373,3168.203998565674,15.096361756324768
1.0,-463.32473199899044,450.82779606256463,12.49693593642575,446.21150194220144,308.6657914094025,11.18042830462059,0.4553607752233106,125.909921452955,92.32588240726568,1.4159712842178178,36.594780656974656,54.31513046607322,446.21150194220144,4.6162941203632855,12.49693593642575,0.06248467968212875,4841784188.793788,2.1244791091923783,0.49219298733658884,100.0,-0.08594853919930756,4415.891418457031,15.1130351126194
2.0,-412.01213217261204,400.143621608167,11.868510564445044,395.86237379480644,264.08251067004113,10.882899760449902,0.446471798203166,120.45049156611216,85.62495626721349,1.3439799719326044,33.781582385293206,50.499393909987674,395.86237379480644,4.281247813360675,11.868510564445044,0.05934255282222522,4477893023.82955,2.0176467959556574,0.4877300407019702,100.0,-0.1190609426703304,3254.7657928466797,15.12462043762207
3.0,-503.995024208071,491.19556517814766,12.799459029923252,486.4775455769311,341.80488760732976,11.883484902100744,0.4965737960836363,132.29259927141695,94.36039202433554,1.4609252358530418,38.291725673526756,54.6077411149558,486.4775455769311,4.71801960121678,12.799459029923252,0.06399729514961626,4942658611.351225,2.1759080350869526,0.48588723529865574,100.0,-0.12252550665289164,4988.049964904785,15.120477080345154
4.0,-417.43365805290034,405.38254425263756,12.051113800262769,400.9452896126855,273.7341830362231,10.141469271792065,0.39902971587532887,116.67060758879515,88.7450927990402,1.331753045525934,34.727568876572946,52.68577087694135,400.9452896126855,4.437254639952015,12.051113800262769,0.06025556900131385,4623010555.72031,2.0486893460446693,0.48712666667778726,100.0,-0.034411053173244,3318.097122192383,15.12119522690773
5.0,-440.9574954484775,429.0601536656566,11.897341782820806,424.6022179309278,299.91308796227605,10.125797067536793,0.39080851235906783,114.17252438875579,89.1587146945798,1.3244864651377781,36.369759279897686,51.46446894954439,424.6022179309278,4.4579357347289905,11.897341782820806,0.059486708914104035,4683598760.734903,2.0225481030795374,0.47724647439927453,100.0,-0.16395890759304166,3760.1743774414062,15.14673900604248
6.0,-446.56571752324237,434.0485491613569,12.517168361885624,429.52036581372175,291.70041414528424,11.48544127112925,0.4472215360408222,125.88728886126722,90.563666952705,1.436793106936671,35.79769481818794,53.32917902758039,429.52036581372175,4.52818334763525,12.517168361885624,0.06258584180942811,4720982344.030528,2.1279186215205557,0.4914129912337183,100.0,-0.07996276248013601,3802.4426193237305,15.156917870044708
7.0,-445.60459105772634,433.21805063991724,12.386540417808945,428.6699414477434,291.1903612458553,11.067519244400915,0.41560268622216395,125.9964582712649,90.96218384348195,1.413162115464051,35.740923971721905,53.80809775629597,428.6699414477434,4.5481091921740955,12.386540417808945,0.06193270208904472,4727085036.951917,2.1057118710275207,0.49363289463021187,100.0,-0.20180016849189997,3667.9833450317383,15.147530555725098
8.0,-443.80379046453135,431.03871936715177,12.76507109737945,426.37117537223673,288.42687647329876,11.481283227881729,0.40075078787237134,126.06226488318381,93.35087989830066,1.440909937211902,36.461632056353004,55.448337904735716,426.37117537223673,4.667543994915031,12.76507109737945,0.06382535548689725,4853823624.089958,2.1700620865545064,0.4986451072949538,100.0,-0.08824874472338706,3606.0700149536133,15.159914374351501
9.0,-501.89862658318333,488.64253951158446,13.256087071598724,483.86291853816164,324.08126885370064,13.285921889431833,0.4861305627404253,146.00959723228874,95.592419468458,1.5566469677974675,36.894757608346545,57.14101489231402,483.86291853816164,4.7796209734229045,13.256087071598724,0.06628043535799362,4965501523.611124,2.253534802171783,0.5052939972451611,100.0,-0.05377885582856834,4633.981430053711,15.17286080121994
