epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_adv_to_route_delta_alignment,route_adv_to_theta_delta_alignment,theta_alignment_margin_over_cross,route_alignment_margin_over_cross,cross_branch_alignment_mean,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,theta_update_count,route_update_count,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.004026027861982584,0.3250691592693329,1.3584926128387451,-1.4784787893295288,0.0029257272835820913,0.35408130288124084,1.3555891513824463,-1.4028661251068115,4.0729841721542925e-09,1.0,1.6787225831649266e-08,1.0,1193.0,0.0,0.13078200817108154,-0.012378573417663574,-0.02495824173092842,0.0007934754248708487,0.15574024990200996,-0.013172048842534423,-0.012082383153028786,0.004100247751921415,-0.01163612212985754,-0.016244318336248398,-0.008866475895047188,0.1795833259820938,0.09639564156532288,1.0041003227233887,0.16007862985134125,1.2648043632507324,0.9883638024330139,0.12937511503696442,1.285454511642456,0.008929979987442493,0.020342916250228882,-0.018681878224015236,-0.0031198228243738413,0.16699719429016113,0.06967118894198895,0.14141219977499458,0.08216349041942891,0.10034986304809497,0.03,0.015,0,0,0,0,0,0,1.0,0.015,40,40,0.00025480505597670345,0.0006988660088381949,-0.00020704478508832836,-0.0006168541628198909,0.0,0.00031598367568221877,-0.012655984610319138,0.11354007571935654,0.49801138043403625,0.6618263721466064,0.05229302868247032,0.5486438274383545,-0.10994875431060791,0.6063331961631775
1,-0.005805660970509052,0.24879179894924164,1.8792290687561035,-1.74916410446167,0.002616670448333025,0.27261847257614136,2.3399221897125244,-1.6669843196868896,5.563100202721216e-09,0.9999999403953552,-2.3921595815323826e-09,1.0,1196.0,0.0,0.3916943371295929,-0.0376448929309845,-0.03472403809428215,0.013055380433797836,0.42641837522387505,-0.05070027336478233,-0.010834328830242157,0.005967388395220041,0.0009935300331562757,-0.03924597427248955,0.0041403756476938725,0.13333334028720856,0.5861204266548157,1.005967378616333,0.13129359483718872,1.4405171871185303,1.0009934902191162,0.25648412108421326,1.7757048606872559,0.0028078488539904356,0.03341512009501457,-0.04526574909687042,-0.15724316239356995,3.4737770557403564,0.08283051013405714,0.15424236667393687,0.13972049779012177,0.21927026523491683,0.03,0.015,0,0,0,0,0,0,1.0,0.015,40,40,0.00013586169600330323,0.0010836326788307815,-9.265348644476035e-05,-0.0008867141095834086,0.0,0.00024881622684915785,-0.011122865602374077,0.028138691559433937,0.49976953864097595,0.6546176075935364,0.06563366204500198,0.6401011347770691,-0.13381348550319672,0.806870698928833
2,-0.009887322783470154,0.26121819019317627,2.17280912399292,-1.7025445699691772,0.0019384340848773718,0.29361581802368164,2.0122616291046143,-1.5636574029922485,9.33806099112644e-09,1.0,-4.9200736818022506e-09,1.0,1163.0,0.0,0.4199320375919342,0.06795622408390045,-0.038145244121551514,0.01349795050919056,0.4580772817134857,0.05445827357470989,-0.012323646806180477,-0.007025494705885649,0.018138108775019646,-0.04838817939162254,0.0009301585960201919,0.11291666328907013,0.680137574672699,0.9929745197296143,0.12280184030532837,1.5141223669052124,1.01813805103302,0.3012692630290985,1.7476412057876587,0.01486477255821228,0.03179572895169258,-0.04441733658313751,-0.20934538543224335,4.713144779205322,0.08486584443427037,0.13219995040048377,0.14485332346105112,0.25879303572063966,0.03,0.015,0,0,0,0,0,0,1.0,0.015,40,40,0.0005779575615633803,0.000873785933436011,-0.0005401265640102793,-0.0006349910214339616,0.0,0.00020003866357001243,-0.000521783484145999,-0.0033260169439017773,0.4950791895389557,0.6394240260124207,0.015196218155324459,0.7106982469558716,-0.06097906082868576,0.9413213133811951
3,-0.04129482060670853,0.2827165126800537,1.6523001194000244,-1.905712366104126,0.011095087975263596,0.4058661162853241,2.545722246170044,-2.897472620010376,-6.357828929992593e-09,1.0,-8.228424164258286e-09,1.0,1159.0,0.0,0.4061356484889984,0.017583979293704033,-0.05335823819041252,0.048405617475509644,0.45949388667941093,-0.03082163818180561,-0.002476310357451439,-0.0006944431224837899,0.07142706215381622,-0.03370247781276703,0.0736256018280983,0.09666666388511658,0.6626402139663696,0.9993054270744324,0.11942930519580841,1.3981037139892578,1.0714269876480103,0.3352363109588623,2.033230781555176,0.008064240217208862,0.002318908926099539,-0.04372081160545349,-0.3158312141895294,7.223816871643066,0.08992353917056929,0.104945684529029,0.14688988482491092,0.21014392385503947,0.03,0.015,0,0,0,0,0,0,1.0,0.015,40,40,0.0003979453786087106,0.0008328399686433841,-0.00036146720162832935,-0.0004680811248817918,0.0,0.0001186521817544417,0.0008842258248478174,-0.012227525003254414,0.4961596131324768,0.5850186944007874,-0.10607212036848068,0.899031400680542,-0.5009150505065918,1.2550694942474365
4,-0.16363926231861115,0.266792356967926,2.0966453552246094,-2.5911214351654053,0.015277783386409283,0.516766369342804,1.9570547342300415,-1.961306095123291,7.947286384535346e-09,1.0,6.651608153163124e-09,1.0,1147.0,0.0,0.43626245856285095,-0.058959320187568665,-0.028939636424183846,-0.004946610424667597,0.4652020949870348,-0.05401270976290107,-0.01694312342442572,-0.010015339590609074,0.05230184644460678,-0.031828150153160095,0.07563353329896927,0.1262499988079071,0.21795989573001862,0.9899846315383911,0.12876586616039276,1.4135353565216064,1.0523017644882202,0.19865867495536804,2.33260178565979,0.018719900399446487,-0.023987991735339165,-0.04955017939209938,-0.217275470495224,4.384957313537598,0.08958582089878811,0.07613381436972268,0.1482432827217446,0.1296833930536274,0.03,0.015,0,0,0,0,0,0,1.0,0.015,40,40,0.0006647694312050589,-0.0009994726870900194,-0.0006284316403252887,0.0011956426722008473,0.0,5.310378110152669e-05,0.003467201255261898,-0.01889977790415287,0.49582818150520325,0.3477381765842438,-0.15225885808467865,1.327390432357788,-0.7954637408256531,1.787136435508728
