epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,route_candidate_score_mean,route_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_residual_credit_min,route_residual_credit_max,route_expected_score_mean,route_selected_score_mean,route_score_vector_mean_abs,route_score_vector_std,route_credit_fallback_trigger_count,route_credit_fallback_rate,theta_old_logprob_mean,theta_new_logprob_mean,route_old_logprob_mean,route_new_logprob_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,conditional_policy_consistency_score,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_true_conditional_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,1.0041003227233887,0.16007862985134125,1.2648043632507324,0.9883638024330139,0.12937511503696442,1.285454511642456,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,1.0,0.0,1.0,1.0,-1.9025522135507345e-07,0.995085597038269,-0.03212945535778999,0.9879896640777588,-1.1528923511505127,1.1739678382873535,-0.003066684352234006,-0.03519614413380623,0.9897223711013794,0.9947088956832886,0,0.0,-0.6858436465263367,-0.6947736740112305,-0.686707615852356,-0.7070505619049072,0.008929979987442493,0.020342916250228882,0.1795833259820938,0.09639564156532288,0.5021172761917114,0.00025480505597670345,0.0006988660088381949,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.0037836000521565437,0.0037836000521565437,-3.741459659067914e-05,0.0177230853587389,40,0,1.0,0.0,40,40,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_true_conditional_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,1.005967378616333,0.13129359483718872,1.4405171871185303,1.0009934902191162,0.25648412108421326,1.7757048606872559,0.4983333349227905,0.4983333349227905,0.4933333396911621,0.4933333396911621,0.4983333349227905,1196.0,1.0,0.0,1.0,1.0,-1.7306478184764273e-05,0.9953331351280212,0.014733757823705673,0.9519917368888855,-1.4026246070861816,1.3262429237365723,-0.013490281067788601,0.0012434788513928652,0.9891734719276428,0.9942042231559753,0,0.0,-0.6562356948852539,-0.659043550491333,-0.649882435798645,-0.6832975149154663,0.0028078488539904356,0.03341512009501457,0.13333334028720856,0.5861204266548157,0.5242086052894592,0.00013586169600330323,0.0010836326788307815,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.011489619198255242,0.011489619198255242,0.00417587673291564,0.03368442505598068,40,0,1.0,0.0,40,40,0.4983333349227905,0.4983333349227905,0.5,0.0
2,hierarchical_actor_true_conditional_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9929745197296143,0.12280184030532837,1.5141223669052124,1.01813805103302,0.3012692630290985,1.7476412057876587,0.4845833480358124,0.4845833480358124,0.47583332657814026,0.47583332657814026,0.4845833480358124,1163.0,1.0,0.0,1.0,1.0,-2.1320319376627594e-07,0.9938583970069885,0.0621669702231884,0.8847239017486572,-1.3362361192703247,1.4806687831878662,0.01952081359922886,0.081687793135643,0.9898951053619385,0.9948820471763611,0,0.0,-0.6224724650382996,-0.6373372673988342,-0.5873315334320068,-0.6191272139549255,0.01486477255821228,0.03179572895169258,0.11291666328907013,0.680137574672699,0.5562236905097961,0.0005779575615633803,0.000873785933436011,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.011900685288128442,0.011900685288128442,0.0019007084192708135,0.03728601709008217,40,0,1.0,0.0,40,40,0.4845833480358124,0.4845833480358124,0.5,0.0
3,hierarchical_actor_true_conditional_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9993054270744324,0.11942930519580841,1.3981037139892578,1.0714269876480103,0.3352363109588623,2.033230781555176,0.4829166531562805,0.4829166531562805,0.3987500071525574,0.3987500071525574,0.4829166531562805,1159.0,1.0,0.0,1.0,1.0,-3.7603896885229915e-07,0.9942793250083923,0.19003154337406158,0.7154847383499146,-1.5086857080459595,1.3683110475540161,0.24481801688671112,0.4348495900630951,0.9899095892906189,0.9948964715003967,0,0.0,-0.6121300458908081,-0.6201942563056946,-0.44999194145202637,-0.45231086015701294,0.008064240217208862,0.002318908926099539,0.09666666388511658,0.6626402139663696,0.6292453408241272,0.0003979453786087106,0.0008328399686433841,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.010266493041126524,0.010266493041126524,-0.0006734267226420343,0.03380613774061203,40,0,1.0,0.0,40,40,0.4829166531562805,0.4829166531562805,0.5,0.0
4,hierarchical_actor_true_conditional_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9899846315383911,0.12876586616039276,1.4135353565216064,1.0523017644882202,0.19865867495536804,2.33260178565979,0.4779166579246521,0.4779166579246521,0.2095833271741867,0.2095833271741867,0.4779166579246521,1147.0,1.0,0.0,1.0,1.0,9.35382402644791e-08,0.9956071376800537,0.17410564422607422,0.3802250325679779,-1.6922996044158936,1.3804906606674194,0.6724379658699036,0.8465436697006226,0.989976167678833,0.994963526725769,0,0.0,-0.5756398439407349,-0.5943597555160522,-0.1842576265335083,-0.160269632935524,0.018719900399446487,-0.023987991735339165,0.1262499988079071,0.21795989573001862,0.7272670865058899,0.0006647694312050589,-0.0009994726870900194,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.003907129307481228,0.003907129307481228,-0.0023235357366502285,0.03239686042070389,40,0,1.0,0.0,40,40,0.4779166579246521,0.4779166579246521,0.5,0.0
