sample_id,block_id,selected_joint_score_path,selected_joint_score_reward_aligned,best_joint_score_path,best_joint_score_reward_aligned,return
0,0,-1.0,-1.0570194721221924,-1.0,-1.0570194721221924,-38.663944244384766
0,1,-0.8770135641098022,-1.0920078754425049,-0.8770135641098022,-1.0656088590621948,-38.663944244384766
0,2,-0.8770135641098022,-1.1034843921661377,-0.8770135641098022,-1.1004464626312256,-38.663944244384766
0,3,-1.0,-1.1375494003295898,-1.0,-1.1286897659301758,-38.663944244384766
0,4,-0.523809552192688,-1.0580366849899292,-0.523809552192688,-1.0517159700393677,-38.663944244384766
0,5,-0.0,-1.0532745122909546,-0.0,-1.0532745122909546,-38.663944244384766
0,6,-0.0,-1.0593304634094238,-0.0,-1.0593304634094238,-38.663944244384766
0,7,-0.523809552192688,-1.0650718212127686,-0.523809552192688,-1.0650718212127686,-38.663944244384766
0,8,-1.0,-1.080833077430725,-1.0,-1.0484122037887573,-38.663944244384766
0,9,-1.166961908340454,-1.0720093250274658,-1.166961908340454,-1.0720093250274658,-38.663944244384766
0,10,-1.166961908340454,-1.066401481628418,-1.166961908340454,-1.0597048997879028,-38.663944244384766
0,11,-1.0,-1.0598820447921753,-1.0,-1.0482360124588013,-38.663944244384766
0,12,-0.5333333611488342,-1.1152466535568237,-0.5333333611488342,-1.1152466535568237,-38.663944244384766
0,13,-0.43335583806037903,-1.0640716552734375,-0.43335583806037903,-1.0494122505187988,-38.663944244384766
0,14,-0.43335583806037903,-1.1320104598999023,-0.43335583806037903,-1.1164201498031616,-38.663944244384766
0,15,-0.5333333611488342,-1.0867655277252197,-0.5333333611488342,-1.0479518175125122,-38.663944244384766
0,16,-0.523809552192688,-1.0677955150604248,-0.523809552192688,-1.0677955150604248,-38.663944244384766
0,17,-0.3152870237827301,-1.1204917430877686,-0.3152870237827301,-1.1204917430877686,-38.663944244384766
0,18,-0.3152870237827301,-1.0469045639038086,-0.3152870237827301,-1.0469045639038086,-38.663944244384766
0,19,-0.523809552192688,-1.0624799728393555,-0.523809552192688,-1.0624799728393555,-38.663944244384766
0,20,-1.0,-1.054588794708252,-1.0,-1.054588794708252,-38.663944244384766
0,21,-1.4566283226013184,-1.0960663557052612,-1.4566283226013184,-1.0090268850326538,-38.663944244384766
0,22,-1.4566283226013184,-1.0972687005996704,-1.4566283226013184,-1.0542848110198975,-38.663944244384766
0,23,-1.0,-1.0830764770507812,-1.0,-1.0585088729858398,-38.663944244384766
1,0,-1.0863624811172485,-1.7787057161331177,-1.0863624811172485,-1.772404432296753,-38.88917541503906
1,1,-0.7206674218177795,-1.7916232347488403,-0.4920099973678589,-1.7711888551712036,-38.88917541503906
1,2,-0.6027513742446899,-1.7500619888305664,-0.6027513742446899,-1.7500619888305664,-38.88917541503906
1,3,-1.1791653633117676,-1.7794878482818604,-1.1791653633117676,-1.7344255447387695,-38.88917541503906
1,4,-0.7684085369110107,-1.7527174949645996,-0.523809552192688,-1.734931230545044,-38.88917541503906
1,5,-0.28565242886543274,-1.7821296453475952,-0.04445453733205795,-1.7276736497879028,-38.88917541503906
1,6,-0.39841026067733765,-1.7742589712142944,-0.09117268025875092,-1.760935664176941,-38.88917541503906
1,7,-0.5762344002723694,-1.8152185678482056,-0.5762344002723694,-1.7555865049362183,-38.88917541503906
1,8,-0.8962246775627136,-1.756088137626648,-0.5867409110069275,-1.7348699569702148,-38.88917541503906
