telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0,0,0,0.1381241885328015,76800,0,0.0,357431.21875,588355.25,9411497.0,87483448.0,357431.21875,588355.25,9411497.0,87483448.0,1.0,1.0,0.0,0.0
1,0,0,1,0.10296699790485017,76800,0,0.0,286646.25,389847.03125,7679961.5,78577760.0,286646.25,389847.03125,7679961.5,78577760.0,1.0,1.0,0.0,0.0
2,0,0,2,0.08788144566405834,76800,0,0.0,253308.953125,394496.3125,7230235.0,61387432.0,253308.953125,394496.3125,7230235.0,61387432.0,1.0,1.0,0.0,0.0
3,0,0,3,0.08050490700992512,76800,0,0.0,233458.53125,386479.1875,6785752.0,51828032.0,233458.53125,386479.1875,6785752.0,51828032.0,1.0,1.0,0.0,0.0
4,0,0,4,0.07470154620999496,76800,0,0.0,222614.125,378930.375,6419910.5,48663136.0,222614.125,378930.375,6419910.5,48663136.0,1.0,1.0,0.0,0.0
5,0,0,5,0.07231049580546839,76800,0,0.0,210297.171875,363490.78125,6004617.5,42385976.0,210297.171875,363490.78125,6004617.5,42385976.0,1.0,1.0,0.0,0.0
6,0,0,6,0.0687392692704242,76800,0,0.0,208318.734375,374957.0625,5821083.79999998,43462944.0,208318.734375,374957.0625,5821083.79999998,43462944.0,1.0,1.0,0.0,0.0
7,0,1,7,0.06943951177466966,76800,0,0.0,202074.953125,366647.84375,5576317.5,41425952.0,202074.953125,366647.84375,5576317.5,41425952.0,1.0,1.0,0.0,0.0
8,0,1,8,0.06782619055506683,76800,0,0.0,190623.71875,360367.5625,5265691.5,35908736.0,190623.71875,360367.5625,5265691.5,35908736.0,1.0,1.0,0.0,0.0
9,0,1,9,0.06674606934089106,76800,0,0.0,187791.765625,369717.09375,5147255.5,37090988.0,187791.765625,369717.09375,5147255.5,37090988.0,1.0,1.0,0.0,0.0
10,0,1,10,0.06534324356229382,76800,0,0.0,183295.5625,379069.28125,5116860.0,37803864.0,183295.5625,379069.28125,5116860.0,37803864.0,1.0,1.0,0.0,0.0
11,0,1,11,0.06468597596307502,76800,0,0.0,177752.171875,367790.53125,4955834.0,35337276.0,177752.171875,367790.53125,4955834.0,35337276.0,1.0,1.0,0.0,0.0
12,0,1,12,0.06421990193983042,76800,0,0.0,176107.59375,346707.15625,4987245.5,35317624.0,176107.59375,346707.15625,4987245.5,35317624.0,1.0,1.0,0.0,0.0
13,0,1,13,0.06355818288814094,76800,0,0.0,175903.015625,353430.53125,5025037.5,34645040.0,175903.015625,353430.53125,5025037.5,34645040.0,1.0,1.0,0.0,0.0
14,0,2,14,0.06485580609153879,76800,0,0.0,173953.15625,356114.5625,4976669.5,32731852.0,173953.15625,356114.5625,4976669.5,32731852.0,1.0,1.0,0.0,0.0
15,0,2,15,0.06507232751581941,76800,0,0.0,171617.515625,356041.59375,4857688.5,32792252.0,171617.515625,356041.59375,4857688.5,32792252.0,1.0,1.0,0.0,0.0
16,0,2,16,0.06477073767471991,76800,0,0.0,169136.625,354069.90625,4838502.5,32908490.0,169136.625,354069.90625,4838502.5,32908490.0,1.0,1.0,0.0,0.0
17,0,2,17,0.06418719582498221,76800,0,0.0,168652.421875,349233.8125,4821555.5,33523098.0,168652.421875,349233.8125,4821555.5,33523098.0,1.0,1.0,0.0,0.0
18,0,2,18,0.06330289364844512,76800,0,0.0,168904.15625,355128.5625,4873730.5,34120332.0,168904.15625,355128.5625,4873730.5,34120332.0,1.0,1.0,0.0,0.0
19,0,2,19,0.06303400301925152,76800,0,0.0,166704.640625,354108.15625,4794203.5,34446600.0,166704.640625,354108.15625,4794203.5,34446600.0,1.0,1.0,0.0,0.0
20,0,2,20,0.0629055163477498,76800,0,0.0,164271.578125,350477.15625,4646184.0,32073232.0,164271.578125,350477.15625,4646184.0,32073232.0,1.0,1.0,0.0,0.0
21,0,3,21,0.06325659384952836,76800,0,0.0,163512.859375,349708.84375,4586535.5,32568966.0,163512.859375,349708.84375,4586535.5,32568966.0,1.0,1.0,0.0,0.0
22,0,3,22,0.06392742060795457,76800,0,0.0,163111.0,342986.625,4621575.5,32616330.0,163111.0,342986.625,4621575.5,32616330.0,1.0,1.0,0.0,0.0
23,0,3,23,0.06326433138453527,76800,0,0.0,162804.234375,339004.25,4615050.099999922,33073540.0,162804.234375,339004.25,4615050.099999922,33073540.0,1.0,1.0,0.0,0.0
24,0,3,24,0.06277886865051502,76800,0,0.0,161565.40625,342944.4375,4534508.629999759,33131584.0,161565.40625,342944.4375,4534508.629999759,33131584.0,1.0,1.0,0.0,0.0
25,0,3,25,0.06230004887787056,76800,0,0.0,161391.125,348789.375,4534266.0,33554404.0,161391.125,348789.375,4534266.0,33554404.0,1.0,1.0,0.0,0.0
26,0,3,26,0.06159254572096749,76800,0,0.0,162004.3125,350739.84375,4572618.5,33904372.0,162004.3125,350739.84375,4572618.5,33904372.0,1.0,1.0,0.0,0.0
27,0,3,27,0.06077380786898278,76800,0,0.0,162705.796875,351826.96875,4634129.0,32305408.0,162705.796875,351826.96875,4634129.0,32305408.0,1.0,1.0,0.0,0.0
28,0,4,28,0.06133024931415357,76800,0,0.0,162649.671875,350767.1875,4603749.0,32526216.0,162649.671875,350767.1875,4603749.0,32526216.0,1.0,1.0,0.0,0.0
29,0,4,29,0.061465697779640484,76800,0,0.0,163012.546875,350989.0,4531673.0,32571016.0,163012.546875,350989.0,4531673.0,32571016.0,1.0,1.0,0.0,0.0
30,0,4,30,0.060922302071360804,76800,0,0.0,163302.65625,351455.0,4578855.0,32830396.0,163302.65625,351455.0,4578855.0,32830396.0,1.0,1.0,0.0,0.0
31,0,4,31,0.06063123864908882,76800,0,0.0,163767.140625,349609.75,4565058.0,33182454.0,163767.140625,349609.75,4565058.0,33182454.0,1.0,1.0,0.0,0.0
32,0,4,32,0.060263702539655,76800,0,0.0,164113.6875,350299.3125,4557639.5,33422886.0,164113.6875,350299.3125,4557639.5,33422886.0,1.0,1.0,0.0,0.0
33,0,4,33,0.059434664133837814,76800,0,0.0,164063.453125,347667.96875,4585250.5,33694968.0,164063.453125,347667.96875,4585250.5,33694968.0,1.0,1.0,0.0,0.0
34,0,4,34,0.059779300307367264,76800,0,0.0,164385.4375,349804.96875,4640720.0,33420572.0,164385.4375,349804.96875,4640720.0,33420572.0,1.0,1.0,0.0,0.0
35,0,5,35,0.06080355024128663,76800,0,0.0,164400.140625,349533.3125,4618548.5,33427248.0,164400.140625,349533.3125,4618548.5,33427248.0,1.0,1.0,0.0,0.0
36,0,5,36,0.0592825749265447,76800,0,0.0,165372.765625,350743.625,4664609.5,33710616.0,165372.765625,350743.625,4664609.5,33710616.0,1.0,1.0,0.0,0.0
37,0,5,37,0.05937003339486212,76800,0,0.0,165637.734375,350815.84375,4649883.5,33889124.0,165637.734375,350815.84375,4649883.5,33889124.0,1.0,1.0,0.0,0.0
38,0,5,38,0.05817906698036642,76800,0,0.0,166380.953125,352420.9375,4706949.0,34169932.0,166380.953125,352420.9375,4706949.0,34169932.0,1.0,1.0,0.0,0.0
39,0,5,39,0.056834319982179055,76800,0,0.0,167426.390625,354265.84375,4707993.0,34410348.0,167426.390625,354265.84375,4707993.0,34410348.0,1.0,1.0,0.0,0.0
40,0,5,40,0.055817508158094394,76800,0,0.0,168493.75,356324.15625,4759800.5,34693056.0,168493.75,356324.15625,4759800.5,34693056.0,1.0,1.0,0.0,0.0
41,0,5,41,0.05647383244784771,76800,0,0.0,168381.78125,356866.4375,4802991.0,34016932.0,168381.78125,356866.4375,4802991.0,34016932.0,1.0,1.0,0.0,0.0
42,0,6,42,0.05622297915055758,76800,0,0.0,169150.421875,357593.625,4842471.0,34253040.0,169150.421875,357593.625,4842471.0,34253040.0,1.0,1.0,0.0,0.0
43,0,6,43,0.05511801218959357,76800,0,0.0,170125.046875,359135.59375,4858860.0,34426564.0,170125.046875,359135.59375,4858860.0,34426564.0,1.0,1.0,0.0,0.0
44,0,6,44,0.05372466095236822,76800,0,0.0,171297.15625,362102.0,4845422.5,34605564.0,171297.15625,362102.0,4845422.5,34605564.0,1.0,1.0,0.0,0.0
45,0,6,45,0.053046370329100465,76800,0,0.0,172342.5625,363724.09375,4850997.0,34855112.0,172342.5625,363724.09375,4850997.0,34855112.0,1.0,1.0,0.0,0.0
46,0,6,46,0.05158583325119775,76800,0,0.0,173510.390625,366126.875,4870486.0,35104712.0,173510.390625,366126.875,4870486.0,35104712.0,1.0,1.0,0.0,0.0
47,0,6,47,0.05106835756297671,76800,0,0.0,174521.703125,368841.15625,4882360.5,35241092.0,174521.703125,368841.15625,4882360.5,35241092.0,1.0,1.0,0.0,0.0
48,0,6,48,0.04952140416143483,76800,0,0.0,175673.953125,372182.0,4929213.5,35481084.0,175673.953125,372182.0,4929213.5,35481084.0,1.0,1.0,0.0,0.0
49,0,7,49,0.04902362770148838,76800,0,0.0,176760.4375,373841.84375,4976948.0,35655060.0,176760.4375,373841.84375,4976948.0,35655060.0,1.0,1.0,0.0,0.0
50,0,7,50,0.04777347280965454,76800,0,0.0,178119.765625,376937.15625,5025128.0,35784668.0,178119.765625,376937.15625,5025128.0,35784668.0,1.0,1.0,0.0,0.0
51,0,7,51,0.04638032294146103,76800,0,0.0,179380.6875,379585.53125,5072074.5,36010792.0,179380.6875,379585.53125,5072074.5,36010792.0,1.0,1.0,0.0,0.0
52,0,7,52,0.045796466721166364,76800,0,0.0,180479.40625,382434.625,5118002.5,36142036.0,180479.40625,382434.625,5118002.5,36142036.0,1.0,1.0,0.0,0.0
53,0,7,53,0.04442294121311775,76800,0,0.0,181784.515625,385494.6875,5162851.0,36363588.0,181784.515625,385494.6875,5162851.0,36363588.0,1.0,1.0,0.0,0.0
54,0,7,54,0.0434485573818424,76800,0,0.0,182957.09375,388465.4375,5202425.5,36566752.0,182957.09375,388465.4375,5202425.5,36566752.0,1.0,1.0,0.0,0.0
55,0,7,55,0.04294449643642977,76800,0,0.0,184140.296875,390832.0625,5211932.5,36737300.0,184140.296875,390832.0625,5211932.5,36737300.0,1.0,1.0,0.0,0.0
56,0,8,56,0.04182726030494158,76800,0,0.0,185556.59375,394185.53125,5248930.5,36948248.0,185556.59375,394185.53125,5248930.5,36948248.0,1.0,1.0,0.0,0.0
57,0,8,57,0.040875424590240426,76800,0,0.0,186821.203125,397265.0,5275578.5,37110660.0,186821.203125,397265.0,5275578.5,37110660.0,1.0,1.0,0.0,0.0
58,0,8,58,0.039780944496571394,76800,0,0.0,188087.59375,400343.625,5296955.5,37254392.0,188087.59375,400343.625,5296955.5,37254392.0,1.0,1.0,0.0,0.0
59,0,8,59,0.03894140075580628,76800,0,0.0,189303.375,403407.125,5323110.5,37437744.0,189303.375,403407.125,5323110.5,37437744.0,1.0,1.0,0.0,0.0
60,0,8,60,0.03856265247703726,76800,0,0.0,190261.140625,406346.78125,5354514.5,37501216.0,190261.140625,406346.78125,5354514.5,37501216.0,1.0,1.0,0.0,0.0
61,0,8,61,0.03890948734799581,76800,0,0.0,191348.796875,409434.21875,5385140.5,37692604.0,191348.796875,409434.21875,5385140.5,37692604.0,1.0,1.0,0.0,0.0
62,0,8,62,0.038675064264255994,76800,0,0.0,192523.71875,412569.53125,5415552.0,37819448.0,192523.71875,412569.53125,5415552.0,37819448.0,1.0,1.0,0.0,0.0
63,0,9,63,0.03661506060329615,76800,0,0.0,193879.671875,415869.1875,5447538.0,37959808.0,193879.671875,415869.1875,5447538.0,37959808.0,1.0,1.0,0.0,0.0
64,0,9,64,0.03578558338615793,76800,0,0.0,195226.109375,419058.8125,5483227.0,38120296.0,195226.109375,419058.8125,5483227.0,38120296.0,1.0,1.0,0.0,0.0
65,0,9,65,0.03459257684231118,76800,0,0.0,196541.03125,422298.40625,5515928.5,38281416.0,196541.03125,422298.40625,5515928.5,38281416.0,1.0,1.0,0.0,0.0
66,0,9,66,0.03323775204788625,76800,0,0.0,197874.828125,425519.09375,5555824.0,38393204.0,197874.828125,425519.09375,5555824.0,38393204.0,1.0,1.0,0.0,0.0
67,0,9,67,0.03207442661221489,76800,0,0.0,199167.15625,428663.71875,5588854.0,38572768.0,199167.15625,428663.71875,5588854.0,38572768.0,1.0,1.0,0.0,0.0
68,0,9,68,0.031007956756165057,76800,0,0.0,200405.390625,431611.75,5614542.0,38732628.0,200405.390625,431611.75,5614542.0,38732628.0,1.0,1.0,0.0,0.0
69,0,9,69,0.030491620595103023,76800,0,0.0,201608.171875,434436.3125,5640556.5,38845544.0,201608.171875,434436.3125,5640556.5,38845544.0,1.0,1.0,0.0,0.0
70,1,0,0,0.030868117925426732,76800,0,0.0,202325.140625,436404.75,5648822.5,39019716.0,202325.140625,436404.75,5648822.5,39019716.0,1.0,1.0,0.0,0.0
