block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.00012616603635251522,0.25976651906967163,0.8414914608001709,-0.6647835373878479,0.4899999797344208,-0.17355717718601227,0.4436979293823242,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.004310439806431532,0.4523136019706726,1.5940629243850708,-1.7412590980529785,0.20499999821186066,-0.1798066645860672,0.3443818688392639,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0043740039691329,0.47068503499031067,1.4948862791061401,-1.9312872886657715,0.9099999666213989,-0.17925132811069489,0.644576370716095,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0010395711287856102,0.21344801783561707,0.6240379810333252,-0.8029404282569885,0.5949999690055847,-0.1056852638721466,0.5338141918182373,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.00432343827560544,0.24588286876678467,0.8700889348983765,-0.7630296349525452,0.19999998807907104,-0.07623488456010818,0.5918707847595215,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.006427086889743805,0.5208062529563904,1.8150551319122314,-1.7603120803833008,0.8650000095367432,-0.13231076300144196,0.5652705430984497,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.002283158479258418,0.5013188719749451,2.0612411499023438,-1.8031600713729858,0.625,-0.18029549717903137,0.555461585521698,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.006974457763135433,0.20963066816329956,0.7835222482681274,-0.5217933058738708,0.1550000011920929,-0.06771456450223923,0.45176804065704346,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.004207611083984375,0.30145788192749023,0.9212774038314819,-0.8322972655296326,0.9699999690055847,-0.19716578722000122,0.5449761748313904,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0013454050058498979,0.4827638268470764,1.42081618309021,-1.5577774047851562,0.14999999105930328,-0.1265609711408615,0.4808543026447296,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0032782545313239098,0.48371443152427673,1.54354727268219,-1.4140483140945435,0.4749999940395355,-0.14947499334812164,0.5755025744438171,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.00447453185915947,0.21367892622947693,1.007474422454834,-0.6539008021354675,0.8349999785423279,-0.199997216463089,0.49625363945961,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0014837378403171897,0.2600935697555542,0.68057781457901,-0.8235454559326172,0.7599999904632568,-0.1416037529706955,0.5375185012817383,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.00559132918715477,0.38853251934051514,1.0220239162445068,-1.2405949831008911,0.07000000029802322,-0.0318237766623497,0.3253493010997772,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.00456013111397624,0.4021355211734772,1.243529200553894,-1.2157832384109497,0.9899999499320984,-0.1999700367450714,0.6592094302177429,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.001535417977720499,0.1772688776254654,0.6172944903373718,-0.6388660669326782,0.3199999928474426,-0.11857221275568008,0.5373263359069824,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.003771961899474263,0.25660550594329834,0.7326546907424927,-0.7586395740509033,0.0949999988079071,-0.025731734931468964,0.3838224411010742,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0007768356590531766,0.43752267956733704,1.1935983896255493,-1.2434173822402954,0.8849999904632568,-0.11449065804481506,0.7315361499786377,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0025147427804768085,0.4626329839229584,1.2854630947113037,-1.255062222480774,0.22999998927116394,-0.10154444724321365,0.4910374879837036,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0007407817174680531,0.20058928430080414,0.4770728349685669,-0.7702934741973877,0.20499999821186066,-0.04873644560575485,0.53737872838974,0
