block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04732997715473175,0.016488678753376007,0.08847889304161072,0.01919720135629177,1.1359195709228516,0.39572829008102417,2.1234936714172363,0.4607328176498413,0.6100000143051147,0.30000001192092896,0.0,0.30000001192092896,1.0012130737304688,0.1838485151529312,1.538705587387085,0.12659813463687897,1.3743866682052612,0.0012131005059927702,0.1838485151529312,0
1,3,6,3,dispatch_decision_block,0.03311746194958687,0.01981029473245144,0.10301857441663742,0.005217146128416061,0.794819176197052,0.4754470884799957,2.4724459648132324,0.12521150708198547,0.25999999046325684,0.3199999928474426,0.0,0.3199999928474426,0.9767260551452637,0.2534213960170746,2.257093906402588,0.010183730162680149,0.9218654632568359,-0.023273887112736702,0.2534213960170746,0
2,6,9,3,dispatch_decision_block,0.03604390099644661,0.020740604028105736,0.10582234710454941,0.0024820088874548674,0.865053653717041,0.49777451157569885,2.53973650932312,0.059568215161561966,0.33000001311302185,0.3499999940395355,0.0,0.3499999940395355,1.022668719291687,0.26294633746147156,2.4840221405029297,0.012268309481441975,0.9634162187576294,0.02266871929168701,0.26294633746147156,0
3,9,12,3,dispatch_decision_block,0.047101039439439774,0.015442363917827606,0.1052103340625763,0.01709936000406742,1.130424976348877,0.37061676383018494,2.525048017501831,0.4103846251964569,0.6299999952316284,0.4000000059604645,0.0,0.4000000059604645,0.976209819316864,0.2535075545310974,1.932671308517456,0.12589122354984283,1.4009946584701538,-0.023790180683135986,0.2535075545310974,0
4,12,15,3,dispatch_decision_block,0.04497215151786804,0.016966186463832855,0.09363672137260437,0.016877492889761925,1.079331636428833,0.4071884751319885,2.247281312942505,0.4050598740577698,0.4399999976158142,0.36000001430511475,0.0,0.36000001430511475,0.9870197176933289,0.24914409220218658,1.9507147073745728,0.27786940336227417,1.3296873569488525,-0.01298028975725174,0.24914409220218658,0
5,15,18,3,dispatch_decision_block,0.03271540626883507,0.02262520045042038,0.10732696950435638,5.662378299575721e-08,0.785169780254364,0.5430048108100891,2.5758473873138428,1.3589709624284296e-06,0.2800000011920929,0.4000000059604645,0.0,0.4000000059604645,1.021023154258728,0.26892831921577454,1.8630199432373047,0.23246726393699646,1.2516621351242065,0.02102307789027691,0.26892831921577454,0
6,18,21,3,dispatch_decision_block,0.03146720305085182,0.02027403749525547,0.09691941738128662,5.662378299575721e-08,0.7552129626274109,0.4865769147872925,2.3260657787323,1.3589709624284296e-06,0.3199999928474426,0.4000000059604645,0.0,0.4000000059604645,1.0324572324752808,0.26327887177467346,2.1376657485961914,0.22678618133068085,1.0903213024139404,0.032457318156957626,0.26327887177467346,0
7,21,24,3,dispatch_decision_block,0.04999563843011856,0.013195488601922989,0.0973614975810051,0.020090293139219284,1.1998952627182007,0.31669172644615173,2.3366761207580566,0.4821670651435852,0.7400000095367432,0.4099999964237213,0.0,0.4099999964237213,1.0036078691482544,0.26193034648895264,1.8358453512191772,0.20440688729286194,1.326741099357605,0.0036078752018511295,0.26193034648895264,0
8,24,27,3,dispatch_decision_block,0.048451829701662064,0.017625175416469574,0.09106103330850601,0.02085929550230503,1.162843942642212,0.4230042099952698,2.185464859008789,0.5006231069564819,0.6200000047683716,0.3100000023841858,0.0,0.3100000023841858,0.9928309917449951,0.20361799001693726,1.6827682256698608,-0.0012906360207125545,1.2420387268066406,-0.007169040851294994,0.20361799001693726,0
9,27,30,3,dispatch_decision_block,0.03398110717535019,0.021105889230966568,0.10393313318490982,0.0005297941388562322,0.8155466318130493,0.50654137134552,2.4943954944610596,0.012715059332549572,0.30000001192092896,0.4099999964237213,0.0,0.4099999964237213,0.9396169185638428,0.21973523497581482,1.541307806968689,-0.02262095920741558,0.8588811755180359,-0.060383111238479614,0.21973523497581482,0
10,30,33,3,dispatch_decision_block,0.03424397483468056,0.021554009988904,0.1001361757516861,0.0015431217616423965,0.821855366230011,0.5172962546348572,2.4032680988311768,0.03703492507338524,0.28999999165534973,0.3199999928474426,0.0,0.3199999928474426,0.9738060832023621,0.19065751135349274,1.6178427934646606,-0.04800454527139664,0.8469366431236267,-0.02619391493499279,0.19065751135349274,0
11,33,36,3,dispatch_decision_block,0.044829100370407104,0.010954500176012516,0.08201158791780472,0.026280956342816353,1.0758984088897705,0.2629079818725586,1.9682780504226685,0.6307428479194641,0.6000000238418579,0.38999998569488525,0.0,0.38999998569488525,0.9879284501075745,0.24374184012413025,1.8367689847946167,0.07104130834341049,1.0993643999099731,-0.01207161694765091,0.24374184012413025,0
12,36,39,3,dispatch_decision_block,0.050058551132678986,0.019607791677117348,0.11541114747524261,0.020679451525211334,1.2014051675796509,0.47058701515197754,2.7698676586151123,0.496306836605072,0.6100000143051147,0.38999998569488525,0.0,0.38999998569488525,0.985371470451355,0.2561657428741455,2.2346646785736084,-0.01928531564772129,1.118876576423645,-0.014628540724515915,0.2561657428741455,0
13,39,42,3,dispatch_decision_block,0.03256065025925636,0.017139125615358353,0.07394459843635559,0.0009788002353161573,0.7814556956291199,0.4113389849662781,1.774670124053955,0.023491203784942627,0.3199999928474426,0.17000000178813934,0.0,0.17000000178813934,0.9646292924880981,0.16253818571567535,1.8624093532562256,-0.02055993117392063,0.8224566578865051,-0.03537073731422424,0.16253818571567535,0
14,42,45,3,dispatch_decision_block,0.03666270896792412,0.019041523337364197,0.08927632868289948,0.0032202608417719603,0.8799049258232117,0.45699653029441833,2.142631769180298,0.0772862583398819,0.36000001430511475,0.4000000059604645,0.0,0.4000000059604645,0.9526737928390503,0.23505371809005737,1.6696697473526,-0.04059887304902077,0.8454625606536865,-0.04732619225978851,0.23505371809005737,0
15,45,48,3,dispatch_decision_block,0.05267278105020523,0.015441610477864742,0.0962449386715889,0.014354276470839977,1.2641466856002808,0.3705986440181732,2.3098785877227783,0.34450262784957886,0.6899999976158142,0.4099999964237213,0.0,0.4099999964237213,1.014154076576233,0.26233798265457153,2.0938003063201904,0.09022732824087143,1.2824088335037231,0.014154188334941864,0.26233798265457153,0
16,48,51,3,dispatch_decision_block,0.04657761752605438,0.02024327591061592,0.09911736845970154,0.01921645924448967,1.1178628206253052,0.48583856225013733,2.378816604614258,0.4611950218677521,0.5099999904632568,0.30000001192092896,0.0,0.30000001192092896,0.9635769128799438,0.21475884318351746,1.531107783317566,0.09862561523914337,1.3717010021209717,-0.036423083394765854,0.21475884318351746,0
17,51,54,3,dispatch_decision_block,0.036085352301597595,0.02154069021344185,0.09891805052757263,0.004139136988669634,0.8660485148429871,0.5169765949249268,2.374033212661743,0.09933927655220032,0.3499999940395355,0.3700000047683716,0.0,0.3700000047683716,1.0184932947158813,0.2418133020401001,1.848088264465332,0.07277511060237885,1.0891011953353882,0.01849343813955784,0.2418133020401001,0
18,54,57,3,dispatch_decision_block,0.033022359013557434,0.021852442994713783,0.09768053889274597,5.963025984101478e-08,0.7925367951393127,0.524458646774292,2.344332695007324,1.431126065654098e-06,0.3400000035762787,0.3199999928474426,0.0,0.3199999928474426,0.992938220500946,0.29205483198165894,2.5763392448425293,0.012071795761585236,0.9305061101913452,-0.0070618148893117905,0.29205483198165894,0
