group_name,policy_ratio_mode,best_epoch,best_reward,final_reward,reward_gap,overall_advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,target_bucket_prediction_slope,joint_action_decision_agreement_ratio_under_reward_aligned,final_critic_backbone_delta_norm,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_clipped_active_fraction,backbone_clipped_active_count,critic_backbone_preconditioner_cap,layerwise_backbone_preconditioner_caps_json,critic_backbone_preconditioner_active_threshold,clip_focus_parameter_names,tracked_hotspot_layers,critic_head_untouched,run_dir,critic_backbone_0_weight_layer_active_preconditioner_p95,critic_backbone_0_weight_layer_active_preconditioner_p99,critic_backbone_0_weight_layer_active_preconditioner_p95_after_clip,critic_backbone_0_weight_layer_active_preconditioner_p99_after_clip,critic_backbone_0_weight_layer_clipped_active_fraction,critic_backbone_0_weight_layer_actual_param_delta_norm,critic_backbone_0_weight_layer_raw_grad_norm,critic_backbone_0_weight_layer_preconditioned_grad_norm,critic_backbone_6_weight_layer_active_preconditioner_p95,critic_backbone_6_weight_layer_active_preconditioner_p99,critic_backbone_6_weight_layer_active_preconditioner_p95_after_clip,critic_backbone_6_weight_layer_active_preconditioner_p99_after_clip,critic_backbone_6_weight_layer_clipped_active_fraction,critic_backbone_6_weight_layer_actual_param_delta_norm,critic_backbone_6_weight_layer_raw_grad_norm,critic_backbone_6_weight_layer_preconditioned_grad_norm,critic_backbone_7_weight_layer_active_preconditioner_p95,critic_backbone_7_weight_layer_active_preconditioner_p99,critic_backbone_7_weight_layer_active_preconditioner_p95_after_clip,critic_backbone_7_weight_layer_active_preconditioner_p99_after_clip,critic_backbone_7_weight_layer_clipped_active_fraction,critic_backbone_7_weight_layer_actual_param_delta_norm,critic_backbone_7_weight_layer_raw_grad_norm,critic_backbone_7_weight_layer_preconditioned_grad_norm,critic_backbone_4_bias_layer_active_preconditioner_p95,critic_backbone_4_bias_layer_active_preconditioner_p99,critic_backbone_4_bias_layer_active_preconditioner_p95_after_clip,critic_backbone_4_bias_layer_active_preconditioner_p99_after_clip,critic_backbone_4_bias_layer_clipped_active_fraction,critic_backbone_4_bias_layer_actual_param_delta_norm,critic_backbone_4_bias_layer_raw_grad_norm,critic_backbone_4_bias_layer_preconditioned_grad_norm,critic_backbone_7_bias_layer_active_preconditioner_p95,critic_backbone_7_bias_layer_active_preconditioner_p99,critic_backbone_7_bias_layer_active_preconditioner_p95_after_clip,critic_backbone_7_bias_layer_active_preconditioner_p99_after_clip,critic_backbone_7_bias_layer_clipped_active_fraction,critic_backbone_7_bias_layer_actual_param_delta_norm,critic_backbone_7_bias_layer_raw_grad_norm,critic_backbone_7_bias_layer_preconditioned_grad_norm
critic_backbone_layerwise_0w_cap_1200_head_adam,hierarchical_actor_joint_reward_aligned_credit,1,-147.19946389522,-155.03216068503139,-7.8326967898113935,0.152052491903305,0.0245073772966861,0.0217274278402328,0.926213562488556,0.9638038873672484,1.0158063173294067,0.9675214463705044,0.5708333253860474,0.0405142003606999,148191.953125,643535.3031249971,4015655.25,21069484.0,1472.14013671875,3378.912426757812,3999.999755859375,14197.892578125,0.23182789332784184,720484.0,0.0,"{""critic_backbone.0.weight"": 1200.0, ""critic_backbone.4.bias"": 4000.0, ""critic_backbone.6.weight"": 4000.0, ""critic_backbone.7.weight"": 4000.0}",1e-12,"critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias","critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias,critic_backbone.7.bias",True,checkpoints\critic_backbone_layerwise_cap_strength_search_20260324_092044\critic_backbone_layerwise_0w_cap_1200_head_adam_20260324_092048_283841,1644466.625,5494423.5,1200.0,1200.0,0.3852744654605263,0.02709193299524486,0.3447493938729167,213.53839359283447,4266.690698242181,6602.890380859385,3999.999755859375,3999.999755859375,0.06892547607421876,0.02062415115069598,0.05314702419564128,145.32491245269776,5065.17548828125,12434.449960937502,3999.999755859375,3999.999755859375,0.073046875,0.002457042984315194,0.004082939910585992,10.474970132112503,4265.07392578125,5177.785327148437,3999.999755859375,3999.999755859375,0.06015625,0.0020721525710541756,0.008405433222651481,11.397151875495911,2354.7173950195315,3092.8833886718767,2354.7173950195315,3092.8833886718767,0.0,0.002421960148785729,0.0063444183702813465,10.459848898649216
critic_backbone_layerwise_0w_cap_1400_head_adam,hierarchical_actor_joint_reward_aligned_credit,1,-147.19946389522,-155.03216068503139,-7.8326967898113935,0.1244472861289978,0.0225211232900619,0.047012448310852,0.9158148169517516,0.961608588695526,0.8673952221870422,0.8248825751497517,0.5708333253860474,0.038717893078426324,150993.84375,652816.9375,4087658.75,21235822.0,1524.4232177734375,3410.420239257812,3999.999755859375,13769.279296875,0.19037016062602966,591640.0,0.0,"{""critic_backbone.0.weight"": 1400.0, ""critic_backbone.4.bias"": 4000.0, ""critic_backbone.6.weight"": 4000.0, ""critic_backbone.7.weight"": 4000.0}",1e-12,"critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias","critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias,critic_backbone.7.bias",True,checkpoints\critic_backbone_layerwise_cap_strength_search_20260324_092044\critic_backbone_layerwise_0w_cap_1400_head_adam_20260324_094832_483458,1687411.625,5587669.5,1400.0,1400.0,0.3083607456140351,0.02583779110573232,0.3154489381238818,206.15092678070067,4378.100854492186,6600.184047851573,3999.999755859375,3999.999755859375,0.0777374267578125,0.019993623346090318,0.04991130055859685,139.4147548675537,5019.878125,12827.298994140767,3999.999755859375,3999.999755859375,0.0732421875,0.0027290457001072355,0.004480130990850739,11.419651395082473,4458.6102294921875,5129.801005859375,3999.999755859375,3999.999755859375,0.0716796875,0.0019919322454370557,0.007469279348151758,10.560157537460327,2346.3106933593754,3130.7030004882845,2346.3106933593754,3130.7030004882845,0.0,0.002593618122045882,0.006473121457383968,10.708342176675796
critic_backbone_layerwise_0w_cap_1600_head_adam,hierarchical_actor_joint_reward_aligned_credit,1,-147.19946389522,-155.03216068503139,-7.8326967898113935,0.1356144994497299,0.0547421239316463,0.0454144775867462,0.9017874002456664,0.953131914138794,0.871442973613739,0.8255753160929504,0.5708333253860474,0.040521090850965884,151674.765625,649676.0,4175837.557499917,20460038.0,1553.3017578125,3381.0422241210927,3999.999755859375,10761.2666015625,0.15381261583607908,478025.0,0.0,"{""critic_backbone.0.weight"": 1600.0, ""critic_backbone.4.bias"": 4000.0, ""critic_backbone.6.weight"": 4000.0, ""critic_backbone.7.weight"": 4000.0}",1e-12,"critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias","critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias,critic_backbone.7.bias",True,checkpoints\critic_backbone_layerwise_cap_strength_search_20260324_092044\critic_backbone_layerwise_0w_cap_1600_head_adam_20260324_100738_668481,1700078.375,5579115.0,1600.0,1600.0,0.24557348775584795,0.027358999522402883,0.33957283943891525,220.3926040649414,4322.306103515622,6813.701831054729,3999.999755859375,3999.999755859375,0.0721435546875,0.020322655607014895,0.05168587132357061,142.76267108917236,5006.219775390626,13190.624052734485,3999.999755859375,3999.999755859375,0.0732421875,0.002609474619384855,0.004337366254185326,10.977779680490494,4567.570556640625,5179.603334960938,3999.999755859375,3999.999755859375,0.0705078125,0.002123746962752193,0.008295661659212783,11.309521222114563,2307.792687988281,3332.7130981445357,2307.792687988281,3332.7130981445357,0.0,0.002531618940702174,0.006593467394122854,10.986356443166732
critic_backbone_layerwise_0w_cap_1800_head_adam,hierarchical_actor_joint_reward_aligned_credit,1,-147.19946389522,-155.03216068503139,-7.8326967898113935,0.1104657873511314,0.0202806703746318,0.0408783443272113,0.9238538146018982,0.9618548154830932,0.9256523251533508,0.8761395105307277,0.5708333253860474,0.0403315943001971,151299.953125,636829.0,4095507.25,20522310.0,1551.43505859375,3283.8806274414064,3999.999755859375,9196.509765625,0.11143656044069193,346327.0,0.0,"{""critic_backbone.0.weight"": 1800.0, ""critic_backbone.4.bias"": 4000.0, ""critic_backbone.6.weight"": 4000.0, ""critic_backbone.7.weight"": 4000.0}",1e-12,"critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias","critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias,critic_backbone.7.bias",True,checkpoints\critic_backbone_layerwise_cap_strength_search_20260324_092044\critic_backbone_layerwise_0w_cap_1800_head_adam_20260324_102532_634130,1712240.26874995,5724608.0,1800.0,1800.0,0.17499314692982457,0.027859559189528225,0.33113223407417536,217.93901290893555,4161.158642578124,6949.873979492198,3999.999755859375,3999.999755859375,0.05977935791015625,0.019957981863990427,0.05201880517415702,138.4096197128296,5322.1417236328125,15107.319218750225,3999.999755859375,3999.999755859375,0.0732421875,0.0025928627321263773,0.004185288739972748,10.594256019592285,4300.591552734375,5113.006054687501,3999.999755859375,3999.999755859375,0.0693359375,0.0019358644407475368,0.008331196435028687,10.950969469547271,2353.3069335937503,3499.337937011728,2353.3069335937503,3499.337937011728,0.0,0.00246001001651166,0.0063169053988531235,10.401151013374328
critic_backbone_layerwise_0w_cap_2000_head_adam,hierarchical_actor_joint_reward_aligned_credit,1,-147.19946389522,-155.03216068503139,-7.8326967898113935,0.1193684414029121,0.0289660915732383,0.037730548530817,0.92610365152359,0.962463915348053,0.9777334332466124,0.9267546220738523,0.5708333253860474,0.041679692302820065,151481.328125,647629.125,4156816.0,21555940.0,1573.002685546875,3274.9395385742173,3999.999755859375,9689.439453125,0.09501872683278419,295303.0,0.0,"{""critic_backbone.0.weight"": 2000.0, ""critic_backbone.4.bias"": 4000.0, ""critic_backbone.6.weight"": 4000.0, ""critic_backbone.7.weight"": 4000.0}",1e-12,"critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias","critic_backbone.0.weight,critic_backbone.6.weight,critic_backbone.7.weight,critic_backbone.4.bias,critic_backbone.7.bias",True,checkpoints\critic_backbone_layerwise_cap_strength_search_20260324_092044\critic_backbone_layerwise_0w_cap_2000_head_adam_20260324_104316_122636,1692508.0,5649777.504999762,1999.9998779296875,1999.9998779296875,0.14613886604532164,0.028320692386478184,0.3278676027432084,217.61866607666016,4137.388085937499,7103.255405273448,3999.999755859375,3999.999755859375,0.05903167724609375,0.02111638430505991,0.053051549522206184,140.85017423629762,5408.540527343752,16004.245800781353,3999.999755859375,3999.999755859375,0.073046875,0.0023195570858661084,0.004347468423657119,11.015329098701477,4371.2613525390625,5049.611928710941,3999.999755859375,3999.999755859375,0.0677734375,0.001977584310225211,0.008365413069259375,10.963382589817048,2324.8339965820314,3714.4294750976637,2324.8339965820314,3714.4294750976637,0.0,0.002318157009722199,0.006644803893868812,10.950936979055404
