epoch,critic_arch_mode,critic_input_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,running_return_mean,running_return_std,popart_mean,popart_std,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean
0,stronger_critic_backbone,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-157.60080687086034,1142.1699457924385,190.0008785703187,9617053016.22728,4.229038028279713,0.06821029077870505,142.7712432240548,1.187505491064491,13.642058155741012,0.4993632039505662,100,-0.063431999925524,2.3327744752168655,30.19597420692444,-22.261137008666992,6.406356334686279,-2.515315884465963e-07,0.9999999403953552,-22.261137008666992,6.406356587337384,-22.261137008666992,6.406356587337384,-10.786025047302246,1.632564663887024,1.7912068367004395,0.2548350989818573,0.19841015338897705,0.5167088508605957,0.2548351287841797,0.9999999403953552,4.010013580322266,-3.0100135803222656,0.4074441194534302,1.3490359783172607,-0.9415918588638306,0.012100129388272762,0.7047122716903687,0.28199470043182373,0.1031152680516243,0.2344781756401062,3.458501100540161,0.6766012828973612,2.2945020203583075,9.863542800303549e-06,0.9015202522277832,0.812786340713501,0.0,5.347593469195999e-05,174,374,0.021831287071108818,0.2532353401184082,checkpoints\dense_critic_input_experiment_20260316_160233\critic_input_normalized_augmented_critic_input_20260316_160319_188736\prediction_target_payload_epoch_00.csv,-7.7119011878967285,2.282073497772217,-10.804587364196777,0.2581920623779297,11.062779426574707,2.9871418476104736,2.4549975395202637
1,stronger_critic_backbone,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-149.65282273273905,1080.6531504402437,180.74892311223007,9146888786.073996,4.166864429059744,0.06720749079128618,135.08164380503047,1.1296807694514381,13.441498158257238,0.495992755056136,100,-0.10746307419613003,1.0108367102220654,30.286751317977906,-27.264488220214844,7.622854232788086,-0.334799587726593,1.020168662071228,-24.762812614440918,7.472150719127743,-24.762812614440918,7.472150719127743,-24.820669174194336,7.346755027770996,-0.007742662448436022,0.983218252658844,0.7598398923873901,0.8760878443717957,0.9637801051139832,1.0407441854476929,0.35691142082214355,0.6838327646255493,0.3905026316642761,0.17285770177841187,0.21764492988586426,0.023713020607829094,0.7579156160354614,0.29042258858680725,0.09122738987207413,0.42298513650894165,3.2884223461151123,0.9491017885350963,2.6823374047058737,-0.00667441263794899,0.9124618172645569,0.8137284517288208,0.0,0.00016042780771385878,174,374,0.02079395018517971,0.24863484501838684,checkpoints\dense_critic_input_experiment_20260316_160233\critic_input_normalized_augmented_critic_input_20260316_160319_188736\prediction_target_payload_epoch_01.csv,-20.6282901763916,12.523993492126465,-28.027332305908203,24.379344940185547,52.40667724609375,6.33149528503418,10.747370719909668
2,stronger_critic_backbone,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-161.6448229786496,1170.9022215664804,188.71603164347624,9624727783.961449,4.371796726371062,0.0705128504253397,146.36277769581005,1.1794751977717268,14.102570085067939,0.4969612417179967,100,-0.0860106697306037,0.42891299333423377,30.36785478591919,-36.593902587890625,11.8215970993042,-0.7357885241508484,1.1027969121932983,-28.706509272257488,10.719650189545112,-28.706509272257488,10.719650189545112,-36.66376495361328,10.913558959960938,-0.7423055768013,1.0180890560150146,0.9031936526298523,0.9507649540901184,0.9231881499290466,1.2161610126495361,0.11777457594871521,1.0983864068984985,0.4884565770626068,0.05682720988988876,0.43162935972213745,0.02127183973789215,0.7501347661018372,0.33523231744766235,0.12774161994457245,0.4566366672515869,2.651754379272461,1.6827230009835656,1.3054949299287428,0.015492469072341919,0.9108670353889465,0.8134524822235107,0.0,0.00032085561542771757,174,374,0.021791260689496994,0.2511882781982422,checkpoints\dense_critic_input_experiment_20260316_160233\critic_input_normalized_augmented_critic_input_20260316_160319_188736\prediction_target_payload_epoch_02.csv,-34.13599395751953,11.15561580657959,-43.944278717041016,11.467819213867188,55.4120979309082,12.404818534851074,11.202925682067871
3,stronger_critic_backbone,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-158.17052074372097,1144.3278689294152,187.69050703108311,9501809477.095793,4.326506152165908,0.06978235729299849,143.0409836161769,1.1730656689442691,13.956471458599697,0.5010494844693997,100,-0.11848281426355242,0.2772952408529818,30.440591526031493,-41.19839859008789,11.345427513122559,-0.771106481552124,0.9337825179100037,-31.829481601715088,12.149968203112186,-31.829481601715088,12.149968203112186,-40.209007263183594,11.37818431854248,-0.6896749138832092,0.9364785552024841,0.8961894512176514,0.9482483267784119,1.00288724899292,0.8719497919082642,0.09714867919683456,0.7748011350631714,0.33740904927253723,0.04404768347740173,0.2933613657951355,0.021341023966670036,0.7456387281417847,0.3315981328487396,0.14298304915428162,0.443330854177475,2.593355894088745,1.8410364570802522,0.7671275560057861,0.0024427701719105244,0.8959680795669556,0.8010147213935852,0.0,0.00016042780771385878,174,374,0.021290244534611702,0.24907992780208588,checkpoints\dense_critic_input_experiment_20260316_160233\critic_input_normalized_augmented_critic_input_20260316_160319_188736\prediction_target_payload_epoch_03.csv,-39.525238037109375,6.572071075439453,-47.65856170654297,-20.380355834960938,27.27820587158203,7.872343063354492,7.211246967315674
4,stronger_critic_backbone,normalized_augmented_critic_input,per_sensor,popart_return_norm,huber,8,-160.1756872173138,1159.0582692733487,190.19043603085152,9606080040.035225,4.3724611332152445,0.07052356666476205,144.8822836591686,1.188690225192822,14.104713332952409,0.5035851828823628,100,-0.08671927240211516,0.19241483400110154,30.465400314331056,-48.923118591308594,13.176115036010742,-0.9680032134056091,0.9326948523521423,-35.24820899963379,14.126930667222089,-35.24820899963379,14.126930667222089,-48.57490539550781,12.028030395507812,-0.9433541297912598,0.8514256477355957,0.9485311508178711,0.9759675860404968,0.9128662347793579,0.8699196577072144,0.04538137465715408,0.8245382905006409,0.32529205083847046,0.02269068732857704,0.3026013672351837,0.024982407689094543,0.7547992467880249,0.30440083146095276,0.08738642930984497,0.4456436336040497,2.468113660812378,0.9762244097215476,0.7089403760194207,0.0037823673337697983,0.9175893664360046,0.8149725794792175,0.0,0.00029411763534881175,174,374,0.02135898545384407,0.2546951174736023,checkpoints\dense_critic_input_experiment_20260316_160233\critic_input_normalized_augmented_critic_input_20260316_160319_188736\prediction_target_payload_epoch_04.csv,-46.11023712158203,10.342506408691406,-56.605567932128906,-6.141151428222656,50.46441650390625,10.307214736938477,10.453519821166992
