step,reward,avg_theta,queue_penalty,oma_cluster_count,noma_cluster_count,users_in_noma_clusters,max_cluster_size_observed
0,-7.080657241761793,0.49901596272789267,0.1485745102530895,8,0,0,1
1,-12.627171317220231,0.4999029774267291,0.12484957631006932,4,2,4,2
2,-12.407315561358622,0.5013583103481877,0.1393355860074644,4,2,4,2
3,-11.725273772072308,0.4998102693788489,0.1224938475717742,4,2,4,2
4,-13.260382165057903,0.49903051299596024,0.14873963022366096,4,2,4,2
5,-13.294816595595751,0.49848937083364,0.1327556840120185,4,2,4,2
6,-14.07941065881237,0.49899704505589865,0.16471536718888466,4,2,4,2
7,-13.433495600014972,0.4958228354089178,0.1409796480732087,4,2,4,2
8,-11.539195942627538,0.49797665262206353,0.10381390824355276,4,2,4,2
9,-10.590241906348618,0.5019431179989249,0.1666198202821359,4,2,4,2
10,-12.384687289906097,0.5025662862966664,0.13063648975260722,4,2,4,2
11,-12.59360849307241,0.5021600676790848,0.1426211689015362,4,2,4,2
12,-15.273008214981392,0.49987997989684607,0.14195611912026032,4,2,4,2
13,-12.514424068152339,0.5009243148490904,0.14878667450287575,4,2,4,2
14,-12.386137957922985,0.49839401716965154,0.1655278125583155,4,2,4,2
15,-12.345062664080423,0.4977576945745934,0.11263204658626605,4,2,4,2
16,-9.865266017098534,0.4968604033055384,0.14260836617765504,4,2,4,2
17,-11.65018515674117,0.4963923437101778,0.15324215962679114,4,2,4,2
18,-9.294851747203268,0.49655433834009216,0.10640167347774718,4,2,4,2
19,-9.08648233220087,0.49758165873363797,0.12709790087988837,4,2,4,2
