step,bs_id,candidate_user_count,threshold_changed,oma_changed,noma_changed,cluster_changed,top_two_tie,threshold_map,oma_map,noma_map,cluster_map
0,BS1,4,False,False,False,False,True,"{""0.80"": 0.0, ""0.85"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0}","{""0.80"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.85"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.90"": [""S1"", ""S2"", ""S3"", ""S4""], ""0.95"": [""S1"", ""S2"", ""S3"", ""S4""]}","{""0.80"": [], ""0.85"": [], ""0.90"": [], ""0.95"": []}","{""0.80"": [], ""0.85"": [], ""0.90"": [], ""0.95"": []}"
0,BS2,4,False,False,False,False,True,"{""0.80"": 0.0, ""0.85"": 0.0, ""0.90"": 0.0, ""0.95"": 0.0}","{""0.80"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.85"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.90"": [""S5"", ""S6"", ""S7"", ""S8""], ""0.95"": [""S5"", ""S6"", ""S7"", ""S8""]}","{""0.80"": [], ""0.85"": [], ""0.90"": [], ""0.95"": []}","{""0.80"": [], ""0.85"": [], ""0.90"": [], ""0.95"": []}"
1,BS1,4,True,False,False,False,False,"{""0.80"": 494220.5712652816, ""0.85"": 500630.62568944064, ""0.90"": 507040.68011359975, ""0.95"": 513450.7345377588}","{""0.80"": [""S2""], ""0.85"": [""S2""], ""0.90"": [""S2""], ""0.95"": [""S2""]}","{""0.80"": [""S1"", ""S4"", ""S3""], ""0.85"": [""S1"", ""S4"", ""S3""], ""0.90"": [""S1"", ""S4"", ""S3""], ""0.95"": [""S1"", ""S4"", ""S3""]}","{""0.80"": [[""S1"", ""S4""], [""S3""]], ""0.85"": [[""S1"", ""S4""], [""S3""]], ""0.90"": [[""S1"", ""S4""], [""S3""]], ""0.95"": [[""S1"", ""S4""], [""S3""]]}"
1,BS2,4,True,False,False,False,False,"{""0.80"": 811015.8379513535, ""0.85"": 818820.0345037174, ""0.90"": 826624.2310560815, ""0.95"": 834428.4276084455}","{""0.80"": [""S6""], ""0.85"": [""S6""], ""0.90"": [""S6""], ""0.95"": [""S6""]}","{""0.80"": [""S5"", ""S8"", ""S7""], ""0.85"": [""S5"", ""S8"", ""S7""], ""0.90"": [""S5"", ""S8"", ""S7""], ""0.95"": [""S5"", ""S8"", ""S7""]}","{""0.80"": [[""S5"", ""S8""], [""S7""]], ""0.85"": [[""S5"", ""S8""], [""S7""]], ""0.90"": [[""S5"", ""S8""], [""S7""]], ""0.95"": [[""S5"", ""S8""], [""S7""]]}"
2,BS1,4,True,False,False,False,False,"{""0.80"": 407463.7364792434, ""0.85"": 442479.54955695075, ""0.90"": 477495.3626346583, ""0.95"": 512511.17571236566}","{""0.80"": [""S1""], ""0.85"": [""S1""], ""0.90"": [""S1""], ""0.95"": [""S1""]}","{""0.80"": [""S4"", ""S2"", ""S3""], ""0.85"": [""S4"", ""S2"", ""S3""], ""0.90"": [""S4"", ""S2"", ""S3""], ""0.95"": [""S4"", ""S2"", ""S3""]}","{""0.80"": [[""S4"", ""S2""], [""S3""]], ""0.85"": [[""S4"", ""S2""], [""S3""]], ""0.90"": [[""S4"", ""S2""], [""S3""]], ""0.95"": [[""S4"", ""S2""], [""S3""]]}"
2,BS2,4,True,False,False,False,False,"{""0.80"": 445724.6189940189, ""0.85"": 490929.5786917584, ""0.90"": 536134.5383894981, ""0.95"": 581339.4980872376}","{""0.80"": [""S8""], ""0.85"": [""S8""], ""0.90"": [""S8""], ""0.95"": [""S8""]}","{""0.80"": [""S7"", ""S6"", ""S5""], ""0.85"": [""S7"", ""S6"", ""S5""], ""0.90"": [""S7"", ""S6"", ""S5""], ""0.95"": [""S7"", ""S6"", ""S5""]}","{""0.80"": [[""S7"", ""S6""], [""S5""]], ""0.85"": [[""S7"", ""S6""], [""S5""]], ""0.90"": [[""S7"", ""S6""], [""S5""]], ""0.95"": [[""S7"", ""S6""], [""S5""]]}"
3,BS1,4,True,False,False,False,False,"{""0.80"": 396021.4871676561, ""0.85"": 424988.46986540995, ""0.90"": 453955.452563164, ""0.95"": 482922.4352609179}","{""0.80"": [""S3""], ""0.85"": [""S3""], ""0.90"": [""S3""], ""0.95"": [""S3""]}","{""0.80"": [""S4"", ""S1"", ""S2""], ""0.85"": [""S4"", ""S1"", ""S2""], ""0.90"": [""S4"", ""S1"", ""S2""], ""0.95"": [""S4"", ""S1"", ""S2""]}","{""0.80"": [[""S4"", ""S1""], [""S2""]], ""0.85"": [[""S4"", ""S1""], [""S2""]], ""0.90"": [[""S4"", ""S1""], [""S2""]], ""0.95"": [[""S4"", ""S1""], [""S2""]]}"
3,BS2,4,True,False,False,False,False,"{""0.80"": 609581.7293820567, ""0.85"": 635448.1007724339, ""0.90"": 661314.4721628113, ""0.95"": 687180.8435531885}","{""0.80"": [""S8""], ""0.85"": [""S8""], ""0.90"": [""S8""], ""0.95"": [""S8""]}","{""0.80"": [""S7"", ""S6"", ""S5""], ""0.85"": [""S7"", ""S6"", ""S5""], ""0.90"": [""S7"", ""S6"", ""S5""], ""0.95"": [""S7"", ""S6"", ""S5""]}","{""0.80"": [[""S7"", ""S6""], [""S5""]], ""0.85"": [[""S7"", ""S6""], [""S5""]], ""0.90"": [[""S7"", ""S6""], [""S5""]], ""0.95"": [[""S7"", ""S6""], [""S5""]]}"
4,BS1,4,True,False,False,False,False,"{""0.80"": 389539.1667777063, ""0.85"": 391183.882105738, ""0.90"": 392828.59743376967, ""0.95"": 394473.31276180135}","{""0.80"": [""S1""], ""0.85"": [""S1""], ""0.90"": [""S1""], ""0.95"": [""S1""]}","{""0.80"": [""S3"", ""S4"", ""S2""], ""0.85"": [""S3"", ""S4"", ""S2""], ""0.90"": [""S3"", ""S4"", ""S2""], ""0.95"": [""S3"", ""S4"", ""S2""]}","{""0.80"": [[""S3"", ""S4""], [""S2""]], ""0.85"": [[""S3"", ""S4""], [""S2""]], ""0.90"": [[""S3"", ""S4""], [""S2""]], ""0.95"": [[""S3"", ""S4""], [""S2""]]}"
4,BS2,4,True,False,False,False,False,"{""0.80"": 555214.18819863, ""0.85"": 586382.6927999757, ""0.90"": 617551.1974013217, ""0.95"": 648719.7020026675}","{""0.80"": [""S7""], ""0.85"": [""S7""], ""0.90"": [""S7""], ""0.95"": [""S7""]}","{""0.80"": [""S6"", ""S8"", ""S5""], ""0.85"": [""S6"", ""S8"", ""S5""], ""0.90"": [""S6"", ""S8"", ""S5""], ""0.95"": [""S6"", ""S8"", ""S5""]}","{""0.80"": [[""S6"", ""S8""], [""S5""]], ""0.85"": [[""S6"", ""S8""], [""S5""]], ""0.90"": [[""S6"", ""S8""], [""S5""]], ""0.95"": [[""S6"", ""S8""], [""S5""]]}"
5,BS1,4,True,False,False,False,False,"{""0.80"": 585075.4153994778, ""0.85"": 609189.3278771649, ""0.90"": 633303.2403548522, ""0.95"": 657417.1528325393}","{""0.80"": [""S1""], ""0.85"": [""S1""], ""0.90"": [""S1""], ""0.95"": [""S1""]}","{""0.80"": [""S4"", ""S3"", ""S2""], ""0.85"": [""S4"", ""S3"", ""S2""], ""0.90"": [""S4"", ""S3"", ""S2""], ""0.95"": [""S4"", ""S3"", ""S2""]}","{""0.80"": [[""S4"", ""S3""], [""S2""]], ""0.85"": [[""S4"", ""S3""], [""S2""]], ""0.90"": [[""S4"", ""S3""], [""S2""]], ""0.95"": [[""S4"", ""S3""], [""S2""]]}"
5,BS2,4,True,False,False,False,False,"{""0.80"": 501167.34644659114, ""0.85"": 524646.1700299893, ""0.90"": 548124.9936133876, ""0.95"": 571603.8171967857}","{""0.80"": [""S8""], ""0.85"": [""S8""], ""0.90"": [""S8""], ""0.95"": [""S8""]}","{""0.80"": [""S6"", ""S7"", ""S5""], ""0.85"": [""S6"", ""S7"", ""S5""], ""0.90"": [""S6"", ""S7"", ""S5""], ""0.95"": [""S6"", ""S7"", ""S5""]}","{""0.80"": [[""S6"", ""S7""], [""S5""]], ""0.85"": [[""S6"", ""S7""], [""S5""]], ""0.90"": [[""S6"", ""S7""], [""S5""]], ""0.95"": [[""S6"", ""S7""], [""S5""]]}"
6,BS1,4,True,False,False,False,False,"{""0.80"": 603370.3110895423, ""0.85"": 618781.2362696993, ""0.90"": 634192.1614498564, ""0.95"": 649603.0866300132}","{""0.80"": [""S4""], ""0.85"": [""S4""], ""0.90"": [""S4""], ""0.95"": [""S4""]}","{""0.80"": [""S1"", ""S2"", ""S3""], ""0.85"": [""S1"", ""S2"", ""S3""], ""0.90"": [""S1"", ""S2"", ""S3""], ""0.95"": [""S1"", ""S2"", ""S3""]}","{""0.80"": [[""S1"", ""S2""], [""S3""]], ""0.85"": [[""S1"", ""S2""], [""S3""]], ""0.90"": [[""S1"", ""S2""], [""S3""]], ""0.95"": [[""S1"", ""S2""], [""S3""]]}"
6,BS2,4,True,False,False,False,False,"{""0.80"": 651950.934100505, ""0.85"": 671647.5740434658, ""0.90"": 691344.2139864268, ""0.95"": 711040.8539293876}","{""0.80"": [""S8""], ""0.85"": [""S8""], ""0.90"": [""S8""], ""0.95"": [""S8""]}","{""0.80"": [""S5"", ""S6"", ""S7""], ""0.85"": [""S5"", ""S6"", ""S7""], ""0.90"": [""S5"", ""S6"", ""S7""], ""0.95"": [""S5"", ""S6"", ""S7""]}","{""0.80"": [[""S5"", ""S6""], [""S7""]], ""0.85"": [[""S5"", ""S6""], [""S7""]], ""0.90"": [[""S5"", ""S6""], [""S7""]], ""0.95"": [[""S5"", ""S6""], [""S7""]]}"
7,BS1,4,True,False,False,False,False,"{""0.80"": 522047.5790296305, ""0.85"": 522249.7895043758, ""0.90"": 522451.999979121, ""0.95"": 522654.21045386634}","{""0.80"": [""S3""], ""0.85"": [""S3""], ""0.90"": [""S3""], ""0.95"": [""S3""]}","{""0.80"": [""S4"", ""S1"", ""S2""], ""0.85"": [""S4"", ""S1"", ""S2""], ""0.90"": [""S4"", ""S1"", ""S2""], ""0.95"": [""S4"", ""S1"", ""S2""]}","{""0.80"": [[""S4"", ""S1""], [""S2""]], ""0.85"": [[""S4"", ""S1""], [""S2""]], ""0.90"": [[""S4"", ""S1""], [""S2""]], ""0.95"": [[""S4"", ""S1""], [""S2""]]}"
7,BS2,4,True,False,False,False,False,"{""0.80"": 664417.8826721752, ""0.85"": 682869.7707300871, ""0.90"": 701321.658787999, ""0.95"": 719773.5468459108}","{""0.80"": [""S7""], ""0.85"": [""S7""], ""0.90"": [""S7""], ""0.95"": [""S7""]}","{""0.80"": [""S5"", ""S6"", ""S8""], ""0.85"": [""S5"", ""S6"", ""S8""], ""0.90"": [""S5"", ""S6"", ""S8""], ""0.95"": [""S5"", ""S6"", ""S8""]}","{""0.80"": [[""S5"", ""S6""], [""S8""]], ""0.85"": [[""S5"", ""S6""], [""S8""]], ""0.90"": [[""S5"", ""S6""], [""S8""]], ""0.95"": [[""S5"", ""S6""], [""S8""]]}"
8,BS1,4,True,False,False,False,False,"{""0.80"": 482588.67357254855, ""0.85"": 499311.5688392311, ""0.90"": 516034.4641059137, ""0.95"": 532757.3593725963}","{""0.80"": [""S3""], ""0.85"": [""S3""], ""0.90"": [""S3""], ""0.95"": [""S3""]}","{""0.80"": [""S1"", ""S2"", ""S4""], ""0.85"": [""S1"", ""S2"", ""S4""], ""0.90"": [""S1"", ""S2"", ""S4""], ""0.95"": [""S1"", ""S2"", ""S4""]}","{""0.80"": [[""S1"", ""S2""], [""S4""]], ""0.85"": [[""S1"", ""S2""], [""S4""]], ""0.90"": [[""S1"", ""S2""], [""S4""]], ""0.95"": [[""S1"", ""S2""], [""S4""]]}"
8,BS2,4,True,False,False,False,False,"{""0.80"": 703556.5791310568, ""0.85"": 719187.195418367, ""0.90"": 734817.8117056773, ""0.95"": 750448.4279929876}","{""0.80"": [""S6""], ""0.85"": [""S6""], ""0.90"": [""S6""], ""0.95"": [""S6""]}","{""0.80"": [""S5"", ""S8"", ""S7""], ""0.85"": [""S5"", ""S8"", ""S7""], ""0.90"": [""S5"", ""S8"", ""S7""], ""0.95"": [""S5"", ""S8"", ""S7""]}","{""0.80"": [[""S5"", ""S8""], [""S7""]], ""0.85"": [[""S5"", ""S8""], [""S7""]], ""0.90"": [[""S5"", ""S8""], [""S7""]], ""0.95"": [[""S5"", ""S8""], [""S7""]]}"
9,BS1,4,True,False,False,False,False,"{""0.80"": 385905.19700378884, ""0.85"": 406461.55231490044, ""0.90"": 427017.9076260121, ""0.95"": 447574.26293712365}","{""0.80"": [""S1""], ""0.85"": [""S1""], ""0.90"": [""S1""], ""0.95"": [""S1""]}","{""0.80"": [""S2"", ""S4"", ""S3""], ""0.85"": [""S2"", ""S4"", ""S3""], ""0.90"": [""S2"", ""S4"", ""S3""], ""0.95"": [""S2"", ""S4"", ""S3""]}","{""0.80"": [[""S2"", ""S4""], [""S3""]], ""0.85"": [[""S2"", ""S4""], [""S3""]], ""0.90"": [[""S2"", ""S4""], [""S3""]], ""0.95"": [[""S2"", ""S4""], [""S3""]]}"
9,BS2,4,True,False,False,False,False,"{""0.80"": 549469.1626150185, ""0.85"": 552168.2014418026, ""0.90"": 554867.2402685866, ""0.95"": 557566.2790953706}","{""0.80"": [""S7""], ""0.85"": [""S7""], ""0.90"": [""S7""], ""0.95"": [""S7""]}","{""0.80"": [""S8"", ""S6"", ""S5""], ""0.85"": [""S8"", ""S6"", ""S5""], ""0.90"": [""S8"", ""S6"", ""S5""], ""0.95"": [""S8"", ""S6"", ""S5""]}","{""0.80"": [[""S8"", ""S6""], [""S5""]], ""0.85"": [[""S8"", ""S6""], [""S5""]], ""0.90"": [[""S8"", ""S6""], [""S5""]], ""0.95"": [[""S8"", ""S6""], [""S5""]]}"
10,BS1,4,True,False,False,False,False,"{""0.80"": 699174.4565278243, ""0.85"": 740755.6679224379, ""0.90"": 782336.8793170517, ""0.95"": 823918.0907116655}","{""0.80"": [""S4""], ""0.85"": [""S4""], ""0.90"": [""S4""], ""0.95"": [""S4""]}","{""0.80"": [""S1"", ""S3"", ""S2""], ""0.85"": [""S1"", ""S3"", ""S2""], ""0.90"": [""S1"", ""S3"", ""S2""], ""0.95"": [""S1"", ""S3"", ""S2""]}","{""0.80"": [[""S1"", ""S3""], [""S2""]], ""0.85"": [[""S1"", ""S3""], [""S2""]], ""0.90"": [[""S1"", ""S3""], [""S2""]], ""0.95"": [[""S1"", ""S3""], [""S2""]]}"
10,BS2,4,True,False,False,False,False,"{""0.80"": 548000.2722591342, ""0.85"": 568377.0917373699, ""0.90"": 588753.9112156057, ""0.95"": 609130.7306938415}","{""0.80"": [""S8""], ""0.85"": [""S8""], ""0.90"": [""S8""], ""0.95"": [""S8""]}","{""0.80"": [""S5"", ""S6"", ""S7""], ""0.85"": [""S5"", ""S6"", ""S7""], ""0.90"": [""S5"", ""S6"", ""S7""], ""0.95"": [""S5"", ""S6"", ""S7""]}","{""0.80"": [[""S5"", ""S6""], [""S7""]], ""0.85"": [[""S5"", ""S6""], [""S7""]], ""0.90"": [[""S5"", ""S6""], [""S7""]], ""0.95"": [[""S5"", ""S6""], [""S7""]]}"
11,BS1,4,True,False,False,False,False,"{""0.80"": 431032.32619065885, ""0.85"": 482656.60172536504, ""0.90"": 534280.8772600715, ""0.95"": 585905.1527947776}","{""0.80"": [""S3""], ""0.85"": [""S3""], ""0.90"": [""S3""], ""0.95"": [""S3""]}","{""0.80"": [""S4"", ""S1"", ""S2""], ""0.85"": [""S4"", ""S1"", ""S2""], ""0.90"": [""S4"", ""S1"", ""S2""], ""0.95"": [""S4"", ""S1"", ""S2""]}","{""0.80"": [[""S4"", ""S1""], [""S2""]], ""0.85"": [[""S4"", ""S1""], [""S2""]], ""0.90"": [[""S4"", ""S1""], [""S2""]], ""0.95"": [[""S4"", ""S1""], [""S2""]]}"
