epoch,policy_surrogate_mode,actor_structure_mode,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4912838935852051,0.09132818132638931,0.2169485241174698,0.7708635926246643,0.4554166793823242,0.4912838935852051,0.0953922010751387,0.12036852186975974,0.08715928652169821,0.073842679857675
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.49229493737220764,0.10323972254991531,0.1795450896024704,0.7715815305709839,0.47458335757255554,0.49229493737220764,0.08840963070583509,0.12469929200718344,0.12519700468407474,0.11555210976149603
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.48442795872688293,0.12494506686925888,0.12869776785373688,0.8351821303367615,0.45250001549720764,0.48442795872688293,0.08310310111656802,0.12767303861855758,0.1355260393458529,0.13055527088750216
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4625921845436096,0.16134922206401825,0.08766383677721024,0.9338696002960205,0.4008333384990692,0.4625921845436096,0.0785169305879895,0.12377506375934681,0.13554996781659645,0.13884352636717984
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4509035348892212,0.1850050836801529,0.061519693583250046,0.9192665815353394,0.3954166769981384,0.4509035348892212,0.07249123203349499,0.11230320044108119,0.1418359322409789,0.13475911683696234
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4396919310092926,0.1953795850276947,0.02964688092470169,0.944159746170044,0.3841666877269745,0.4396919310092926,0.0686638589742318,0.11849901588008234,0.1306833195513426,0.14399882869232303
