epoch,offload_active_fraction,route_logprob_active_fraction,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,conditional_policy_consistency_score
0,0.4970833361148834,0.4970833361148834,0.9993976950645447,1.001161813735962,0.011616787873208523,0.016570542007684708,0.14499999582767487,0.24559932947158813,-0.04375501349568367,0.0
1,0.4950000047683716,0.4950000047683716,1.0003002882003784,1.0097250938415527,0.06242974102497101,0.06698144972324371,0.4258333444595337,0.5925925970077515,-0.17769107222557068,0.0
2,0.49416667222976685,0.49416667222976685,0.9957468509674072,1.0067052841186523,0.055412326008081436,0.0744657814502716,0.4037500023841858,0.5691399574279785,-0.06419863551855087,0.0
3,0.4854166805744171,0.4854166805744171,0.9943881034851074,1.0107128620147705,0.055708128958940506,0.06788227707147598,0.39250001311302185,0.5630901455879211,0.005949406884610653,0.0
4,0.4762499928474426,0.4762499928474426,0.9953374266624451,0.9956591725349426,0.05331623554229736,0.08913879841566086,0.398333340883255,0.6237969994544983,-0.03308460861444473,0.0
