group_name,step_type,set_type,critic_loss,value_pred_mean,value_pred_std,value_target_mean,value_target_std,return_mean,return_std,advantage_mean,advantage_std,pearson_value_vs_value_target,spearman_value_vs_value_target,pearson_value_vs_return,spearman_value_vs_return,pearson_value_vs_advantage,spearman_value_vs_advantage,pearson_value_vs_one_step_reward,spearman_value_vs_one_step_reward,update_objective,main_value_loss,loss_form_note,group_applicable,grad_norm,critic_param_delta_norm,critic_backbone_delta_norm,critic_head_delta_norm,cosine_update_vs_grad,update_over_grad_ratio
no_op,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,no_update,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_op,after_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.0,0.0,no_update,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_value_loss_form,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.1998068243265152,0.3996136486530304,current_config_huber,1.0,2.131699207039702,0.0,0.0,0.0,0.0,0.0
current_value_loss_form,after_update,probe,0.9629726409912109,-24.348777770996094,9.70207691192627,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3597830533981323,0.16304819285869598,0.35978302359580994,0.16304819285869598,-0.4630873203277588,-0.43443334102630615,-0.43479400873184204,-0.581741213798523,0.16802962124347687,0.33605924248695374,current_config_huber,1.0,2.131699207039702,0.068537255993265,0.06843257026756558,0.0037866589047653677,-0.24989741228706847,0.032151466664212404
plain_mse_value_loss,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.44510021805763245,0.8902004361152649,plain_mse,1.0,5.559670210128344,0.0,0.0,0.0,0.0,0.0
plain_mse_value_loss,after_update,probe,0.9610717296600342,-24.363792419433594,9.643518447875977,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.35990607738494873,0.16945287585258484,0.35990607738494873,0.16945287585258484,-0.4642179608345032,-0.43313068151474,-0.435658723115921,-0.5707772374153137,0.3577693998813629,0.7155387997627258,plain_mse,1.0,5.559670210128344,0.06814589100198767,0.06804578769504656,0.003692321412801646,-0.25867722862209525,0.01225718224758057
plain_huber_value_loss,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.1998068243265152,0.3996136486530304,plain_huber_delta_1.0,1.0,2.131699207039702,0.0,0.0,0.0,0.0,0.0
plain_huber_value_loss,after_update,probe,0.9629726409912109,-24.348777770996094,9.70207691192627,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3597830533981323,0.16304819285869598,0.35978302359580994,0.16304819285869598,-0.4630873203277588,-0.43443334102630615,-0.43479400873184204,-0.581741213798523,0.16802962124347687,0.33605924248695374,plain_huber_delta_1.0,1.0,2.131699207039702,0.068537255993265,0.06843257026756558,0.0037866589047653677,-0.24989741228706847,0.032151466664212404
unclipped_value_loss_only,before_update,probe,0.9337701797485352,-24.604461669921875,9.092120170593262,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3689935803413391,0.12841945886611938,0.3689936399459839,0.12841945886611938,-0.5185487866401672,-0.5075987577438354,-0.44507306814193726,-0.5578593015670776,0.1998068243265152,0.3996136486530304,equivalent_to_current_no_value_clipping_present,1.0,2.131699207039702,0.0,0.0,0.0,0.0,0.0
unclipped_value_loss_only,after_update,probe,0.9629726409912109,-24.348777770996094,9.70207691192627,-1.1509175300598145,0.5814316272735596,-36.364131927490234,5.007526874542236,-16.04560661315918,10.781734466552734,0.3597830533981323,0.16304819285869598,0.35978302359580994,0.16304819285869598,-0.4630873203277588,-0.43443334102630615,-0.43479400873184204,-0.581741213798523,0.16802962124347687,0.33605924248695374,equivalent_to_current_no_value_clipping_present,1.0,2.131699207039702,0.068537255993265,0.06843257026756558,0.0037866589047653677,-0.24989741228706847,0.032151466664212404
