epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0.05278057642129268,3107840,1550101,0.4987711722611203,195318.59375,775689.0843749992,5127315.5,87227216.0,2272.991943359375,3999.999755859375,6562.512783203123,87227216.0
1,0.039457848767841454,3107840,1270197,0.40870733371087314,171446.4375,732428.875,4590065.5,26261276.0,2026.506103515625,3999.999755859375,4750.9565722656225,15066.9248046875
2,0.044353971327268864,3107840,1028836,0.3310453562602965,173360.421875,748320.9187499835,4649277.0,25084534.0,1943.766845703125,3999.999755859375,4587.369409179684,13028.294921875
3,0.047147346451870464,3107840,615084,0.19791366350906095,153015.734375,637171.1875,4183763.0,21800182.0,1661.6558837890625,3819.2390625,3999.999755859375,11989.615234375
4,0.040521090850965884,3107840,478025,0.15381261583607908,151674.765625,649676.0,4175837.557499917,20460038.0,1553.3017578125,3381.0422241210927,3999.999755859375,10761.2666015625
