epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0004909402540017089,0.001128946333968391,0.00018791278023055577,0.0005094339489005506,0.0,0.000913887889703002,0.2120909526532551,0.425110164288728,0.3643481100008697,0.29132499203851064,0.03,0.015,0,10,3,7,1,33,15,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0017823814139939548,0.0025829232935476202,-0.001055047777712885,-0.0015461211653680286,0.0,0.0008278707814910872,0.27398844334689887,0.46177643076481617,0.48759538412077147,0.4387721944975388,0.03,0.015,9,7,0,5,1,22,22,0.4962500035762787,0.4962500035762787
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0016694903667181886,0.0019258747725919086,-0.000992931210757455,-0.0009713085651367836,0.0,0.000792492818575175,0.28959546654791535,0.5922334899094566,0.512409856690668,0.5368799310262053,0.03,0.015,8,8,0,6,1,21,19,0.4970833361148834,0.4970833361148834
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0017831510296040822,0.0016772886204610888,-0.0012872781033207582,-0.0008390990163510045,0.0,0.000758457518911556,0.26069575115552673,0.5891784122906834,0.4494771609217487,0.513369588906754,0.03,0.015,5,9,3,6,1,23,18,0.4858333468437195,0.4858333468437195
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0025787828379266317,0.0028807538551821684,-0.0021010871686961592,-0.001991173937373484,0.0,0.0007218362436452437,0.26723199630475397,0.5943010136660803,0.44535941423022346,0.5207223715726396,0.03,0.015,6,9,2,7,1,21,15,0.4820833206176758,0.4820833206176758
