epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_scale_factor_min,layer_soft_geometry_scale_factor_p50,layer_soft_geometry_scale_factor_p95,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat,layer_soft_geometry_overflow_stat_p95
0,critic_backbone.0.weight,1797120,0,0.0,431473.28125,2935772.5,8928873.0,97440424.0,431473.28125,2935772.5,8928873.0,97440424.0,0.04945461424067617,0.11887880396097898,211.80822067260743,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.4.bias,5120,0,0.0,2202.702880859375,5623.260156250004,8630.30404296878,182109.484375,2202.702880859375,5623.260156250004,8630.30404296878,182109.484375,0.004725307651096955,0.00826051867334172,9.766339480876923,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.6.weight,655360,0,0.0,6007.33837890625,14976.66567382812,29484.60335937512,80839800.0,6007.33837890625,14976.66567382812,29484.60335937512,80839800.0,0.038048311695456506,0.042792852176353334,118.88199558258057,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.bias,5120,0,0.0,2729.18310546875,7027.988476562512,17806.397675781252,1897133.0,2729.18310546875,7027.988476562512,17806.397675781252,1897133.0,0.005049702036194504,0.007782674196641892,10.39137510061264,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.weight,5120,0,0.0,23209.73828125,86534.6679687502,195841.04828125,9960408.0,23209.73828125,86534.6679687502,195841.04828125,9960408.0,0.005118610605131834,0.003248762810835615,15.715728569030762,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.0.weight,1797120,0,0.0,416463.09375,2948688.25,8563479.0,20464496.0,416463.09375,2948688.25,8563479.0,20464496.0,0.039830324798822404,0.2503682792186737,278.0905324935913,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.4.bias,5120,0,0.0,2233.18994140625,5315.980859375,7172.655361328132,9031.259765625,2233.18994140625,5315.980859375,7172.655361328132,9031.259765625,0.0027742275677155705,0.005095625895773992,8.372512084245681,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.6.weight,655360,0,0.0,4391.3388671875,9090.450439453123,14692.30371093757,32686.55859375,4391.3388671875,9090.450439453123,14692.30371093757,32686.55859375,0.026540589705109596,0.033636327064596114,130.2535439491272,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.bias,5120,0,0.0,1942.45703125,3654.229931640625,7629.898715820343,17702.837890625,1942.45703125,3654.229931640625,7629.898715820343,17702.837890625,0.004555215266009327,0.005949104949831962,10.823384326696395,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.weight,5120,0,0.0,5087.99609375,13157.835302734376,40498.2205859382,187652.46875,5087.99609375,13157.835302734376,40498.2205859382,187652.46875,0.006167297971842345,0.0046218028961448,15.848026251792907,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.0.weight,1797120,0,0.0,394389.65625,2760384.0,8293722.5,18490614.0,394389.65625,2760384.0,8293722.5,18490614.0,0.03718177517876029,0.2983783971518278,257.468306350708,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.4.bias,5120,0,0.0,2234.8671875,4918.565380859376,6297.111342773489,7026.732421875,2234.8671875,4918.565380859376,6297.111342773489,7026.732421875,0.0024559243582189085,0.0063604795548599215,11.072999465465546,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.6.weight,655360,0,0.0,3705.296142578125,6091.743896484372,8446.459492187525,16092.8603515625,3705.296142578125,6091.743896484372,8446.459492187525,16092.8603515625,0.023667476186528803,0.04225252247415483,146.54317245483398,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.bias,5120,0,0.0,1791.0484619140625,2725.0156494140633,3770.337246093766,5504.56201171875,1791.0484619140625,2725.0156494140633,3770.337246093766,5504.56201171875,0.0031255952853825875,0.006178418628405779,10.952400314807893,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.weight,5120,0,0.0,3127.86474609375,5932.661425781251,12490.059433593751,18005.85546875,3127.86474609375,5932.661425781251,12490.059433593751,18005.85546875,0.0036249122917070054,0.004520636523375287,12.904487895965577,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.0.weight,1797120,0,0.0,364547.84375,2568171.5,7556531.0,16242964.0,364547.84375,2568171.5,7556531.0,16242964.0,0.03884552353993058,0.317601172439754,260.10518379211425,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.4.bias,5120,0,0.0,2054.46240234375,4227.04951171875,5426.605063476563,5894.22314453125,2054.46240234375,4227.04951171875,5426.605063476563,5894.22314453125,0.0025042082736035807,0.007559932116419077,12.247300231456757,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.6.weight,655360,0,0.0,3216.355712890625,4870.489794921875,6444.668496093758,10995.396484375,3216.355712890625,4870.489794921875,6444.668496093758,10995.396484375,0.02281947243027389,0.04961029342375696,149.5236692428589,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.7.bias,5120,0,0.0,1757.5335693359375,2443.3846801757813,3858.812209472657,4041.00048828125,1757.5335693359375,2443.3846801757813,3858.812209472657,4041.00048828125,0.0023467019316740336,0.005541057515074499,9.504053378105164,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.7.weight,5120,0,0.0,2918.54931640625,4642.434887695313,7777.761342773553,19008.158203125,2918.54931640625,4642.434887695313,7777.761342773553,19008.158203125,0.0023705283078015783,0.003352915887080599,9.185369181632996,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,critic_backbone.0.weight,1797120,0,0.0,348207.75,2475108.75,6859183.0,14817748.0,348207.75,2475108.75,6859183.0,14817748.0,0.030521571449935437,0.2592047303915024,204.5166563987732,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,critic_backbone.4.bias,5120,0,0.0,1945.721923828125,3983.819079589844,4632.310249023438,5785.458984375,1945.721923828125,3983.819079589844,4632.310249023438,5785.458984375,0.0020117663545534013,0.006616152668721042,10.461876833438874,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,critic_backbone.6.weight,655360,0,0.0,2983.715087890625,4332.501684570311,5537.40966796875,9795.9072265625,2983.715087890625,4332.501684570311,5537.40966796875,9795.9072265625,0.020961860148236155,0.0491217837203294,136.94705114364623,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,critic_backbone.7.bias,5120,0,0.0,1783.001708984375,2394.0214965820314,3734.3115039062513,4275.4990234375,1783.001708984375,2394.0214965820314,3734.3115039062513,4275.4990234375,0.001781148902955465,0.004964323673630133,8.656158989667892,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,critic_backbone.7.weight,5120,0,0.0,2991.6728515625,4308.7525390625,6733.907954101564,19588.974609375,2991.6728515625,4308.7525390625,6733.907954101564,19588.974609375,0.002143411536235362,0.002969634892360773,8.625090551376342,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,critic_backbone.0.weight,1797120,0,0.0,352994.15625,2546602.25,7052389.5,15135495.0,352994.15625,2546602.25,7052389.5,15135495.0,0.0240385563345626,0.16814375622197986,148.0666241645813,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,critic_backbone.4.bias,5120,0,0.0,1925.2275390625,3874.200231933594,4644.323383789066,5575.44580078125,1925.2275390625,3874.200231933594,4644.323383789066,5575.44580078125,0.0015593355405144394,0.005656468626693822,9.36226419210434,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,critic_backbone.6.weight,655360,0,0.0,2972.076171875,4341.4417968749985,5309.405083007813,9205.7265625,2972.076171875,4341.4417968749985,5309.405083007813,9205.7265625,0.017113305279053748,0.04077666103839874,108.70763854980468,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,critic_backbone.7.bias,5120,0,0.0,1762.5784912109375,2440.927722167969,3563.279509277358,4243.85107421875,1762.5784912109375,2440.927722167969,3563.279509277358,4243.85107421875,0.0019200945069314912,0.006256384711014107,10.587298399209976,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,critic_backbone.7.weight,5120,0,0.0,2953.515625,3923.0048950195314,5884.512666015648,19507.94921875,2953.515625,3923.0048950195314,5884.512666015648,19507.94921875,0.0019701788492966442,0.0037571209490124603,10.655142205953599,1.0,1.0,1.0,1.0,0.0,0.0,0.0
