epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.9961898922920227,0.16161176562309265,2.690171480178833,0.9971936345100403,0.14231452345848083,1.6664601564407349,0.01683635264635086,0.013099482282996178,0.1587499976158142,0.15842413902282715,0.000623501433134758,0.0010425135338058074,0.03,0.015,0,10,2,8,2,36,15,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,1.0073848962783813,0.32734760642051697,4.875683784484863,1.0109968185424805,0.3369098901748657,3.4021434783935547,0.03911437839269638,0.04114561527967453,0.3499999940395355,0.4704890251159668,0.0020691783716929855,0.002515271572950664,0.03,0.015,9,8,0,6,2,21,19,0.49416667222976685,0.49416667222976685
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,1.0064270496368408,0.3315761387348175,9.205272674560547,1.0079436302185059,0.30655866861343384,3.3937313556671143,0.03231292590498924,0.036918289959430695,0.3033333420753479,0.4112699627876282,0.0018011338949068694,0.0023727398398073595,0.03,0.015,8,8,0,7,2,19,18,0.49541667103767395,0.49541667103767395
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,1.0049455165863037,0.30335187911987305,3.6522974967956543,1.006778597831726,0.33417993783950806,6.588404178619385,0.03747500106692314,0.037552446126937866,0.33250001072883606,0.403553307056427,0.0017911590484436602,0.002245641083896367,0.03,0.015,7,9,1,8,2,25,18,0.4925000071525574,0.4925000071525574
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.9988803863525391,0.3082323670387268,6.079405307769775,0.9984477758407593,0.29440733790397644,4.309616565704346,0.0419980026781559,0.041568174958229065,0.32875001430511475,0.3579399287700653,0.0022366333353354344,0.00286772487743292,0.03,0.015,6,9,1,8,2,22,16,0.4854166805744171,0.4854166805744171
