epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_min_theta_updates_per_epoch,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.000623501433134758,0.0010425135338058074,-1.5945452459062733e-05,0.0005879661912331358,0.0,0.0008868683047088174,0.1994588095590808,0.42345858922019075,0.3459319243185198,0.28755684875088466,0.03,0.015,0,10,2,8,2,36,15,0.4970833361148834,0.4970833361148834
1,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0020691783716929855,0.002515271572950664,-0.0012883792514912784,-0.001324377335932743,0.0,0.0008317259794455909,0.2772737649778678,0.46785342020694803,0.4936536514216061,0.45504798747568576,0.03,0.015,9,8,0,6,2,21,19,0.49416667222976685,0.49416667222976685
2,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0018011338949068694,0.0023727398398073595,-0.001084243374191972,-0.001434266452937057,0.0,0.000815363046345546,0.3027562025450309,0.585170870254891,0.5333984832388406,0.5388868377319439,0.03,0.015,8,8,0,7,2,19,18,0.49541667103767395,0.49541667103767395
3,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0017911590484436602,0.002245641083896367,-0.001223379735602066,-0.0014647127648762155,0.0,0.0006833310704678297,0.2575396848764757,0.6129758750306302,0.4542379845436404,0.5331785805453327,0.03,0.015,7,9,1,8,2,25,18,0.4925000071525574,0.4925000071525574
4,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_theta_floor,hierarchical_actor_separate_theta_route_backbones,0.0022366333353354344,0.00286772487743292,-0.0017145114417706447,-0.0020336893940111622,0.0,0.000740941939346323,0.2755262478377192,0.5661435221266612,0.462282754139326,0.4958571340391501,0.03,0.015,6,9,1,8,2,22,16,0.4854166805744171,0.4854166805744171
