epoch,critic_arch_mode,actor_input_mode,actor_raw_input_mode,critic_input_mode,policy_surrogate_mode,policy_ratio_mode,reward_mode,value_target_mode,value_loss_mode,num_sensors,action_dim,action_block_count,action_block_slices,episode_reward,episode_delay,episode_energy,avg_raw_total_backlog,avg_normalized_total_backlog,avg_normalized_avg_queue_len,episode_reward_delay_term,episode_reward_energy_term,episode_reward_backlog_term,avg_theta,num_steps,actor_loss,critic_loss,entropy,policy_entropy,raw_return_mean,raw_return_std,value_target_mean,value_target_std,advantage_mean,advantage_std,normalized_advantage_mean,normalized_advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold,ratio_mean,ratio_std,ratio_min,ratio_max,clip_fraction,positive_adv_clip_fraction,negative_adv_clip_fraction,approx_kl,entropy_loss,policy_loss,ratio_by_adv_sign,logprob_delta_sum_mean,logprob_delta_sum_std,logprob_delta_mean_mean,logprob_delta_mean_std,block_logprob_delta_mean,block_logprob_delta_std,block_weight_entropy,block_weight_max_mean,top_k_block_weight_share,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_adv_scale_entropy,top_k_block_adv_scale_share,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_scale_entropy,top_k_block_value_scale_share,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_next_mean,block_local_cost_next_std,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_td_advantage_entropy,top_k_block_td_advantage_share,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_advantage_entropy,top_k_block_advantage_share,active_block_count_mean,block_ratio_proxy_mean,block_ratio_proxy_std,block_clip_fraction_mean,block_clip_fraction_std,block_positive_adv_clip_fraction_mean,block_negative_adv_clip_fraction_mean,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,sum_to_mean_scale_ratio,sum_to_blockmean_scale_ratio,mean_to_blockmean_scale_ratio,running_return_mean,running_return_std,popart_mean,popart_std,actor_grad_norm,action_distribution_std,action_prob_std,policy_std_mean,policy_logit_std,policy_confidence_mean,selected_action_histogram,critic_raw_prediction_mean,critic_raw_prediction_std,critic_normalized_prediction_mean,critic_normalized_prediction_std,value_explained_variance,prediction_target_corr,prediction_std_over_target_std,constant_baseline_mse,critic_prediction_mse,critic_vs_constant_mse_gain,constant_baseline_huber,critic_prediction_huber,critic_vs_constant_huber_gain,critic_hidden_feature_mean,critic_hidden_feature_std,critic_hidden_feature_dim_std_mean,critic_hidden_feature_dim_std_min,critic_head_weight_norm,critic_head_bias_mean,critic_backbone_grad_norm,critic_head_grad_norm,actor_input_mean,actor_input_std,actor_input_dim_std_mean,actor_input_dim_std_min,actor_input_clip_fraction,actor_input_derived_dim,actor_input_total_dim,actor_derived_feature_mean,actor_derived_feature_std,actor_raw_dim,actor_raw_pruned_dim_count,actor_raw_dim_std_mean,actor_raw_dim_std_min,actor_raw_zero_var_dim_count,actor_raw_static_zero_var_dim_count,critic_input_mean,critic_input_std,critic_input_dim_std_mean,critic_input_dim_std_min,critic_input_clip_fraction,critic_input_derived_dim,critic_input_total_dim,critic_derived_feature_mean,critic_derived_feature_std,prediction_target_payload_path,probe_policy_update_payload_path,probe_prediction_mean,probe_prediction_std,probe_prediction_min,probe_prediction_max,probe_prediction_range,probe_prediction_iqr,pairwise_prediction_distance_mean,probe_policy_pairwise_kl_mean,probe_policy_pairwise_l1_mean,policy_logit_delta_mean,policy_logit_delta_std,selected_action_change_rate,top1_action_change_rate,top1_prob_delta_mean
0,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_action_conditioned_td_advantage_surrogate_mean,blockwise_action_conditioned_td_advantage_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-157.03200046843207,1137.716249010199,189.88034279213005,9616098477.34768,4.225522331908992,0.06815358599853209,142.21453112627486,1.1867521424508134,13.63071719970642,0.5011808531926131,100,-0.018581357332550397,2.387964537739754,30.256174087524414,30.256174087524414,-21.793495178222656,6.218523025512695,-2.4676322141203855e-07,1.0,-22.205528259277344,6.267415523529053,-1.6093254373572563e-07,0.9999999403953552,0.0,1.0,-0.02864520251750946,0.0488630048930645,0.001371675985865295,0.013952037319540977,0.0,0.0,0.0,0.001371675985865295,0.0,0.6267415523529053,1.0013716220855713,0.25157415866851807,0.24549871683120728,3.3399600982666016,0.3529166579246521,0.3582342863082886,0.34779050946235657,0.02864520251750946,-0.030363809317350388,-0.024342970922589302,"{""negative"": {""count"": 2400, ""max"": 3.3399600982666016, ""mean"": 1.0013716220855713, ""min"": 0.24549871683120728, ""std"": 0.25157415866851807}, ""positive"": {""count"": 0, ""max"": 0.0, ""mean"": 0.0, ""min"": 0.0, ""std"": 0.0}}",-0.6874848008155823,1.1727120876312256,-0.009548399597406387,0.01628766767680645,-0.02864520251750946,0.0488630048930645,3.05245304107666,0.08329051733016968,0.2932572066783905,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.05742381885647774,0.4140341281890869,1.24744713306427,-1.2692798376083374,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,0.05742381885647774,0.4140341281890869,1.24744713306427,-1.2692798376083374,0.5573666095733643,0.32263869047164917,0.7812196612358093,0.3437199592590332,0.7824761271476746,0.3433915078639984,0.663690984249115,0.3390674889087677,0.6633421182632446,0.3389970660209656,0.6699970960617065,0.33069905638694763,0.6716267466545105,0.3320995271205902,0.001629693666473031,0.3586011528968811,1.543877124786377,-1.7008939981460571,-0.001629693666473031,0.3586011528968811,1.7008939981460571,-1.543877124786377,0.05530190095305443,0.5373566150665283,2.004896879196167,-1.6983470916748047,-0.0021219293121248484,0.38546109199523926,1.6596938371658325,-1.5570828914642334,2.855680465698242,0.4077772796154022,-0.0021219293121248484,0.38546109199523926,1.6596938371658325,-1.5570828914642334,2.8556833267211914,0.4077763855457306,9.529999732971191,0.9729230403900146,0.047629013657569885,0.3529166281223297,0.08871673792600632,0.0,0.3529166579246521,1.0013716220855713,0.25157415866851807,3.3399600982666016,0.024342970922589302,0.3886168301105499,0.0013716763351112604,0.25157415866851807,71.99994693581235,23.999992801428917,0.33333326048958883,-21.793495178222656,6.218522724234926,-21.793495178222656,6.218522724234926,0.3063730615136345,0.10425549000501633,0.10425549000501633,0.3689097464084625,0.10425549000501633,0.22557128965854645,"{""0p5_to_1"": 644, ""1_to_2"": 29, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2974, ""neg_1_to_neg_0p5"": 665, ""neg_2_to_neg_1"": 42, ""zero_to_0p5"": 2846}",-9.754417419433594,1.4511834383010864,1.9360028505325317,0.23336468636989594,0.11724305152893066,0.3678836226463318,0.23336468636989594,1.0000001192092896,4.630865097045898,-3.6308650970458984,0.40629899501800537,1.4881395101547241,-1.0818405151367188,-0.0011843425454571843,0.7005906105041504,0.31216979026794434,0.08343543112277985,0.22612234950065613,3.4881839752197266,0.6102237420643333,2.134557615122433,0.21643032133579254,0.3631461262702942,0.1474854052066803,0.0,0.0,200,400,0.04592933505773544,0.2856951355934143,200,0,0.1528221070766449,0.0,42,42,5.018264801037731e-06,0.9014903903007507,0.8127591013908386,0.0,8.021390385692939e-05,174,374,0.021848168224096298,0.2531195878982544,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\prediction_target_payload_epoch_00.csv,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\probe_policy_update_payload_epoch_00.csv,-7.813845634460449,1.7758831977844238,-10.33907699584961,-2.98651123046875,7.352565765380859,2.3565452098846436,1.999886155128479,0.0061046951450407505,0.08465667814016342,0.012570668011903763,0.15858040750026703,0.076171875,0.0006510416666666666,-0.006039023399353027
1,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_action_conditioned_td_advantage_surrogate_mean,blockwise_action_conditioned_td_advantage_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-148.83021224427932,1073.5285967031598,181.73525805565765,9114944065.975353,4.186020610996338,0.06751646146768285,134.19107458789497,1.1358453628478604,13.50329229353657,0.5033826661588399,100,-0.0314320063800551,1.0673991207033395,30.47039909362793,30.47039909362793,-26.604726791381836,7.3289031982421875,-0.3336682617664337,1.0165470838546753,-18.879169464111328,7.74587869644165,6.616115655333488e-08,1.0,0.03999999910593033,0.9599999785423279,-0.09278848022222519,0.14005844295024872,0.06104043871164322,-0.06325014680624008,0.0682976245880127,0.16856352984905243,0.0,0.05760474503040314,4.493487358093262,0.774587869644165,1.0610404014587402,0.6478846669197083,0.03403357416391373,9.113091468811035,0.7329166531562805,0.7051926255226135,0.760364830493927,0.09278848022222519,-0.030592894181609154,-0.050492942333221436,"{""negative"": {""count"": 2304, ""max"": 9.113091468811035, ""mean"": 1.0576046705245972, ""min"": 0.03403357416391373, ""std"": 0.6367257237434387}, ""positive"": {""count"": 96, ""max"": 6.2036004066467285, ""mean"": 1.143497109413147, ""min"": 0.09097495675086975, ""std"": 0.8698904514312744}}",-2.2269232273101807,3.361402750015259,-0.03092949092388153,0.04668615013360977,-0.09278848022222519,0.14005844295024872,3.035917282104492,0.08791980147361755,0.3017391860485077,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,-0.04078025370836258,0.38937684893608093,0.9996640682220459,-1.040876030921936,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,-0.04078025370836258,0.38937684893608093,0.9996640682220459,-1.040876030921936,0.5561039447784424,0.3376886546611786,0.7799431681632996,0.35803061723709106,0.7799473404884338,0.3590567409992218,0.6648090481758118,0.3582316040992737,0.6640945076942444,0.3569580018520355,0.6690499782562256,0.34653860330581665,0.670748233795166,0.3461800515651703,0.00169824855402112,0.39959391951560974,1.7907065153121948,-1.6889371871948242,-0.00169824855402112,0.39959391951560974,1.6889371871948242,-1.7907065153121948,-0.04174131527543068,0.5530536770820618,1.9839792251586914,-1.9782178401947021,-0.0009610559791326523,0.41492581367492676,1.7187447547912598,-1.8318166732788086,2.8172900676727295,0.42070311307907104,-0.0009610559791326523,0.41492581367492676,1.7187447547912598,-1.8318166732788086,2.817293167114258,0.4207022488117218,9.75,0.9204103946685791,0.1307816058397293,0.7329166531562805,0.06766825914382935,0.7083333134651184,0.7339409589767456,1.0610404014587402,0.6478846669197083,9.113091468811035,0.050492942333221436,0.41859203577041626,0.06104043498635292,0.6478846669197083,71.99997504544842,23.999995386924002,0.33333330760340873,-24.199110984802246,7.20960558784958,-24.199110984802246,7.20960558784958,0.30171143598809025,0.1994379460811615,0.1994379460811615,0.37008795142173767,0.1994379460811615,0.4283398389816284,"{""0p5_to_1"": 743, ""1_to_2"": 53, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2777, ""neg_1_to_neg_0p5"": 700, ""neg_2_to_neg_1"": 50, ""zero_to_0p5"": 2877}",-24.395645141601562,5.184830188751221,-0.02725961059331894,0.7191558480262756,0.707605242729187,0.8538348078727722,0.7074496150016785,1.0333679914474487,0.39603760838508606,0.6373304128646851,0.3836449086666107,0.1962401568889618,0.18740475177764893,-0.0006515887216664851,0.7631361484527588,0.23851527273654938,0.08200304210186005,0.4147518575191498,3.3313541412353516,1.0819536314147127,2.912669760426597,-0.009951199404895306,0.9816917181015015,0.8554036021232605,0.0,0.0007249999907799065,200,400,0.044641681015491486,0.28171712160110474,200,0,0.15727463364601135,0.0,42,42,-0.009087931364774704,0.9114649295806885,0.8132370710372925,0.0,0.00032085561542771757,174,374,0.02068300172686577,0.24753721058368683,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\prediction_target_payload_epoch_01.csv,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\probe_policy_update_payload_epoch_01.csv,-19.780960083007812,10.811362266540527,-26.37497901916504,15.474800109863281,41.84977912902832,4.06492805480957,9.371076583862305,0.001964504597708583,0.04782082512974739,0.0004577346844598651,0.08732198923826218,0.042317708333333336,0.0006510416666666666,-0.0001219677142216824
2,stronger_critic_backbone,normalized_augmented_actor_input,baseline_actor_raw,normalized_augmented_critic_input,blockwise_action_conditioned_td_advantage_surrogate_mean,blockwise_action_conditioned_td_advantage_surrogate_mean,per_sensor,popart_return_norm,huber,8,72,24,"[{""block_index"": 0, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 0, ""stop_exclusive"": 3}, {""block_index"": 1, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 3, ""stop_exclusive"": 6}, {""block_index"": 2, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 6, ""stop_exclusive"": 9}, {""block_index"": 3, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 9, ""stop_exclusive"": 12}, {""block_index"": 4, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 12, ""stop_exclusive"": 15}, {""block_index"": 5, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 15, ""stop_exclusive"": 18}, {""block_index"": 6, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 18, ""stop_exclusive"": 21}, {""block_index"": 7, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 21, ""stop_exclusive"": 24}, {""block_index"": 8, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 24, ""stop_exclusive"": 27}, {""block_index"": 9, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 27, ""stop_exclusive"": 30}, {""block_index"": 10, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 30, ""stop_exclusive"": 33}, {""block_index"": 11, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 33, ""stop_exclusive"": 36}, {""block_index"": 12, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 36, ""stop_exclusive"": 39}, {""block_index"": 13, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 39, ""stop_exclusive"": 42}, {""block_index"": 14, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 42, ""stop_exclusive"": 45}, {""block_index"": 15, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 45, ""stop_exclusive"": 48}, {""block_index"": 16, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 48, ""stop_exclusive"": 51}, {""block_index"": 17, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 51, ""stop_exclusive"": 54}, {""block_index"": 18, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 54, ""stop_exclusive"": 57}, {""block_index"": 19, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 57, ""stop_exclusive"": 60}, {""block_index"": 20, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 60, ""stop_exclusive"": 63}, {""block_index"": 21, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 63, ""stop_exclusive"": 66}, {""block_index"": 22, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 66, ""stop_exclusive"": 69}, {""block_index"": 23, ""semantic"": ""dispatch_decision_block"", ""size"": 3, ""start"": 69, ""stop_exclusive"": 72}]",-162.82497089202417,1179.3015142188135,189.81584230944767,9607121108.622055,4.410039106073935,0.07112966300119251,147.4126892773517,1.1863490144340487,14.225932600238503,0.5030044759888485,100,-0.039283211779547855,0.5046691067516804,30.702440214157104,30.702440214157104,-37.13833999633789,11.733741760253906,-0.7949404716491699,1.0813195705413818,-16.328603744506836,11.840666770935059,1.1682510603350238e-07,1.0,0.10000000149011612,0.8999999761581421,-0.08854307234287262,0.14220893383026123,0.04823198914527893,-0.00432084733620286,0.005530461668968201,-0.05667171999812126,0.10199111700057983,0.055007562041282654,12.552605628967285,1.184066677093506,1.0482319593429565,0.6203097701072693,0.08602429926395416,8.393566131591797,0.7133333086967468,0.6866776347160339,0.7407094836235046,0.08854307234287262,-0.03082117810845375,-0.04733810946345329,"{""negative"": {""count"": 2160, ""max"": 8.393566131591797, ""mean"": 1.0563067197799683, ""min"": 0.08602429926395416, ""std"": 0.632633626461029}, ""positive"": {""count"": 240, ""max"": 3.481466293334961, ""mean"": 0.9755592346191406, ""min"": 0.15135079622268677, ""std"": 0.48984336853027344}}",-2.1250336170196533,3.4130141735076904,-0.029514357447624207,0.04740297421813011,-0.08854307234287262,0.14220893383026123,3.0519933700561523,0.08306171745061874,0.2913106679916382,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,-0.04412389546632767,0.25257837772369385,0.8673743009567261,-1.0136281251907349,1.0,0.0,1.0,1.0,3.178053617477417,0.1666666865348816,-0.04412389546632767,0.25257837772369385,0.8673743009567261,-1.0136281251907349,0.5469722747802734,0.32368823885917664,0.7810054421424866,0.33896270394325256,0.7800024747848511,0.3404339551925659,0.6616089940071106,0.3392002582550049,0.6613909602165222,0.33665353059768677,0.6650130152702332,0.3309587836265564,0.6667569279670715,0.3281475305557251,0.0017438451759517193,0.3727583885192871,1.5834972858428955,-1.7718689441680908,-0.0017438451759517193,0.3727583885192871,1.7718689441680908,-1.5834972858428955,-0.044828206300735474,0.4468342363834381,1.9950547218322754,-1.9797773361206055,-0.0007043056539259851,0.3950624167919159,1.8111379146575928,-1.5188370943069458,2.839735746383667,0.4136849641799927,-0.0007043056539259851,0.3950624167919159,1.8111379146575928,-1.5188370943069458,2.839738130569458,0.41368407011032104,9.680000305175781,0.9244998097419739,0.1307404339313507,0.7133333683013916,0.0716860443353653,0.7583333253860474,0.7083333134651184,1.0482319593429565,0.6203097701072693,8.393566131591797,0.04733810946345329,0.39534544944763184,0.04823198914527893,0.6203097701072693,71.99997630770638,23.999996394172193,0.33333331756922796,-28.512187321980793,10.85131766172138,-28.512187321980793,10.85131766172138,0.28973875556644507,0.2181703746318817,0.2181703746318817,0.3712669909000397,0.2181703746318817,0.4650421738624573,"{""0p5_to_1"": 785, ""1_to_2"": 58, ""gt_2"": 0, ""lt_neg_2"": 0, ""neg_0p5_to_0"": 2718, ""neg_1_to_neg_0p5"": 768, ""neg_2_to_neg_1"": 51, ""zero_to_0p5"": 2820}",-36.722145080566406,11.102845191955566,-0.7565858960151672,1.023179531097412,0.650954008102417,0.8170876502990723,0.9462323188781738,1.1692520380020142,0.40959373116493225,0.7596583366394043,0.44878146052360535,0.16072408854961395,0.2880573868751526,-0.0010469817789271474,0.7558143138885498,0.32680943608283997,0.11332201957702637,0.44363561272621155,2.602405071258545,1.4326490383199626,1.51580287355019,0.02414078079164028,0.9385257363319397,0.8354694843292236,0.0,0.0003000000142492354,200,400,0.04634527117013931,0.28574544191360474,200,0,0.15894506871700287,0.0,42,42,0.014655912294983864,0.9111617803573608,0.8141917586326599,0.0,0.00024064170429483056,174,374,0.021741358563303947,0.2500405013561249,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\prediction_target_payload_epoch_02.csv,checkpoints\dense_policy_block_action_conditioned_td_experiment_20260318_092558\policy_ratio_blockwise_action_conditioned_td_advantage_surrogate_mean_20260318_092624_547548\probe_policy_update_payload_epoch_02.csv,-31.04821014404297,18.541521072387695,-43.150150299072266,31.916400909423828,75.0665512084961,9.72048044204712,16.58439826965332,0.001675484236329794,0.044185202568769455,0.0010456736199557781,0.0821302980184555,0.046223958333333336,0.0032552083333333335,-0.0005767591064795852
