block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6388911604881287,0.254824161529541,0.86284339427948,0.26899951696395874,0.8564103841781616,0.2707943618297577,0.7450273036956787,0.2716091573238373,1.3429993391036987,0.2789812982082367,0.7386366128921509,0.2730492353439331,1.3429993391036987,0.2789812982082367,0.7398158311843872,0.2621518075466156,0.7348477244377136,0.2619844079017639,-0.004968180786818266,0.26325008273124695,0.6966352462768555,-0.800798773765564,0.004968180786818266,0.26325008273124695,0.800798773765564,-0.6966352462768555,0.3051106929779053,0.3055826723575592,1.0540159940719604,-0.46885034441947937,-0.0013054251903668046,0.33706212043762207,0.8866785168647766,-0.940850019454956,0.3100000023841858,-0.0015985178761184216,0.23735636472702026,0
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.428140252828598,0.3435693681240082,0.6870419383049011,0.36293789744377136,0.6916159987449646,0.3715517520904541,0.5342763662338257,0.3572169244289398,2.025749444961548,0.07765382528305054,0.5276880860328674,0.3569103479385376,2.025749444961548,0.07765382528305054,0.5539944171905518,0.3534946143627167,0.5508091449737549,0.3535708785057068,-0.003185281762853265,0.4511845111846924,1.0469200611114502,-1.4152255058288574,0.003185281762853265,0.4511845111846924,1.4152255058288574,-1.0469200611114502,0.09091819077730179,0.44730719923973083,1.3670796155929565,-0.7965021133422852,0.002152608707547188,0.4239670932292938,1.295132040977478,-0.9864740371704102,0.2800000011920929,0.008482924662530422,0.21010300517082214,0
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.47340765595436096,0.35534051060676575,0.6530680060386658,0.3806360363960266,0.6586965918540955,0.38224732875823975,0.5795438289642334,0.37556159496307373,2.105593204498291,0.032996661961078644,0.5726715326309204,0.3763423264026642,2.105593204498291,0.032996661961078644,0.5640883445739746,0.3653889000415802,0.5585022568702698,0.36878859996795654,-0.005586155690252781,0.460649311542511,1.1411073207855225,-1.446669578552246,0.005586155690252781,0.460649311542511,1.446669578552246,-1.1411073207855225,-0.3262893259525299,0.4974866211414337,1.3793660402297974,-1.475501298904419,0.015161926858127117,0.4581736624240875,1.6596938371658325,-1.035502552986145,0.4300000071525574,0.01383395679295063,0.2642044723033905,0
3,9,12,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6434029340744019,0.21626387536525726,0.8607199788093567,0.23090513050556183,0.8542869687080383,0.2308267503976822,0.7401589751243591,0.23671214282512665,1.3133851289749146,0.29773691296577454,0.7358770966529846,0.23584435880184174,1.3133851289749146,0.29773691296577454,0.7522346377372742,0.21902351081371307,0.7502524852752686,0.21898584067821503,-0.0019821608439087868,0.20069262385368347,0.5503922700881958,-0.5411150455474854,0.0019821608439087868,0.20069262385368347,0.5411150455474854,-0.5503922700881958,-0.023220600560307503,0.24161860346794128,0.6369348764419556,-0.7007502913475037,-0.002665913198143244,0.25426000356674194,0.7193130254745483,-0.6436105370521545,0.3499999940395355,-0.003505234606564045,0.21928860247135162,0
4,12,15,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6155123114585876,0.2817974388599396,0.8729255795478821,0.30931952595710754,0.877499520778656,0.30777621269226074,0.7122683525085449,0.29237619042396545,1.3969911336898804,0.296802818775177,0.7153301239013672,0.2919895052909851,1.3969911336898804,0.296802818775177,0.743122398853302,0.29264184832572937,0.7497662305831909,0.29814398288726807,0.0066439067013561726,0.25780588388442993,0.8094533681869507,-0.7971118688583374,-0.0066439067013561726,0.25780588388442993,0.7971118688583374,-0.8094533681869507,0.21901626884937286,0.2993759512901306,1.0792748928070068,-0.6958110332489014,-0.007476296275854111,0.3190300464630127,1.040419340133667,-0.9895720481872559,0.2800000011920929,-0.012250207364559174,0.1986372470855713,0
5,15,18,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.43757447600364685,0.37425172328948975,0.6136558055877686,0.40348538756370544,0.6192843914031982,0.40220677852630615,0.5343305468559265,0.40038907527923584,1.8910671472549438,0.0,0.538204550743103,0.39706072211265564,1.8910671472549438,0.036376841366291046,0.5299021005630493,0.3889094889163971,0.5350614190101624,0.3858121633529663,0.00515934219583869,0.4569387435913086,1.0132206678390503,-0.9901949167251587,-0.00515934219583869,0.4569387435913086,0.9901949167251587,-1.0132206678390503,-0.5016671419143677,0.4841687083244324,0.877065896987915,-1.5813462734222412,0.0052603245712816715,0.45226946473121643,1.1913118362426758,-0.998589277267456,0.30000001192092896,-0.007217030506581068,0.20830999314785004,0
6,18,21,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.40559497475624084,0.3499128818511963,0.6348583102226257,0.3639981746673584,0.6284252405166626,0.3626428246498108,0.5112842321395874,0.35637763142585754,1.526968240737915,0.0,0.5159116983413696,0.35269397497177124,1.526968240737915,0.005032947286963463,0.5202034115791321,0.3565050959587097,0.5269802808761597,0.3491213321685791,0.006776833441108465,0.416277140378952,0.995150089263916,-0.9199482202529907,-0.006776833441108465,0.416277140378952,0.9199482202529907,-0.995150089263916,-0.1352885663509369,0.45254725217819214,0.9664550423622131,-1.232088327407837,-0.004005336668342352,0.47313523292541504,1.1740212440490723,-0.9402737617492676,0.27000001072883606,-0.008807225152850151,0.20590946078300476,0
7,21,24,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6662784814834595,0.15140850841999054,0.9319249987602234,0.19032016396522522,0.9364991784095764,0.1901816576719284,0.7719677686691284,0.17602719366550446,1.2569847106933594,0.3276785910129547,0.7736839056015015,0.17442873120307922,1.2569847106933594,0.3276785910129547,0.8002485632896423,0.16142305731773376,0.8063066601753235,0.16335800290107727,0.006058099213987589,0.1728634089231491,0.5471646785736084,-0.6244033575057983,-0.006058099213987589,0.1728634089231491,0.6244033575057983,-0.5471646785736084,0.570004403591156,0.26389217376708984,1.1453649997711182,-0.1672688126564026,-0.014108189381659031,0.29458028078079224,0.6279745101928711,-0.9466448426246643,0.3100000023841858,0.0124445129185915,0.22197923064231873,0
8,24,27,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6622292399406433,0.28943899273872375,0.8407047986984253,0.3372635543346405,0.846333384513855,0.33965393900871277,0.7679184675216675,0.32838401198387146,1.7547452449798584,0.26357248425483704,0.769321620464325,0.3296698033809662,1.7547452449798584,0.26357248425483704,0.7517980933189392,0.3147607147693634,0.7550414800643921,0.3165794014930725,0.003243439132347703,0.32883381843566895,0.9151476621627808,-0.9551544189453125,-0.003243439132347703,0.32883381843566895,0.9551544189453125,-0.9151476621627808,0.1484687477350235,0.3548131287097931,1.0852587223052979,-1.032262921333313,-0.003636190900579095,0.36293235421180725,1.3547859191894531,-1.0825273990631104,0.5299999713897705,-0.03678712993860245,0.32851189374923706,0
9,27,30,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.46539413928985596,0.39462894201278687,0.6852298974990845,0.4101451635360718,0.6787969470024109,0.41470396518707275,0.5622528195381165,0.4044730067253113,2.1348466873168945,0.006526108831167221,0.5569449067115784,0.3999601900577545,2.1348466873168945,0.006526108831167221,0.5792834758758545,0.4016757309436798,0.5772361159324646,0.40247905254364014,-0.002047362271696329,0.48053404688835144,1.543877124786377,-1.4095677137374878,0.002047362271696329,0.48053404688835144,1.4095677137374878,-1.543877124786377,0.03141326084733009,0.457208514213562,1.4783635139465332,-1.5365554094314575,0.0007424879004247487,0.41547396779060364,1.2158868312835693,-1.5570828914642334,0.5199999809265137,0.02075072005391121,0.3529505133628845,0
10,30,33,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.4700118601322174,0.40844008326530457,0.7277036905288696,0.43388673663139343,0.7322777509689331,0.42749640345573425,0.5668705105781555,0.41782280802726746,2.0289669036865234,0.019545791670680046,0.5618763566017151,0.4135833978652954,2.0289669036865234,0.019545791670680046,0.6066158413887024,0.4175073206424713,0.6048436164855957,0.41774219274520874,-0.0017722892807796597,0.5006729364395142,1.4128003120422363,-1.7008939981460571,0.0017722892807796597,0.5006729364395142,1.7008939981460571,-1.4128003120422363,0.20733198523521423,0.5380218029022217,2.004896879196167,-1.3833839893341064,0.0011432504979893565,0.5304363369941711,1.5250557661056519,-1.2696034908294678,0.49000000953674316,-0.006048562470823526,0.25333601236343384,0
11,33,36,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.6110240817070007,0.15355022251605988,0.7893348932266235,0.1827220767736435,0.7949633598327637,0.18905457854270935,0.7078827023506165,0.1777910739183426,1.327743411064148,0.39853769540786743,0.7079089283943176,0.1778343915939331,1.327743411064148,0.39853769540786743,0.7034866213798523,0.16628946363925934,0.7055233716964722,0.16912895441055298,0.002036680467426777,0.18509505689144135,0.6479251384735107,-0.5248265862464905,-0.002036680467426777,0.18509505689144135,0.5248265862464905,-0.6479251384735107,-0.05617217719554901,0.25481483340263367,0.719910204410553,-0.9220037460327148,-0.0015899533173069358,0.2763829231262207,0.7217040061950684,-0.7622124552726746,0.25,-0.016424283385276794,0.2057664841413498,0
