seed,epochs_completed,stopped_early,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,13,True,-393.09730376396254,-455.79048325856047,6,-62.69317949459793,3504.048193359375,0.496639537294895
2026,13,True,-401.69672451414914,-444.79373480232533,5,-43.09701028817619,3264.568426513672,0.4893454169381424
2027,14,True,-396.30154304221884,-407.72605366520594,8,-11.4245106229871,2670.768505859375,0.505381224542116
2028,13,True,-403.0182506473269,-415.1820983219436,3,-12.163847674616704,2809.2761566162108,0.49240771921786547
2029,17,True,-400.9155713534123,-441.6521279855472,11,-40.73655663213492,2795.03088684082,0.49491375693960293
