mode,sample_index,block_index,selected_route_index,candidate_score_0,candidate_score_1,selected_score,expected_score,route_effective_advantage,route_old_logprob,route_new_logprob,route_ratio,route_surrogate
hierarchical_actor_true_conditional_route_policy,0,0,0,-0.01920272596180439,0.01920272596180439,-0.01920272596180439,-0.0039955428801476955,-0.03840545192360878,-0.5041217803955078,-0.5041217803955078,1.0,-0.03840545192360878
hierarchical_actor_true_conditional_route_policy,0,1,0,0.5418751239776611,-0.5418751239776611,0.5418751239776611,0.11116047203540802,1.0837502479553223,-0.506551206111908,-0.506551206111908,1.0,1.0837502479553223
hierarchical_actor_true_conditional_route_policy,0,2,1,0.16207164525985718,-0.16207164525985718,-0.16207164525985718,-0.021608129143714905,0.32414329051971436,-0.5679918527603149,-0.5679917335510254,1.0000001192092896,0.32414332032203674
hierarchical_actor_true_conditional_route_policy,0,3,0,-0.8720763325691223,0.8720763325691223,-0.8720763325691223,-0.07879677414894104,-1.7441526651382446,-0.606643557548523,-0.606643557548523,1.0,-1.7441526651382446
hierarchical_actor_true_conditional_route_policy,0,5,1,0.5480747222900391,-0.5480747222900391,-0.5480747222900391,-0.041526585817337036,1.0961494445800781,-0.6201122999191284,-0.6201122403144836,1.0,1.0961494445800781
hierarchical_actor_true_conditional_route_policy,0,6,1,-0.7043560147285461,0.7043560147285461,0.7043560147285461,-0.070610910654068,-1.4087120294570923,-0.7987842559814453,-0.7987842559814453,1.0,-1.4087120294570923
hierarchical_actor_true_conditional_route_policy,0,11,1,-1.0185925960540771,1.0185925960540771,1.0185925960540771,-0.22329747676849365,-2.0371851921081543,-0.9406111240386963,-0.9406110048294067,1.0000001192092896,-2.0371854305267334
hierarchical_actor_true_conditional_route_policy,0,12,1,-0.15226322412490845,0.15226322412490845,0.15226322412490845,-0.02349843829870224,-0.3045264482498169,-0.860770583152771,-0.8607706427574158,0.9999999403953552,-0.3045264184474945
hierarchical_actor_true_conditional_route_policy,0,13,1,0.17472240328788757,-0.17472240328788757,-0.17472240328788757,-0.023875445127487183,0.34944480657577515,-0.5650637149810791,-0.5650637149810791,1.0,0.34944480657577515
hierarchical_actor_true_conditional_route_policy,0,17,0,0.8235691785812378,-0.8235691785812378,0.8235691785812378,-0.04539698362350464,1.6471383571624756,-0.749846875667572,-0.749846875667572,1.0,1.6471383571624756
hierarchical_actor_true_conditional_route_policy,0,18,0,0.32674935460090637,-0.32674935460090637,0.32674935460090637,0.1027597039937973,0.6534987092018127,-0.41969767212867737,-0.41969773173332214,0.9999999403953552,0.653498649597168
hierarchical_actor_true_conditional_route_policy,0,20,0,0.30863097310066223,-0.30863097310066223,0.30863097310066223,-0.018954619765281677,0.6172619462013245,-0.7565292716026306,-0.7565293312072754,0.9999999403953552,0.6172618865966797
hierarchical_actor_true_conditional_route_policy,0,22,1,0.3088439106941223,-0.3088439106941223,-0.3088439106941223,0.008560612797737122,0.6176878213882446,-0.7212568521499634,-0.7212568521499634,1.0,0.6176878213882446
hierarchical_actor_true_conditional_route_policy,0,23,0,0.30973896384239197,-0.30973896384239197,0.30973896384239197,0.023391082882881165,0.6194779276847839,-0.6203441619873047,-0.6203441619873047,1.0,0.6194779276847839
hierarchical_actor_true_conditional_route_policy,1,0,0,-0.050966937094926834,0.050966937094926834,-0.050966937094926834,-0.00979548692703247,-0.10193387418985367,-0.5173527598381042,-0.5173527598381042,1.0,-0.10193387418985367
hierarchical_actor_true_conditional_route_policy,1,1,1,0.27889835834503174,-0.27889835834503174,-0.27889835834503174,-0.03074467182159424,0.5577967166900635,-0.5885744094848633,-0.5885744094848633,1.0,0.5577967166900635
hierarchical_actor_true_conditional_route_policy,1,2,0,-0.06537841260433197,0.06537841260433197,-0.06537841260433197,-0.01110747829079628,-0.13075682520866394,-0.5362330675125122,-0.5362330675125122,1.0,-0.13075682520866394
hierarchical_actor_true_conditional_route_policy,1,3,0,0.06787694990634918,-0.06787694990634918,0.06787694990634918,0.017838960513472557,0.13575389981269836,-0.4598052203655243,-0.4598052203655243,1.0,0.13575389981269836
hierarchical_actor_true_conditional_route_policy,1,6,0,-0.0403200164437294,0.0403200164437294,-0.0403200164437294,-0.0057451240718364716,-0.0806400328874588,-0.5599387884140015,-0.5599387884140015,1.0,-0.0806400328874588
hierarchical_actor_true_conditional_route_policy,1,8,1,0.1690337210893631,-0.1690337210893631,-0.1690337210893631,0.029392197728157043,0.3380674421787262,-0.8841668367385864,-0.884166955947876,0.9999998807907104,0.3380674123764038
hierarchical_actor_true_conditional_route_policy,1,9,1,-0.007170194294303656,0.007170194294303656,0.007170194294303656,-0.0010131907183676958,-0.014340388588607311,-0.8454896807670593,-0.8454897403717041,0.9999999403953552,-0.014340387657284737
hierarchical_actor_true_conditional_route_policy,1,12,0,0.1439933329820633,-0.1439933329820633,0.1439933329820633,0.002156555652618408,0.2879866659641266,-0.6782814264297485,-0.6782813668251038,1.0,0.2879866659641266
hierarchical_actor_true_conditional_route_policy,1,16,0,-0.40037262439727783,0.40037262439727783,-0.40037262439727783,0.007251560688018799,-0.8007452487945557,-0.7114251255989075,-0.7114251852035522,0.9999999403953552,-0.8007451891899109
hierarchical_actor_true_conditional_route_policy,1,17,0,0.06860426813364029,-0.06860426813364029,0.06860426813364029,0.023345936089754105,0.13720853626728058,-0.4002547860145569,-0.4002547860145569,1.0,0.13720853626728058
hierarchical_actor_true_conditional_route_policy,1,18,0,-0.16757549345493317,0.16757549345493317,-0.16757549345493317,-0.006092138588428497,-0.33515098690986633,-0.657437801361084,-0.6574378609657288,0.9999999403953552,-0.33515095710754395
hierarchical_actor_true_conditional_route_policy,1,20,0,0.0627344399690628,-0.0627344399690628,0.0627344399690628,0.013754406943917274,0.1254688799381256,-0.4949128031730652,-0.4949128329753876,1.0,0.1254688799381256
hierarchical_actor_true_conditional_route_policy,1,21,0,0.12528857588768005,-0.12528857588768005,0.12528857588768005,0.01620221883058548,0.2505771517753601,-0.5715321898460388,-0.5715322494506836,0.9999999403953552,0.2505771219730377
hierarchical_actor_true_conditional_route_policy,1,23,0,-0.1410544067621231,0.1410544067621231,-0.1410544067621231,-0.01198974996805191,-0.2821088135242462,-0.6115663647651672,-0.6115663647651672,1.0,-0.2821088135242462
