block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.6388911604881287,0.254824161529541,0.86284339427948,0.26899951696395874,0.8564103841781616,0.2707943618297577,0.7450273036956787,0.2716091573238373,1.3429993391036987,0.2789812982082367,0.7386366128921509,0.2730492353439331,1.3429993391036987,0.2789812982082367,0.7398158311843872,0.2621518075466156,0.7348477244377136,0.2619844079017639,-0.004968180786818266,0.26325008273124695,0.6966352462768555,-0.800798773765564,-0.7450273036956787,0.2716091573238373,-0.2789812982082367,-1.3429993391036987,-0.7848665714263916,0.20686925947666168,0.03821485489606857,-1.1233412027359009,-1.5153489112854004,0.35637539625167847,-0.580774188041687,-2.245281219482422,-0.7304823398590088,0.3680994510650635,0.13217192888259888,-1.5368077754974365,0.4000000059604645,-0.12745755910873413,0.1967814862728119,0
1,3,6,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.428140252828598,0.3435693681240082,0.6870419383049011,0.36293789744377136,0.6916159987449646,0.3715517520904541,0.5342763662338257,0.3572169244289398,2.025749444961548,0.07765382528305054,0.5276880860328674,0.3569103479385376,2.025749444961548,0.07765382528305054,0.5539944171905518,0.3534946143627167,0.5508091449737549,0.3535708785057068,-0.003185281762853265,0.4511845111846924,1.0469200611114502,-1.4152255058288574,-0.5342763662338257,0.3572169244289398,-0.07765382528305054,-2.025749444961548,-0.9204744100570679,0.1615086942911148,-0.4288977384567261,-1.2947509288787842,-1.436915636062622,0.39561668038368225,-0.7435449361801147,-2.9911234378814697,-0.5164411067962646,0.4240577816963196,0.16638410091400146,-2.2717278003692627,0.4399999976158142,-0.13808585703372955,0.17420312762260437,0
2,6,9,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.47340765595436096,0.35534051060676575,0.6530680060386658,0.3806360363960266,0.6586965918540955,0.38224732875823975,0.5795438289642334,0.37556159496307373,2.105593204498291,0.032996661961078644,0.5726715326309204,0.3763423264026642,2.105593204498291,0.032996661961078644,0.5640883445739746,0.3653889000415802,0.5585022568702698,0.36878859996795654,-0.005586155690252781,0.460649311542511,1.1411073207855225,-1.446669578552246,-0.5795438289642334,0.37556159496307373,-0.032996661961078644,-2.105593204498291,-1.2291661500930786,0.3075558543205261,0.3029507100582123,-1.745267391204834,-1.7816894054412842,0.4969605803489685,-0.14091846346855164,-3.1079907417297363,-0.5525233745574951,0.46719199419021606,0.6845669746398926,-1.9577949047088623,0.47999998927116394,-0.1397387981414795,0.21549975872039795,0
3,9,12,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.6434029340744019,0.21626387536525726,0.8607199788093567,0.23090513050556183,0.8542869687080383,0.2308267503976822,0.7401589751243591,0.23671214282512665,1.3133851289749146,0.29773691296577454,0.7358770966529846,0.23584435880184174,1.3133851289749146,0.29773691296577454,0.7522346377372742,0.21902351081371307,0.7502524852752686,0.21898584067821503,-0.0019821608439087868,0.20069262385368347,0.5503922700881958,-0.5411150455474854,-0.7401589751243591,0.23671214282512665,-0.29773691296577454,-1.3133851289749146,-1.0064330101013184,0.1997002214193344,-0.4007096290588379,-1.432979702949524,-1.732560396194458,0.30391788482666016,-0.813130259513855,-2.580416202545166,-0.7261276245117188,0.3207855820655823,-0.03418147563934326,-1.7088974714279175,0.47999998927116394,-0.18191564083099365,0.17828156054019928,0
4,12,15,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.6155123114585876,0.2817974388599396,0.8729255795478821,0.30931952595710754,0.877499520778656,0.30777621269226074,0.7122683525085449,0.29237619042396545,1.3969911336898804,0.296802818775177,0.7153301239013672,0.2919895052909851,1.3969911336898804,0.296802818775177,0.743122398853302,0.29264184832572937,0.7497662305831909,0.29814398288726807,0.0066439067013561726,0.25780588388442993,0.8094533681869507,-0.7971118688583374,-0.7122683525085449,0.29237619042396545,-0.296802818775177,-1.3969911336898804,-0.5966837406158447,0.1552615761756897,-0.14009904861450195,-1.0391697883605957,-1.2946871519088745,0.30942392349243164,-0.7326523661613464,-2.025871992111206,-0.6980035305023193,0.3484634459018707,0.004468441009521484,-1.5309169292449951,0.4000000059604645,-0.1575024425983429,0.15952938795089722,0
5,15,18,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.43757447600364685,0.37425172328948975,0.6136558055877686,0.40348538756370544,0.6192843914031982,0.40220677852630615,0.5343305468559265,0.40038907527923584,1.8910671472549438,0.0,0.538204550743103,0.39706072211265564,1.8910671472549438,0.036376841366291046,0.5299021005630493,0.3889094889163971,0.5350614190101624,0.3858121633529663,0.00515934219583869,0.4569387435913086,1.0132206678390503,-0.9901949167251587,-0.5343305468559265,0.40038907527923584,-0.0,-1.8910671472549438,-1.4101780652999878,0.20196467638015747,-0.23038984835147858,-1.7834715843200684,-1.9166101217269897,0.4343147575855255,-0.3269738554954529,-3.2270894050598145,-0.5064319372177124,0.4114852845668793,0.39676332473754883,-2.0562286376953125,0.6399999856948853,-0.16240227222442627,0.2894180417060852,0
6,18,21,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.40559497475624084,0.3499128818511963,0.6348583102226257,0.3639981746673584,0.6284252405166626,0.3626428246498108,0.5112842321395874,0.35637763142585754,1.526968240737915,0.0,0.5159116983413696,0.35269397497177124,1.526968240737915,0.005032947286963463,0.5202034115791321,0.3565050959587097,0.5269802808761597,0.3491213321685791,0.006776833441108465,0.416277140378952,0.995150089263916,-0.9199482202529907,-0.5112842321395874,0.35637763142585754,-0.0,-1.526968240737915,-0.9475787281990051,0.16293971240520477,-0.43599817156791687,-1.4144294261932373,-1.440192699432373,0.39698219299316406,-0.4279614984989166,-2.528545618057251,-0.49261391162872314,0.3996497392654419,0.3243221938610077,-1.6479706764221191,0.4699999988079071,-0.11183980852365494,0.22659127414226532,0
7,21,24,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.6662784814834595,0.15140850841999054,0.9319249987602234,0.19032016396522522,0.9364991784095764,0.1901816576719284,0.7719677686691284,0.17602719366550446,1.2569847106933594,0.3276785910129547,0.7736839056015015,0.17442873120307922,1.2569847106933594,0.3276785910129547,0.8002485632896423,0.16142305731773376,0.8063066601753235,0.16335800290107727,0.006058099213987589,0.1728634089231491,0.5471646785736084,-0.6244033575057983,-0.7719677686691284,0.17602719366550446,-0.3276785910129547,-1.2569847106933594,-0.40883591771125793,0.1919880360364914,0.326072096824646,-0.8431286811828613,-1.1692149639129639,0.2710665464401245,-0.3537161350250244,-1.7399358749389648,-0.7603790760040283,0.30761486291885376,0.3275599479675293,-1.5406721830368042,0.46000000834465027,-0.16316361725330353,0.18276560306549072,0
8,24,27,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.6622292399406433,0.28943899273872375,0.8407047986984253,0.3372635543346405,0.846333384513855,0.33965393900871277,0.7679184675216675,0.32838401198387146,1.7547452449798584,0.26357248425483704,0.769321620464325,0.3296698033809662,1.7547452449798584,0.26357248425483704,0.7517980933189392,0.3147607147693634,0.7550414800643921,0.3165794014930725,0.003243439132347703,0.32883381843566895,0.9151476621627808,-0.9551544189453125,-0.7679184675216675,0.32838401198387146,-0.26357248425483704,-1.7547452449798584,-0.8185872435569763,0.1838381588459015,-0.017694495618343353,-1.1932551860809326,-1.568198561668396,0.3964623808860779,-0.588947057723999,-2.85457706451416,-0.7496113777160645,0.3785393238067627,0.0510636568069458,-1.9130735397338867,0.6499999761581421,-0.20823925733566284,0.2538725435733795,0
9,27,30,3,dispatch_decision_block,blockwise_td_advantage_surrogate_mean,0.46539413928985596,0.39462894201278687,0.6852298974990845,0.4101451635360718,0.6787969470024109,0.41470396518707275,0.5622528195381165,0.4044730067253113,2.1348466873168945,0.006526108831167221,0.5569449067115784,0.3999601900577545,2.1348466873168945,0.006526108831167221,0.5792834758758545,0.4016757309436798,0.5772361159324646,0.40247905254364014,-0.002047362271696329,0.48053404688835144,1.543877124786377,-1.4095677137374878,-0.5622528195381165,0.4044730067253113,-0.006526108831167221,-2.1348466873168945,-0.8084217309951782,0.17110900580883026,-0.24223990738391876,-1.192640781402588,-1.355716347694397,0.4524345397949219,-0.528979480266571,-3.020826816558838,-0.5472947955131531,0.4960687458515167,0.34183579683303833,-2.287747621536255,0.4399999976158142,-0.13486643135547638,0.2140713781118393,0
