seed,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,final_critic_loss,avg_theta_last10_mean
2025,10,-394.5327961824512,-406.54655466768355,6,-12.013758485232358,2581.7021484375,0.49061577285775276
2026,9,-404.3282964088549,-411.2883080441381,5,-6.960011635283195,2709.4237731933595,0.4863583394474679
2027,8,-397.3309532505038,-409.78426331241803,4,-12.453310061914237,2717.1111602783203,0.4983145379044487
2028,7,-407.5039012049026,-410.86873598364855,3,-3.3648347787459443,2818.6577056884767,0.496629549270409
2029,6,-402.02319334678907,-409.2746054850143,2,-7.251412138225248,2814.116326904297,0.4887444004931005
