epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-22.253490447998047,6.308380126953125,0.0,1.0,-1.365694284439087,3.8429031372070312,32.73337173461914,0.7399135231971741,0.0,0.0,0.0,32.73337173461914,0.0,0.6308380126953126
1,-19.223596572875977,7.500382423400879,0.029999999329447746,0.9700000286102295,-2.0605385303497314,8.204756736755371,1245573.875,0.6723470687866211,17.595760345458984,90222128.0,7308.9501953125,353896.0,2.6957485675811768,0.750038242340088
2,-16.443557739257812,12.48542308807373,0.10000000149011612,0.8999999761581421,-3.7913215160369873,9.157035827636719,534202.375,0.6221241354942322,3319886.25,1820360.0,119.6894760131836,365597.5625,13.59575366973877,1.248542308807373
3,-14.45806884765625,23.06142234802246,0.1899999976158142,0.8100000023841858,0.9606945514678955,8.98753833770752,2029892.125,0.6910523176193237,283845.9375,1596695.625,994770.6875,2308503.25,17.30531883239746,2.306142234802246
4,-10.297611236572266,16.06817054748535,0.1599999964237213,0.8399999737739563,-0.9039159417152405,7.705016613006592,6369611.5,0.6650279760360718,91575.0859375,56521360.0,1654427.25,101754.640625,30.830371856689453,1.6068170547485352
