epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm
0,critic_backbone.0.weight,1751040,1223408,0.6986750730994152,345748.0,2061475.875,7500496.0,85565536.0,1655.018310546875,1800.0,1800.0,1800.0,0.029530341271311045,0.1179593464359641,161.76345386505128
0,critic_backbone.4.bias,5120,348,0.06796875,1945.718994140625,4612.768164062501,7789.078720703154,465070.96875,1713.3277587890625,3999.999755859375,3999.999755859375,3999.999755859375,0.004809382173698395,0.010314292239490897,10.498424351215363
0,critic_backbone.6.weight,655360,205399,0.31341400146484377,4967.60302734375,11841.73393554686,26811.484882812587,73211040.0,2777.694580078125,3999.999755859375,3999.999755859375,3999.999755859375,0.03346591894514859,0.053679545503109695,108.86851768493652
0,critic_backbone.7.bias,5120,0,0.0,1933.6214599609375,5272.332641601563,13314.82142578127,26140.498046875,1933.6214599609375,5272.332641601563,13314.82142578127,26140.498046875,0.005048192932736129,0.009091560239903628,10.489087522029877
0,critic_backbone.7.weight,5120,3796,0.74140625,20799.44140625,55542.08339843753,184706.2600000007,16370807.0,3698.11767578125,3999.999755859375,3999.999755859375,3999.999755859375,0.0036510109843220563,0.0032196933025261387,10.062967228889466
1,critic_backbone.0.weight,1751040,942971,0.5385205363669591,305054.0625,1904686.75,6677767.5,26326746.0,1547.63818359375,1800.0,1800.0,1800.0,0.023750653374008834,0.1468809574842453,173.78325672149657
1,critic_backbone.4.bias,5120,377,0.0736328125,1916.1353759765625,4528.801245117187,6141.601972656256,7410.58447265625,1829.4906005859375,3999.999755859375,3999.999755859375,3999.999755859375,0.0029250014486024156,0.0048321659283828925,6.026976278424263
1,critic_backbone.6.weight,655360,200879,0.30651702880859377,3566.81494140625,7095.334985351557,10756.55759765626,22079.626953125,3001.65576171875,3999.999755859375,3999.999755859375,3999.999755859375,0.023209212929941714,0.02688009776175022,73.64816169738769
1,critic_backbone.7.bias,5120,0,0.0,1696.5882568359375,3231.621252441407,7931.221845703149,13941.7255859375,1696.5882568359375,3231.621252441407,7931.221845703149,13941.7255859375,0.0052696865634061394,0.007304039853625,11.218199026584625
1,critic_backbone.7.weight,5120,1643,0.3208984375,6130.30517578125,17750.246289062517,103318.72640625045,150749.46875,3013.1103515625,3999.999755859375,3999.999755859375,3999.999755859375,0.00683434798847884,0.005901629471918568,15.951863050460815
2,critic_backbone.0.weight,1751040,693423,0.3960063733552632,306818.875,1928232.875,6627614.0,24992870.0,1364.189208984375,1800.0,1800.0,1800.0,0.034067575633525846,0.3416652914136648,300.7277545928955
2,critic_backbone.4.bias,5120,488,0.0953125,2139.380859375,5132.024633789064,6379.327392578126,7485.55859375,2024.2601318359375,3999.999755859375,3999.999755859375,3999.999755859375,0.001830250358034391,0.0063310885714599864,9.649358135461807
2,critic_backbone.6.weight,655360,217410,0.3317413330078125,3701.05810546875,6546.913891601562,10072.351835937501,17934.001953125,3224.8759765625,3999.999755859375,3999.999755859375,3999.999755859375,0.020068306755274535,0.04227293091826141,132.37006063461303
2,critic_backbone.7.bias,5120,0,0.0,1649.622314453125,2330.882006835938,3930.551879882815,10736.8037109375,1649.622314453125,2330.882006835938,3930.551879882815,10736.8037109375,0.004072834947146475,0.005529310257406906,8.67111728489399
2,critic_backbone.7.weight,5120,466,0.091015625,3992.149169921875,8767.724951171886,29899.58470703131,141867.96875,2477.686767578125,3999.999755859375,3999.999755859375,3999.999755859375,0.005345813260646537,0.004321384709328413,10.18097979426384
3,critic_backbone.0.weight,1751040,401794,0.22946020650584795,269142.375,1711819.375,5719866.0,21179214.0,1132.8326416015625,1800.0,1800.0,1800.0,0.03542639017105102,0.38616792038083075,275.2766912460327
3,critic_backbone.4.bias,5120,428,0.08359375,1927.6031494140625,4618.335278320314,6041.329409179693,6898.1240234375,1849.1578369140625,3999.999755859375,3999.999755859375,3999.999755859375,0.003320519858971238,0.009943408612161874,13.00574346780777
3,critic_backbone.6.weight,655360,78775,0.12020111083984375,3092.24853515625,4773.64992675781,7858.927348632828,14657.60546875,2944.1474609375,3999.999755859375,3999.999755859375,3999.999755859375,0.022784815123304724,0.05696056415326893,161.1578155517578
3,critic_backbone.7.bias,5120,0,0.0,1715.05078125,2479.9964355468755,3979.9427783203123,10853.6767578125,1715.05078125,2479.9964355468755,3979.9427783203123,10853.6767578125,0.002503496373537928,0.005551073892274871,9.056351029872895
3,critic_backbone.7.weight,5120,400,0.078125,3386.409423828125,6654.281542968753,22632.70283203127,83550.609375,2594.28173828125,3999.999755859375,3999.999755859375,3999.999755859375,0.0016640491819998715,0.0031161918770521877,7.8379876732826235
4,critic_backbone.0.weight,1751040,306420,0.17499314692982457,266815.78125,1712240.26874995,5724608.0,20522310.0,1069.0750732421875,1800.0,1800.0,1800.0,0.027859559189528225,0.33113223407417536,217.93901290893555
4,critic_backbone.4.bias,5120,355,0.0693359375,1877.9007568359375,4300.591552734375,5113.006054687501,6070.005859375,1834.046630859375,3999.999755859375,3999.999755859375,3999.999755859375,0.0019358644407475368,0.008331196435028687,10.950969469547271
4,critic_backbone.6.weight,655360,39177,0.05977935791015625,2857.893310546875,4161.158642578124,6949.873979492198,12713.150390625,2768.228515625,3999.999755859375,3999.999755859375,3999.999755859375,0.019957981863990427,0.05201880517415702,138.4096197128296
4,critic_backbone.7.bias,5120,0,0.0,1695.279541015625,2353.3069335937503,3499.337937011728,8852.0341796875,1695.279541015625,2353.3069335937503,3499.337937011728,8852.0341796875,0.00246001001651166,0.0063169053988531235,10.401151013374328
4,critic_backbone.7.weight,5120,375,0.0732421875,3042.571533203125,5322.1417236328125,15107.319218750225,37974.859375,2587.038330078125,3999.999755859375,3999.999755859375,3999.999755859375,0.0025928627321263773,0.004185288739972748,10.594256019592285
