epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0.05362095685726315,3107840,1432951,0.4610761815280066,196720.875,782182.3125,5164103.404999959,87227216.0,2359.2607421875,3999.999755859375,6565.797373046864,87227216.0
1,0.03987448378086181,3107840,1145870,0.3687030220345964,173223.734375,739280.4375,4644454.5,26326746.0,2095.69189453125,3999.999755859375,4762.290385742187,15145.8115234375
2,0.04697144863378734,3107840,911787,0.2933828639827018,174197.0625,752956.0625,4679656.394999972,24992870.0,1992.638916015625,3999.999755859375,4577.579726562497,13544.271484375
3,0.04999873354602025,3107840,481397,0.154897613776771,152704.34375,633936.5,4121480.672499859,21179214.0,1668.0147705078125,3690.2744750976562,3999.999755859375,11470.0966796875
4,0.0403315943001971,3107840,346327,0.11143656044069193,151299.953125,636829.0,4095507.25,20522310.0,1551.43505859375,3283.8806274414064,3999.999755859375,9196.509765625
