telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0,0,0,0.10470587907655893,77696,43752,0.5631177924217463,337441.9375,813527.0625,8006502.950000231,87227216.0,8192.765625,10889.51220703125,55061.98457031283,87227216.0
1,0,0,1,0.07950901576478459,77696,42534,0.5474413097199341,270919.90625,734210.4375,6959320.025000244,70351800.0,2867.632568359375,6586.0242919921875,16105.966455078142,434318.6875
2,0,0,2,0.06575678164952774,77696,42352,0.5450988467874794,256598.984375,745821.625,6623286.0,65365192.0,2603.09375,5715.8299560546875,11412.28369140629,209757.734375
3,0,0,3,0.05950332419637952,77696,40599,0.5225365527182867,250759.0625,823591.9375,6795377.5,49810400.0,2416.6494140625,5028.417236328125,9101.171191406269,55079.0703125
4,0,1,4,0.05810153407238568,77696,41229,0.5306450782537068,236987.25,824897.9375,6440761.5,44768192.0,2402.05029296875,4936.8040771484375,8495.963427734387,32011.357421875
5,0,1,5,0.05754827483832477,77696,41659,0.5361794686985173,225727.84375,840009.625,6221241.5,37659504.0,2398.01904296875,4880.1173095703125,8094.796752929697,30750.162109375
6,0,1,6,0.05526544612887469,77696,41883,0.5390625,216556.859375,820189.125,5801986.5,37291408.0,2386.17822265625,4819.77197265625,7638.060424804697,30288.76171875
7,0,1,7,0.05347049007509466,77696,39387,0.5069372940691927,214721.375,845221.046875,5669693.5,35909596.0,2306.9814453125,4477.9775390625,7041.543164062502,32074.9921875
8,0,2,8,0.05342940667936174,77696,39440,0.5076194398682042,207673.0,826952.625,5593008.0,36753316.0,2301.99560546875,4439.3111572265625,6797.0843994140705,33957.21484375
9,0,2,9,0.05188884753634253,77696,39856,0.5129736408566722,206823.03125,825650.375,5553501.0,37578780.0,2306.79150390625,4436.7298583984375,6737.750024414066,31174.34375
10,0,2,10,0.05128706362389002,77696,40323,0.5189842462932455,202560.625,820800.1875,5317721.0,35606308.0,2314.95751953125,4448.034423828125,6642.7908935546875,26697.669921875
11,0,2,11,0.05195417361364591,77696,37361,0.48086130560131796,200577.21875,831998.75,5402370.0,36173348.0,2218.424560546875,4119.9212646484375,6146.648681640639,23266.0
12,0,3,12,0.052342639099694416,77696,37709,0.4853403006589786,196905.046875,803499.4375,5360209.750000077,36611808.0,2226.158203125,4125.6021728515625,6073.210009765632,20546.763671875
13,0,3,13,0.05166267242197119,77696,38172,0.4912994233937397,194615.0,808500.0,5280374.0,36244460.0,2237.2080078125,4144.6663818359375,6071.989501953125,20038.70703125
14,0,3,14,0.05077569549435178,77696,38283,0.492728068369028,191306.375,800458.6875,5142420.5,33590864.0,2238.978515625,4150.153564453125,6003.494580078129,20722.8828125
15,0,3,15,0.050764990906331096,77696,36004,0.4633957990115321,190003.296875,807543.875,5085077.0,29502498.0,2170.14453125,3999.999755859375,5692.977099609376,21291.30078125
16,0,4,16,0.050583714154559936,77696,36523,0.4700756795716639,189185.953125,800054.9375,5032025.075000019,28987422.0,2181.453369140625,3999.999755859375,5684.063427734377,21473.525390625
