block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04732997715473175,0.016488678753376007,0.08847889304161072,0.01919720135629177,1.0,0.0,1.0,1.0,0.0,0.25999999046325684,0.0,0.25999999046325684,0.9887403845787048,0.17820213735103607,1.554345965385437,0.09053503721952438,1.0522302389144897,-0.011259598657488823,0.17820213735103607,0
1,3,6,3,dispatch_decision_block,0.03311746194958687,0.01981029473245144,0.10301857441663742,0.005217146128416061,1.0,0.0,1.0,1.0,0.0,0.3499999940395355,0.0,0.3499999940395355,0.9787382483482361,0.24990427494049072,1.8992056846618652,0.1012401208281517,1.0612943172454834,-0.02126176841557026,0.24990427494049072,0
2,6,9,3,dispatch_decision_block,0.03604390099644661,0.020740604028105736,0.10582234710454941,0.0024820088874548674,1.0,0.0,1.0,1.0,0.0,0.3700000047683716,0.0,0.3700000047683716,1.0088632106781006,0.25433292984962463,2.1759843826293945,0.0939423069357872,1.0844171047210693,0.00886312872171402,0.25433292984962463,0
3,9,12,3,dispatch_decision_block,0.047101039439439774,0.015442363917827606,0.1052103340625763,0.01709936000406742,1.0,0.0,1.0,1.0,0.0,0.46000000834465027,0.0,0.46000000834465027,0.9831403493881226,0.24794895946979523,1.7001714706420898,0.10795461386442184,1.0775266885757446,-0.016859641298651695,0.24794895946979523,0
4,12,15,3,dispatch_decision_block,0.04497215151786804,0.016966186463832855,0.09363672137260437,0.016877492889761925,1.0,0.0,1.0,1.0,0.0,0.4099999964237213,0.0,0.4099999964237213,0.9718217253684998,0.25345125794410706,2.0020296573638916,0.09632989019155502,1.060874342918396,-0.02817826345562935,0.25345125794410706,0
5,15,18,3,dispatch_decision_block,0.03271540626883507,0.02262520045042038,0.10732696950435638,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.0,0.38999998569488525,0.0,0.38999998569488525,0.985126793384552,0.22745509445667267,1.6437153816223145,0.09749498218297958,1.0632723569869995,-0.014873270876705647,0.22745509445667267,0
6,18,21,3,dispatch_decision_block,0.03146720305085182,0.02027403749525547,0.09691941738128662,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.0,0.38999998569488525,0.0,0.38999998569488525,1.0093263387680054,0.2543335258960724,1.9984849691390991,0.09144053608179092,1.0581923723220825,0.009326319210231304,0.2543335258960724,0
7,21,24,3,dispatch_decision_block,0.04999563843011856,0.013195488601922989,0.0973614975810051,0.020090293139219284,1.0,0.0,1.0,1.0,0.0,0.4099999964237213,0.0,0.4099999964237213,0.9882580041885376,0.2608577311038971,2.046764373779297,0.08607616275548935,1.0720458030700684,-0.011742017231881618,0.2608577311038971,0
8,24,27,3,dispatch_decision_block,0.048451829701662064,0.017625175416469574,0.09106103330850601,0.02085929550230503,1.0,0.0,1.0,1.0,0.0,0.25999999046325684,0.0,0.25999999046325684,0.9976858496665955,0.21091488003730774,1.7154566049575806,0.08291387557983398,1.0552858114242554,-0.002314091892912984,0.21091488003730774,0
9,27,30,3,dispatch_decision_block,0.03398110717535019,0.021105889230966568,0.10393313318490982,0.0005297941388562322,1.0,0.0,1.0,1.0,0.0,0.38999998569488525,0.0,0.38999998569488525,0.933886706829071,0.22249791026115417,1.5572909116744995,0.10039713233709335,1.0703696012496948,-0.06611329317092896,0.22249791026115417,0
10,30,33,3,dispatch_decision_block,0.03424397483468056,0.021554009988904,0.1001361757516861,0.0015431217616423965,1.0,0.0,1.0,1.0,0.0,0.30000001192092896,0.0,0.30000001192092896,0.9835932850837708,0.20635724067687988,1.6638503074645996,0.09342068433761597,1.0799232721328735,-0.016406705603003502,0.20635724067687988,0
11,33,36,3,dispatch_decision_block,0.044829100370407104,0.010954500176012516,0.08201158791780472,0.026280956342816353,1.0,0.0,1.0,1.0,0.0,0.3499999940395355,0.0,0.3499999940395355,0.9909819960594177,0.23319925367832184,1.942637324333191,0.10173232108354568,1.0763870477676392,-0.009017983451485634,0.23319925367832184,0
12,36,39,3,dispatch_decision_block,0.050058551132678986,0.019607791677117348,0.11541114747524261,0.020679451525211334,1.0,0.0,1.0,1.0,0.0,0.3499999940395355,0.0,0.3499999940395355,0.9973013401031494,0.26937031745910645,2.191157102584839,0.1074993684887886,1.0723326206207275,-0.0026986063458025455,0.26937031745910645,0
13,39,42,3,dispatch_decision_block,0.03256065025925636,0.017139125615358353,0.07394459843635559,0.0009788002353161573,1.0,0.0,1.0,1.0,0.0,0.3199999928474426,0.0,0.3199999928474426,0.9719415903091431,0.21514856815338135,1.6890045404434204,0.0841946005821228,1.0520280599594116,-0.02805837243795395,0.21514856815338135,0
