epoch,episode_reward,episode_cost,episode_queue_penalty,episode_delay,episode_local_delay_cost,episode_uplink_delay_cost,episode_backhaul_delay_cost,episode_bs_compute_delay_cost,episode_energy,episode_uplink_energy,episode_local_compute_energy,episode_bs_compute_energy,avg_total_backlog,avg_theta,num_steps,actor_loss,critic_loss,entropy
0.0,-4286266.940958457,378.2014429719153,4285888.739515484,378.11789327185613,249.75613385766766,10.18553738399944,0.4217003833370168,117.75452164685176,83.54970005961518,1.3326071935338235,32.036632096793596,50.18046076928773,4285888739.5154862,0.49870451695414125,100.0,-0.012464760337024927,411013532330.6667,33.08335796991984
1.0,-4795704.251944226,454.6268293525492,4795249.625114877,454.53432165656835,306.77330735490847,11.527492262722063,0.44678355128563785,135.78673848765206,92.50769598092415,1.4145024782289857,36.21673389610916,54.876459606585975,4795249625.114875,0.49447441871076214,100.0,-0.03324491266782085,522197753856.0,33.0909956296285
2.0,-4413749.969241631,400.1341557659671,4413349.835085868,400.04839250511634,260.67365203342433,10.436005796824048,0.4152441540772321,128.52349052079106,85.7632608505761,1.296410091725266,33.17075675578778,51.29609400306305,4413349835.085866,0.4997414219482876,100.0,-0.1757496806482474,401011447125.3333,33.09840186436971
3.0,-4906661.557018477,489.4181106203588,4906172.138907858,489.3231169499199,326.67075698437105,12.477857873903302,0.5283555152822563,149.6461465763631,94.99367043895195,1.4857133825790316,37.02680800255686,56.48114905381606,4906172138.907855,0.4978059619292462,100.0,-0.03299847190889219,524102615040.0,33.10144774119059
4.0,-4569792.419463894,414.4113694996896,4569378.008094395,414.3221782488185,274.33195253791,10.530690684991242,0.40853533624969235,129.05099968966758,89.19125087141344,1.3449244321257756,33.981416519576726,53.86490991971092,4569378008.094394,0.4936399602103338,100.0,-0.012222926830872893,461744186709.3333,33.09872102737427
5.0,-4636025.421817855,419.83884916766465,4635605.582968685,419.7486578905424,275.1145252893045,10.669838507392223,0.41382353457175647,133.55047055927415,90.19127712206117,1.3499615262488398,34.54558235598509,54.295733239827236,4635605582.968686,0.49842673502227425,100.0,-0.01907844127466281,488803375786.6667,33.09828519821167
6.0,-4707685.677035697,436.5388503834618,4707249.138185314,436.4482063214823,287.25525254484876,11.610184976576493,0.4940350696768898,137.08873373037994,90.6440619794882,1.415082492799523,35.34430208363567,53.88467740305294,4707249138.185311,0.4964272477832295,100.0,0.05965286260470748,521926369280.0,33.10359811782837
7.0,-4693065.785200456,429.08315893561524,4692636.702041522,428.99171735401114,280.4728894853327,11.09594418122597,0.47727110907790304,136.94561257837472,91.44158160389985,1.39906848671285,34.861221088279564,55.18129202890743,4692636702.041523,0.4937569589127214,100.0,-0.119231176096946,486028808192.0,33.110480626424156
8.0,-4817447.173223983,433.82105436406664,4817013.35216962,433.7276024668018,288.1801183894932,11.299135423379555,0.4753078090410348,133.77304084488813,93.45189726487972,1.4178733510240698,36.20897282319905,55.82505109065661,4817013352.16962,0.4953955215496528,100.0,-0.09672762438034017,500405205674.6667,33.1152237256368
9.0,-4937048.588578918,495.1933566248517,4936553.395222294,495.09806677048556,331.40127849621086,12.814635338455304,0.5362052754728441,150.3459476603466,95.28985436603205,1.4979794807907674,37.316784330014244,56.475090555227055,4936553395.222294,0.49820356126859083,100.0,-0.07934946892783046,518349292885.3333,33.1138285001119
10.0,-4658324.850468649,450.2705994560167,4657874.579869187,450.1810875937729,305.97844304699225,11.821198748493211,0.5124316451314312,131.86901415315592,89.51186224383069,1.4219652133342533,35.62659952118222,52.46329750931424,4657874579.869189,0.4881201170885353,100.0,-0.036584652649859585,490847909205.3333,33.101582527160645
11.0,-4592923.674780713,428.92299139245296,4592494.751789318,428.83387889748695,285.1037297569872,11.873747948752646,0.525155977603768,131.33124521414322,89.11249496632357,1.4656477989483967,34.85827593470463,52.788571232670535,4592494751.789319,0.49539319651213587,100.0,-0.013993967169274887,462021709824.0,33.092562993367515
12.0,-4614221.55357595,446.7721498981387,4613774.781426049,446.6827024689983,286.5227461862072,12.08010885533187,0.5288292730709121,147.55101815438852,89.44742914041146,1.4280557662290612,35.13228903015543,52.887084344026974,4613774781.426051,0.4951997164113828,100.0,-0.11369166461129983,451117962581.3333,33.07989819844564
13.0,-4180188.038401852,381.28999716732613,4179806.748404685,381.2083169135392,247.94899728604472,10.788221762593283,0.49291119905559183,121.97818666584553,81.68025378706412,1.3417308341536898,30.88189487231947,49.45662808059095,4179806748.404687,0.5014827082778889,100.0,-0.06697747701158126,383302358357.3333,33.07255029678345
14.0,-4786034.667465859,432.6167080645981,4785602.050757796,432.5229868345965,274.14713016512775,12.39731692245105,0.5143492527483113,145.46419049426927,93.72123000149578,1.4847325952483263,34.92823525754535,57.30826214870209,4785602050.757795,0.5050196333696875,100.0,-0.07834462472237647,500485390336.0,33.07340749104818
15.0,-4492636.085962262,419.25981882178206,4492216.82614344,419.17322360327444,280.7074841990005,11.604187277219637,0.4778970859837653,126.38365504107053,86.59521850768179,1.3775529052895208,34.2455989638562,50.9720666385361,4492216826.143438,0.4922220413204423,100.0,-0.05352639616467059,443658334208.0,33.07642634709676
16.0,-4363256.619024307,398.7091931193051,4362857.909831185,398.62393417870146,267.08748210666215,10.525106171969316,0.4776098073418475,120.53373609272832,85.25894060346317,1.3333060760208388,32.82077922063175,51.104855306810585,4362857909.831187,0.49566061999913996,100.0,-0.08415083253445725,415751922346.6667,33.0824449857076
17.0,-4626835.023622236,420.65920281156144,4626414.364419425,420.5693083931856,279.5605002736734,11.189233397971526,0.46233873701642575,129.3572359845245,89.89441837577326,1.3942121585464398,35.23341884782958,53.26678736939723,4626414364.419421,0.49771479206334596,100.0,0.0416748997134467,465592605354.6667,33.090906937917076
18.0,-4862003.676137377,461.05267182321256,4861542.623465554,460.9584490423968,302.80387514718416,12.490119253832143,0.5594174080901024,145.1050372332902,94.22278081596855,1.5065225436044551,36.49798957737663,56.21826869498746,4861542623.465551,0.4950819826123962,100.0,0.01005832509448131,505394466816.0,33.102875073750816
19.0,-4741070.554143429,464.6266877493715,4740605.92745568,464.5351033724636,312.72923247938576,11.78653262906837,0.5142190482753172,139.50511921573442,91.58437690785676,1.3943864180234595,36.799915278327106,53.39007521150619,4740605927.455677,0.49078636207579934,100.0,-0.08791965106502175,473724422826.6667,33.10751612981161
