epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.07024902535539215,3153919,0,0.0,233507.515625,1182769.8374999769,5981987.5,94602784.0,233507.515625,1182769.8374999769,5981987.5,94602784.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0.05290619744302465,3153920,0,0.0,226014.90625,1201525.5,6271423.0,22138840.0,226014.90625,1201525.5,6271423.0,22138840.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0.05559541772576907,3153920,0,0.0,225680.953125,1223821.375,6256594.5,19043746.0,225680.953125,1223821.375,6256594.5,19043746.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0.05210905655848781,3153920,0,0.0,206611.984375,1147609.25,5719917.5,16959778.0,206611.984375,1147609.25,5719917.5,16959778.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0.0458162685922852,3153920,0,0.0,196567.890625,1101586.375,5439673.5,16508750.0,196567.890625,1101586.375,5439673.5,16508750.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.04165773658058951,3153920,0,0.0,196336.25,1128701.25,5324739.0,15022373.0,196336.25,1128701.25,5324739.0,15022373.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
