rank,noma_quantile,max_cluster_size,run_dir,epochs_completed,best_reward,final_reward,best_epoch,reward_gap,reward_gap_abs,final_critic_loss,avg_theta_last10,mean_oma_cluster_count,mean_noma_cluster_count,mean_multi_user_cluster_count,mean_users_in_noma_clusters,mean_cluster_size,mean_multi_user_step_fraction,max_cluster_size_seen
1,0.8,2,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p80_umax_02_20260315_170250_455918,6,-1097.4890041963947,-1186.8503552814086,1,-89.3613510850139,89.3613510850139,29105.45280761719,0.5064090824586507,4.04,1.9800000000000002,1.9800000000000002,3.9600000000000004,1.3299999999999983,0.9900000000000001,2
2,0.85,2,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p85_umax_02_20260315_170355_555289,6,-1097.4890041963947,-1186.8503552814086,1,-89.3613510850139,89.3613510850139,29105.45280761719,0.5064090824586507,4.04,1.9800000000000002,1.9800000000000002,3.9600000000000004,1.3299999999999983,0.9900000000000001,2
3,0.9,2,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p90_umax_02_20260315_170512_449638,6,-1097.4890041963947,-1186.8503552814086,1,-89.3613510850139,89.3613510850139,29105.45280761719,0.5064090824586507,4.04,1.9800000000000002,1.9800000000000002,3.9600000000000004,1.3299999999999983,0.9900000000000001,2
4,0.95,2,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p95_umax_02_20260315_170619_152421,6,-1097.4890041963947,-1186.8503552814086,1,-89.3613510850139,89.3613510850139,29105.45280761719,0.5064090824586507,4.04,1.9800000000000002,1.9800000000000002,3.9600000000000004,1.3299999999999983,0.9900000000000001,2
5,0.8,3,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p80_umax_03_20260315_170306_346716,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
6,0.8,4,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p80_umax_04_20260315_170330_159172,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
7,0.85,3,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p85_umax_03_20260315_170423_944251,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
8,0.85,4,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p85_umax_04_20260315_170449_793341,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
9,0.9,3,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p90_umax_03_20260315_170535_848460,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
10,0.9,4,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p90_umax_04_20260315_170559_374661,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
11,0.95,3,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p95_umax_03_20260315_170633_056087,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
12,0.95,4,checkpoints\fast_scheduler_dense_core_search_20260315_170250\q_0p95_umax_04_20260315_170643_659021,6,-1123.1340604907396,-1220.3944199381597,1,-97.26035944742011,97.26035944742011,30878.43430175781,0.5047042637029867,2.06,1.9800000000000002,1.9800000000000002,5.94,1.99,0.9900000000000001,3
