metric_name,group_name,mean,std,min,max,mean_delta_vs_pure_blended_baseline,mean_delta_vs_legacy_hardcap_reference,win_seed_count
best_epoch,004_pure_blended_baseline_adam,9.5,0.5,9.0,10.0,0.0,0.0,2
best_epoch,004_pure_blended_legacy_hardcap_reference_adam,9.5,0.5,9.0,10.0,0.0,0.0,2
best_epoch,004_pure_blended_soft_geometry_head_adam,9.5,0.5,9.0,10.0,0.0,0.0,2
best_reward,004_pure_blended_baseline_adam,-281.3813074153481,1.2049509817271655,-282.58625839707526,-280.1763564336209,0.0,0.0,2
best_reward,004_pure_blended_legacy_hardcap_reference_adam,-281.3813074153481,1.2049509817271655,-282.58625839707526,-280.1763564336209,0.0,0.0,2
best_reward,004_pure_blended_soft_geometry_head_adam,-281.3813074153481,1.2049509817271655,-282.58625839707526,-280.1763564336209,0.0,0.0,2
final_reward,004_pure_blended_baseline_adam,-299.9477593932038,0.38439181675536815,-300.3321512099592,-299.56336757644846,0.0,0.0,2
final_reward,004_pure_blended_legacy_hardcap_reference_adam,-299.9477593932038,0.38439181675536815,-300.3321512099592,-299.56336757644846,0.0,0.0,2
final_reward,004_pure_blended_soft_geometry_head_adam,-299.9477593932038,0.38439181675536815,-300.3321512099592,-299.56336757644846,0.0,0.0,2
reward_gap,004_pure_blended_baseline_adam,-18.566451977855735,0.8205591649717974,-19.387011142827532,-17.745892812883937,0.0,0.0,2
reward_gap,004_pure_blended_legacy_hardcap_reference_adam,-18.566451977855735,0.8205591649717974,-19.387011142827532,-17.745892812883937,0.0,0.0,2
reward_gap,004_pure_blended_soft_geometry_head_adam,-18.566451977855735,0.8205591649717974,-19.387011142827532,-17.745892812883937,0.0,0.0,2
overall_advantage_action_alignment,004_pure_blended_baseline_adam,-0.026169694494456,0.0132958856411278,-0.0394655801355838,-0.0128738088533282,0.0,0.011181466747075349,1
overall_advantage_action_alignment,004_pure_blended_legacy_hardcap_reference_adam,-0.03735116124153135,0.014383129775524148,-0.0517342910170555,-0.0229680314660072,-0.011181466747075349,0.0,1
overall_advantage_action_alignment,004_pure_blended_soft_geometry_head_adam,-0.03808244504034515,0.010183433070778848,-0.048265878111124,-0.0278990119695663,-0.011912750545889148,-0.0007312837988137991,0
theta_advantage_alignment,004_pure_blended_baseline_adam,0.00577159319072965,0.0071623381227254495,-0.0013907449319958,0.0129339313134551,0.0,0.012903614784590952,1
theta_advantage_alignment,004_pure_blended_legacy_hardcap_reference_adam,-0.0071320215938613,0.009159531560726401,-0.0162915531545877,0.0020275099668651,-0.012903614784590952,0.0,1
theta_advantage_alignment,004_pure_blended_soft_geometry_head_adam,-0.0037148043047636,0.0010728717315942,-0.0047876760363578,-0.0026419325731694,-0.00948639749549325,0.0034172172890977,0
route_advantage_alignment,004_pure_blended_baseline_adam,-0.021097118034958798,0.0019601825624703997,-0.0230573005974292,-0.0191369354724884,0.0,-0.0210048380977241,0
route_advantage_alignment,004_pure_blended_legacy_hardcap_reference_adam,-9.227993723469997e-05,0.0005227168876443999,-0.0006149968248791,0.0004304369504097,0.0210048380977241,0.0,2
route_advantage_alignment,004_pure_blended_soft_geometry_head_adam,-0.0171158546581864,0.008347655646503,-0.0254635103046894,-0.0087681990116834,0.003981263376772399,-0.0170235747209517,0
value_explained_variance,004_pure_blended_baseline_adam,0.9819828867912292,0.001776516437530462,0.9802063703536988,0.9837594032287598,0.0,0.008542358875274658,2
value_explained_variance,004_pure_blended_legacy_hardcap_reference_adam,0.9734405279159546,0.0011970996856690008,0.9722434282302856,0.9746376276016236,-0.008542358875274658,0.0,0
value_explained_variance,004_pure_blended_soft_geometry_head_adam,0.9704785346984863,0.0067326426506043036,0.963745892047882,0.9772111773490906,-0.011504352092743031,-0.0029619932174683727,0
prediction_target_corr,004_pure_blended_baseline_adam,0.9910028874874115,0.000913470983505249,0.9900894165039062,0.9919163584709167,0.0,0.004227846860885565,2
prediction_target_corr,004_pure_blended_legacy_hardcap_reference_adam,0.9867750406265259,0.0007177591323853094,0.9860572814941406,0.9874927997589112,-0.004227846860885565,0.0,0
prediction_target_corr,004_pure_blended_soft_geometry_head_adam,0.9851276576519012,0.0034125149250031073,0.9817151427268982,0.9885401725769044,-0.005875229835510198,-0.0016473829746246338,0
prediction_std_over_target_std,004_pure_blended_baseline_adam,0.9926901757717133,0.010999232530593872,0.9816909432411194,1.0036894083023071,0.0,-0.0012758374214172918,2
prediction_std_over_target_std,004_pure_blended_legacy_hardcap_reference_adam,0.9939660131931305,0.015986770391464178,0.9779792428016664,1.0099527835845947,0.0012758374214172918,0.0,0
prediction_std_over_target_std,004_pure_blended_soft_geometry_head_adam,0.9826554656028748,0.005268275737762396,0.9773871898651124,0.9879237413406372,-0.010034710168838445,-0.011310547590255737,0
target_bucket_prediction_slope,004_pure_blended_baseline_adam,0.9826864382162297,0.0062712127732021394,0.9764152254430276,0.9889576509894319,0.0,-0.0029692126819114706,0
target_bucket_prediction_slope,004_pure_blended_legacy_hardcap_reference_adam,0.9856556508981412,0.004107490011921344,0.9815481608862199,0.9897631409100626,0.0029692126819114706,0.0,2
target_bucket_prediction_slope,004_pure_blended_soft_geometry_head_adam,0.9749028447379018,0.003936456394905807,0.970966388342996,0.9788393011328076,-0.007783593478327966,-0.010752806160239436,0
joint_action_decision_agreement_ratio_under_reward_aligned,004_pure_blended_baseline_adam,0.6890625357627869,0.0019791722297668457,0.68708336353302,0.6910417079925537,0.0,0.0,2
joint_action_decision_agreement_ratio_under_reward_aligned,004_pure_blended_legacy_hardcap_reference_adam,0.6890625357627869,0.0019791722297668457,0.68708336353302,0.6910417079925537,0.0,0.0,2
joint_action_decision_agreement_ratio_under_reward_aligned,004_pure_blended_soft_geometry_head_adam,0.6890625357627869,0.0019791722297668457,0.68708336353302,0.6910417079925537,0.0,0.0,2
critic_blended_value_loss_enabled,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_blended_value_loss_enabled,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_blended_value_loss_enabled,004_pure_blended_soft_geometry_head_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_loss_current_batch,004_pure_blended_baseline_adam,0.06576111944325799,0.005158695914516502,0.0606024235287415,0.0709198153577745,0.0,-0.006134364107024955,2
critic_loss_current_batch,004_pure_blended_legacy_hardcap_reference_adam,0.07189548355028295,0.007272976854749549,0.0646225066955334,0.0791684604050325,0.006134364107024955,0.0,0
critic_loss_current_batch,004_pure_blended_soft_geometry_head_adam,0.07358358381482365,0.010130782962577148,0.0634528008522465,0.0837143667774008,0.007822464371565648,0.0016881002645406928,0
critic_loss_heldout_batch,004_pure_blended_baseline_adam,0.012618807455874001,0.0021654018812114007,0.0104534055746626,0.0147842093370854,0.0,0.00027668197165304966,0
critic_loss_heldout_batch,004_pure_blended_legacy_hardcap_reference_adam,0.01234212548422095,0.0009015068070896502,0.0114406186771313,0.0132436322913106,-0.00027668197165304966,0.0,0
critic_loss_heldout_batch,004_pure_blended_soft_geometry_head_adam,0.0110807423030824,0.0019020540223988998,0.0091786882806835,0.0129827963254813,-0.0015380651527916005,-0.0012613831811385508,2
would_reject_rate,004_pure_blended_baseline_adam,0.6339285714285714,0.011309523809523825,0.6226190476190476,0.6452380952380953,0.0,0.0017857142857143349,0
would_reject_rate,004_pure_blended_legacy_hardcap_reference_adam,0.6321428571428571,0.025000000000000022,0.6071428571428571,0.6571428571428571,-0.0017857142857143349,0.0,0
would_reject_rate,004_pure_blended_soft_geometry_head_adam,0.6196428571428572,0.023214285714285743,0.5964285714285714,0.6428571428571429,-0.01428571428571429,-0.012499999999999956,2
backbone_active_preconditioner_p95,004_pure_blended_baseline_adam,835908.5999999755,16844.91249999532,819063.6874999802,852753.5124999708,0.0,-27535.764062502887,0
backbone_active_preconditioner_p95,004_pure_blended_legacy_hardcap_reference_adam,863444.3640624784,28803.28906249639,834641.074999982,892247.6531249748,27535.764062502887,0.0,0
backbone_active_preconditioner_p95,004_pure_blended_soft_geometry_head_adam,618160.6078124775,6870.948437478219,611289.6593749993,625031.5562499558,-217747.99218749796,-245283.75625000085,2
backbone_active_preconditioner_p99,004_pure_blended_baseline_adam,7472675.0,280914.0,7191761.0,7753589.0,0.0,-150677.0,0
backbone_active_preconditioner_p99,004_pure_blended_legacy_hardcap_reference_adam,7623352.0,131298.5,7492053.5,7754650.5,150677.0,0.0,0
backbone_active_preconditioner_p99,004_pure_blended_soft_geometry_head_adam,5202632.25,154048.25,5048584.0,5356680.5,-2270042.75,-2420719.75,2
backbone_clipped_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,-0.09362313988095239,2
backbone_clipped_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.09362313988095239,0.009174665178571427,0.08444847470238095,0.10279780505952381,0.09362313988095239,0.0,0
backbone_clipped_active_fraction,004_pure_blended_soft_geometry_head_adam,0.0,0.0,0.0,0.0,0.0,-0.09362313988095239,2
backbone_soft_geometry_scale_factor_mean,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
backbone_soft_geometry_scale_factor_mean,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
backbone_soft_geometry_scale_factor_mean,004_pure_blended_soft_geometry_head_adam,0.8026444243465904,0.001432916814359697,0.8012115075322307,0.8040773411609501,-0.1973555756534096,-0.1973555756534096,0
backbone_soft_geometry_scale_factor_min,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
backbone_soft_geometry_scale_factor_min,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
backbone_soft_geometry_scale_factor_min,004_pure_blended_soft_geometry_head_adam,0.28572379299543393,0.0006425967172419556,0.285081196278192,0.2863663897126759,-0.7142762070045661,-0.7142762070045661,0
backbone_soft_geometry_trigger_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
backbone_soft_geometry_trigger_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
backbone_soft_geometry_trigger_active_fraction,004_pure_blended_soft_geometry_head_adam,0.06069956508332065,0.005622840952128172,0.05507672413119248,0.06632240603544882,0.06069956508332065,0.06069956508332065,0
backbone_soft_geometry_overflow_stat_mean,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
backbone_soft_geometry_overflow_stat_mean,004_pure_blended_legacy_hardcap_reference_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
backbone_soft_geometry_overflow_stat_mean,004_pure_blended_soft_geometry_head_adam,1.8373871275266063,0.009696836281570365,1.827690291245036,1.8470839638081766,1.8373871275266063,1.8373871275266063,0
critic_backbone_0_weight_layer_active_preconditioner_p95,004_pure_blended_baseline_adam,3445295.2374999877,78819.01250001206,3366476.224999976,3524114.25,0.0,-107877.48749999586,0
critic_backbone_0_weight_layer_active_preconditioner_p95,004_pure_blended_legacy_hardcap_reference_adam,3553172.724999984,98671.7249999838,3454501.0,3651844.4499999676,107877.48749999586,0.0,2
critic_backbone_0_weight_layer_active_preconditioner_p95,004_pure_blended_soft_geometry_head_adam,2487771.75,56266.75,2431505.0,2544038.5,-957523.4874999879,-1065400.9749999838,0
critic_backbone_0_weight_layer_active_preconditioner_p99,004_pure_blended_baseline_adam,10018349.0,473133.0,9545216.0,10491482.0,0.0,-194651.0,0
critic_backbone_0_weight_layer_active_preconditioner_p99,004_pure_blended_legacy_hardcap_reference_adam,10213000.0,653615.0,9559385.0,10866615.0,194651.0,0.0,2
critic_backbone_0_weight_layer_active_preconditioner_p99,004_pure_blended_soft_geometry_head_adam,7306414.667499997,214433.83250000374,7091980.8349999925,7520848.5,-2711934.3325000037,-2906585.3325000037,0
critic_backbone_0_weight_layer_actual_param_delta_norm,004_pure_blended_baseline_adam,0.02231223211357636,0.0009740164969116449,0.021338215616664716,0.023286248610488006,0.0,0.0004498197031872625,0
critic_backbone_0_weight_layer_actual_param_delta_norm,004_pure_blended_legacy_hardcap_reference_adam,0.0218624124103891,0.0010900285028453381,0.02077238390754376,0.022952440913234437,-0.0004498197031872625,0.0,0
critic_backbone_0_weight_layer_actual_param_delta_norm,004_pure_blended_soft_geometry_head_adam,0.008074893893873586,0.00046375390042417784,0.007611139993449407,0.008538647794297763,-0.014237338219702775,-0.013787518516515513,2
critic_backbone_0_weight_layer_soft_geometry_scale_factor,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_0_weight_layer_soft_geometry_scale_factor,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_0_weight_layer_soft_geometry_scale_factor,004_pure_blended_soft_geometry_head_adam,0.28617746851521786,0.0006606963557373446,0.2855167721594805,0.2868381648709552,-0.7138225314847821,-0.7138225314847821,0
critic_backbone_0_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_0_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_0_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_soft_geometry_head_adam,0.0934548242283719,0.0004630865263087411,0.09299173770206315,0.09391791075468063,0.0934548242283719,0.0934548242283719,0
critic_backbone_0_weight_layer_clipped_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,-0.12542993736673774,2
critic_backbone_0_weight_layer_clipped_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.12542993736673774,0.014649020522388062,0.11078091684434968,0.1400789578891258,0.12542993736673774,0.0,0
critic_backbone_0_weight_layer_clipped_active_fraction,004_pure_blended_soft_geometry_head_adam,0.0,0.0,0.0,0.0,0.0,-0.12542993736673774,2
critic_backbone_6_weight_layer_active_preconditioner_p95,004_pure_blended_baseline_adam,4288.016888427735,217.90776977539076,4070.109118652344,4505.924658203126,0.0,-49.95510864257835,1
critic_backbone_6_weight_layer_active_preconditioner_p95,004_pure_blended_legacy_hardcap_reference_adam,4337.971997070314,40.13193359375009,4297.840063476563,4378.103930664063,49.95510864257835,0.0,1
critic_backbone_6_weight_layer_active_preconditioner_p95,004_pure_blended_soft_geometry_head_adam,4257.33994140625,142.12639160156277,4115.213549804687,4399.466333007813,-30.676947021484693,-80.63205566406305,0
critic_backbone_6_weight_layer_active_preconditioner_p99,004_pure_blended_baseline_adam,4853.758989257813,216.54679687499993,4637.212192382813,5070.3057861328125,0.0,-43.83981445312429,0
critic_backbone_6_weight_layer_active_preconditioner_p99,004_pure_blended_legacy_hardcap_reference_adam,4897.598803710936,84.96939941406299,4812.629404296874,4982.568203125,43.83981445312429,0.0,1
critic_backbone_6_weight_layer_active_preconditioner_p99,004_pure_blended_soft_geometry_head_adam,4839.642746582027,298.64480224609406,4540.997944335933,5138.2875488281215,-14.116242675785088,-57.95605712890938,1
critic_backbone_6_weight_layer_actual_param_delta_norm,004_pure_blended_baseline_adam,0.016350163389662546,0.0016434542668451145,0.014706709122817432,0.01799361765650766,0.0,-0.0004800176647092626,2
critic_backbone_6_weight_layer_actual_param_delta_norm,004_pure_blended_legacy_hardcap_reference_adam,0.01683018105437181,0.0012952290708199143,0.015534951983551894,0.018125410125191723,0.0004800176647092626,0.0,0
critic_backbone_6_weight_layer_actual_param_delta_norm,004_pure_blended_soft_geometry_head_adam,0.01673772297466972,0.0016731837664597793,0.01506453920820994,0.0184109067411295,0.0003875595850071738,-9.24580797020888e-05,0
critic_backbone_6_weight_layer_soft_geometry_scale_factor,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_6_weight_layer_soft_geometry_scale_factor,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_6_weight_layer_soft_geometry_scale_factor,004_pure_blended_soft_geometry_head_adam,0.9608218600531916,0.006342301598724509,0.9544795584544671,0.9671641616519161,-0.03917813994680841,-0.03917813994680841,0
critic_backbone_6_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_6_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_6_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_soft_geometry_head_adam,0.09995727539062499,0.02881382533482143,0.07114345005580357,0.12877110072544642,0.09995727539062499,0.09995727539062499,0
critic_backbone_6_weight_layer_clipped_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,-0.11034938267299108,2
critic_backbone_6_weight_layer_clipped_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.11034938267299108,0.004578944614955359,0.10577043805803571,0.11492832728794643,0.11034938267299108,0.0,0
critic_backbone_6_weight_layer_clipped_active_fraction,004_pure_blended_soft_geometry_head_adam,0.0,0.0,0.0,0.0,0.0,-0.11034938267299108,2
critic_backbone_7_weight_layer_active_preconditioner_p95,004_pure_blended_baseline_adam,3698.4854370117187,30.461181640625,3668.0242553710937,3728.9466186523437,0.0,150.0289001464846,0
critic_backbone_7_weight_layer_active_preconditioner_p95,004_pure_blended_legacy_hardcap_reference_adam,3548.456536865234,60.82616577148451,3487.6303710937495,3609.2827026367186,-150.0289001464846,0.0,0
critic_backbone_7_weight_layer_active_preconditioner_p95,004_pure_blended_soft_geometry_head_adam,3885.7621337890623,66.36004638671875,3819.4020874023436,3952.122180175781,187.27669677734366,337.30559692382826,2
critic_backbone_7_weight_layer_active_preconditioner_p99,004_pure_blended_baseline_adam,3906.685490722656,96.13698730468718,3810.5485034179687,4002.822478027343,0.0,133.1174450683593,0
critic_backbone_7_weight_layer_active_preconditioner_p99,004_pure_blended_legacy_hardcap_reference_adam,3773.568045654297,69.40900512695293,3704.1590405273437,3842.9770507812495,-133.1174450683593,0.0,0
critic_backbone_7_weight_layer_active_preconditioner_p99,004_pure_blended_soft_geometry_head_adam,4571.175270996094,301.7237866210935,4269.451484375,4872.899057617187,664.4897802734379,797.6072253417972,2
critic_backbone_7_weight_layer_actual_param_delta_norm,004_pure_blended_baseline_adam,0.0009821721298586843,0.00010329961577164272,0.0008788725140870415,0.001085471745630327,0.0,-1.4774642061508728e-05,1
critic_backbone_7_weight_layer_actual_param_delta_norm,004_pure_blended_legacy_hardcap_reference_adam,0.000996946771920193,0.00018485634874585745,0.0008120904231743355,0.0011818031206660504,1.4774642061508728e-05,0.0,1
critic_backbone_7_weight_layer_actual_param_delta_norm,004_pure_blended_soft_geometry_head_adam,0.0010620879745277178,0.00024215109879150993,0.0008199368757362078,0.0013042390733192276,7.991584466903346e-05,6.514120260752473e-05,0
critic_backbone_7_weight_layer_soft_geometry_scale_factor,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_7_weight_layer_soft_geometry_scale_factor,004_pure_blended_legacy_hardcap_reference_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
critic_backbone_7_weight_layer_soft_geometry_scale_factor,004_pure_blended_soft_geometry_head_adam,0.9766366537588893,0.0026216686798453126,0.974014985079044,0.9792583224387347,-0.02336334624111064,-0.02336334624111064,0
critic_backbone_7_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_7_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.0,0.0,0.0,0.0,0.0,0.0,2
critic_backbone_7_weight_layer_soft_geometry_trigger_active_fraction,004_pure_blended_soft_geometry_head_adam,0.034542410714285716,0.007979910714285715,0.0265625,0.04252232142857143,0.034542410714285716,0.034542410714285716,0
critic_backbone_7_weight_layer_clipped_active_fraction,004_pure_blended_baseline_adam,0.0,0.0,0.0,0.0,0.0,-0.0078125,2
critic_backbone_7_weight_layer_clipped_active_fraction,004_pure_blended_legacy_hardcap_reference_adam,0.0078125,0.0,0.0078125,0.0078125,0.0078125,0.0,0
critic_backbone_7_weight_layer_clipped_active_fraction,004_pure_blended_soft_geometry_head_adam,0.0,0.0,0.0,0.0,0.0,-0.0078125,2
critic_backbone_4_bias_layer_active_preconditioner_p95,004_pure_blended_baseline_adam,3613.1410217285147,165.80480346679565,3447.336218261719,3778.94582519531,0.0,34.72899780273383,1
critic_backbone_4_bias_layer_active_preconditioner_p95,004_pure_blended_legacy_hardcap_reference_adam,3578.412023925781,96.11900634765584,3482.293017578125,3674.5310302734365,-34.72899780273383,0.0,1
critic_backbone_4_bias_layer_active_preconditioner_p95,004_pure_blended_soft_geometry_head_adam,3500.294702148436,84.22510986328211,3416.069592285154,3584.5198120117184,-112.84631958007822,-78.11732177734439,0
critic_backbone_4_bias_layer_active_preconditioner_p99,004_pure_blended_baseline_adam,4503.332387695313,165.87285156249982,4337.459536132813,4669.2052392578125,0.0,69.05156005859499,1
critic_backbone_4_bias_layer_active_preconditioner_p99,004_pure_blended_legacy_hardcap_reference_adam,4434.280827636718,412.5681030273445,4021.7127246093733,4846.848930664062,-69.05156005859499,0.0,1
critic_backbone_4_bias_layer_active_preconditioner_p99,004_pure_blended_soft_geometry_head_adam,4070.6005224609376,53.38015136718741,4017.22037109375,4123.980673828125,-432.73186523437516,-363.6803051757802,0
critic_backbone_4_bias_layer_actual_param_delta_norm,004_pure_blended_baseline_adam,0.0013260095230569796,0.00018222121205846117,0.0011437883109985186,0.001508230735115441,0.0,-7.706140708510891e-05,1
critic_backbone_4_bias_layer_actual_param_delta_norm,004_pure_blended_legacy_hardcap_reference_adam,0.0014030709301420885,0.0001217066780165103,0.0012813642521255783,0.001524777608158599,7.706140708510891e-05,0.0,0
critic_backbone_4_bias_layer_actual_param_delta_norm,004_pure_blended_soft_geometry_head_adam,0.0013293012201237226,0.00018886658965909324,0.0011404346304646294,0.0015181678097828158,3.2916970667428618e-06,-7.376971001836605e-05,1
critic_backbone_4_bias_layer_soft_geometry_scale_factor,004_pure_blended_baseline_adam,1.0,0.0,1.0,1.0,0.0,0.0,2
