epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_candidate_score_mean,theta_candidate_score_std,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_residual_credit_min,theta_residual_credit_max,route_candidate_score_mean,route_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_residual_credit_min,route_residual_credit_max,route_expected_score_mean,route_selected_score_mean,route_decision_agreement_ratio,actual_bs1_rate_when_route_true_gap_positive,actual_bs1_rate_when_route_true_gap_negative,route_score_vector_mean_abs,route_score_vector_std,route_credit_fallback_trigger_count,route_credit_fallback_rate,theta_old_logprob_mean,theta_new_logprob_mean,route_old_logprob_mean,route_new_logprob_mean,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,conditional_policy_consistency_score,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_theta_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9981778860092163,0.35025984048843384,1.5450844764709473,0.9882619976997375,0.1297696977853775,1.2970023155212402,0.4970833361148834,0.4970833361148834,0.49125000834465027,0.49125000834465027,0.4970833361148834,1193.0,1.0,0.0,1.0,1.0,-1.2715657859985185e-08,0.994975745677948,0.004999730736017227,0.0026569091714918613,0.002342824824154377,0.9875488877296448,-1.108022928237915,1.1029787063598633,-1.9025522135507345e-07,0.995085597038269,-0.03212945535778999,0.9879896640777588,-1.1528923511505127,1.1739678382873535,-0.003066684352234006,-0.03519614413380623,0.48030176758766174,0.4991055428981781,0.5329052805900574,0.9897223711013794,0.9947088956832886,0,0.0,-0.6858436465263367,-0.7538707256317139,-0.686707615852356,-0.7072001099586487,0.502916693687439,0.0,0.4974747598171234,0.06802713125944138,0.02049236185848713,1.0,0.0972338616847992,0.5001873522996902,0.00154656287936632,0.0006901708769646575,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.0036908518839481987,0.0036908518839481987,0.0001327532809227705,0.017054982483386993,40,0,1.0,0.0,40,40,0.4970833361148834,0.4970833361148834,0.5,0.0
1,hierarchical_actor_theta_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9789667725563049,0.38596031069755554,1.9274468421936035,0.9968588948249817,0.24896198511123657,1.6701382398605347,0.5099999904632568,0.5099999904632568,0.4937500059604645,0.4937500059604645,0.5099999904632568,1224.0,1.0,0.0,1.0,1.0,-1.2715657859985185e-08,0.9949747323989868,-0.013333003036677837,-0.006958327256143093,-0.0063746776431798935,0.9316160082817078,-1.2854686975479126,1.2895039319992065,9.505577480695138e-08,0.9907287955284119,-0.008495642803609371,0.9483813047409058,-1.372585654258728,1.3447471857070923,-0.01763630472123623,-0.026131950318813324,0.48774510622024536,0.524210512638092,0.537826657295227,0.9897522926330566,0.9947389364242554,0,0.0,-0.628832221031189,-0.7356306910514832,-0.6502284407615662,-0.6860983371734619,0.4891666769981384,0.25,0.5063237547874451,0.10679849237203598,0.035869959741830826,0.9491666555404663,0.5686274766921997,0.5218121409416199,0.003354007538109727,0.0009352340521218139,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.010697078646626324,0.010697078646626324,0.0035118749365210533,0.03600025549530983,40,0,1.0,0.0,40,40,0.5099999904632568,0.5099999904632568,0.5,0.0
2,hierarchical_actor_theta_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,1.063095211982727,0.3609059751033783,1.8889124393463135,1.0267051458358765,0.29563072323799133,1.86557137966156,0.3687500059604645,0.3687500059604645,0.49125000834465027,0.49125000834465027,0.3687500059604645,885.0,1.0,0.0,1.0,1.0,1.2715657859985185e-08,0.9949577450752258,0.2366706281900406,0.09219106286764145,0.14447958767414093,0.8350813984870911,-1.3804948329925537,1.3530304431915283,8.243625302384316e-07,0.9907302856445312,0.09255640208721161,0.8762966990470886,-1.5162208080291748,1.4617536067962646,0.017108513042330742,0.1096649169921875,0.5570621490478516,0.5106382966041565,0.3909774422645569,0.9898347854614258,0.9948216080665588,0,0.0,-0.5508373975753784,-0.5626112818717957,-0.5840484499931335,-0.6051931381225586,0.6166666746139526,0.1111111119389534,0.3706563711166382,0.011773883365094662,0.021144701167941093,0.8691666722297668,0.6282485723495483,0.6046381890773773,0.0013808007328407258,0.000807273448253909,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.01200095326785231,0.01200095326785231,0.0008319124463014305,0.05310041084885597,40,0,1.0,0.0,40,40,0.3687500059604645,0.3687500059604645,0.5,0.0
3,hierarchical_actor_theta_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9937014579772949,0.32877662777900696,2.0799734592437744,1.0693379640579224,0.3514038324356079,2.245048761367798,0.4087499976158142,0.4087499976158142,0.48124998807907104,0.48124998807907104,0.4087499976158142,981.0,1.0,0.0,1.0,1.0,6.993611378902642e-08,0.9949407577514648,0.07248455286026001,0.025256497785449028,0.047228049486875534,0.7032122015953064,-1.4159250259399414,1.3137542009353638,-6.610586211763803e-08,0.9881309866905212,0.18187087774276733,0.7155472040176392,-1.6268274784088135,1.4196836948394775,0.2340313345193863,0.41590216755867004,0.7084607481956482,0.6917431354522705,0.2590799033641815,0.9899084568023682,0.9948955178260803,0,0.0,-0.4209192097187042,-0.4944846034049988,-0.4516163468360901,-0.46509143710136414,0.5316666960716248,0.09604519605636597,0.42792177200317383,0.07356537133455276,0.013475064188241959,0.581250011920929,0.6503567695617676,0.6860924363136292,0.0008626609778730199,0.0035256846628726633,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.013232379898545333,0.013232379898545333,-0.009786753915250301,0.08014324307441711,40,0,1.0,0.0,40,40,0.4087499976158142,0.4087499976158142,0.5,0.0
4,hierarchical_actor_theta_route_candidate_score_credit,hierarchical_actor_separate_theta_route_backbones,0.9738783836364746,0.2878199517726898,2.146009922027588,1.0556334257125854,0.32173973321914673,2.849868059158325,0.3583333194255829,0.3583333194255829,0.4404166638851166,0.4404166638851166,0.3583333194255829,860.0,1.0,0.0,1.0,1.0,-8.265177342536845e-08,0.9949102401733398,0.030824121087789536,0.017393406480550766,0.01343071460723877,0.661897599697113,-1.3750436305999756,1.4096155166625977,-3.515287971822545e-07,0.9858735799789429,0.17414915561676025,0.520391047000885,-1.5501620769500732,1.4662123918533325,0.4537334442138672,0.6278826594352722,0.8186046481132507,0.8235294222831726,0.17771883308887482,0.9898565411567688,0.9948435425758362,0,0.0,-0.38056647777557373,-0.4564434885978699,-0.28075942397117615,-0.3027278482913971,0.5104166865348816,0.13625866174697876,0.3998970687389374,0.07587695866823196,0.021968401968479156,0.4895833432674408,0.39534884691238403,0.7480233311653137,0.0013310080925293733,-0.0017632791759467636,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,40,0,0.0,0.010701916878861083,0.010701916878861083,-0.005118037108331919,0.21466583013534546,40,0,1.0,0.0,40,40,0.3583333194255829,0.3583333194255829,0.5,0.0
