epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_scale_factor_min,layer_soft_geometry_scale_factor_p50,layer_soft_geometry_scale_factor_p95,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat,layer_soft_geometry_overflow_stat_p95
0,critic_backbone.0.weight,3001596,0,0.0,419141.125,2393168.75,9856407.0,90994840.0,419141.125,2393168.75,9856407.0,90994840.0,0.0372987118682691,0.0938086970310126,171.7794690813337,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.4.bias,8960,0,0.0,1568.3155517578125,4194.863891601556,7470.876215820312,89908.140625,1568.3155517578125,4194.863891601556,7470.876215820312,89908.140625,0.003902979414643986,0.00884799046907574,7.357162822995867,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.6.weight,1146880,0,0.0,4928.6708984375,10887.615576171878,19737.66689453125,41811696.0,4928.6708984375,10887.615576171878,19737.66689453125,41811696.0,0.03439392058977059,0.036861090468508856,95.03587940761021,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.bias,8960,0,0.0,1561.555419921875,3418.9450317382802,6853.230791015619,91992.1875,1561.555419921875,3418.9450317382802,6853.230791015619,91992.1875,0.005103871918150357,0.009688758058473468,10.603197343008858,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,critic_backbone.7.weight,8960,0,0.0,12627.0986328125,32679.392871093736,93031.67265624997,15926878.0,12627.0986328125,32679.392871093736,93031.67265624997,15926878.0,0.006188171443396381,0.00498882535445903,17.31051229749407,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.0.weight,3001598,0,0.0,476123.28125,2911340.0,11037536.0,50488332.0,476123.28125,2911340.0,11037536.0,50488332.0,0.0362775785316314,0.27432333502386297,309.04758213588167,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.4.bias,8960,0,0.0,2076.986572265625,5014.712597656249,7844.554565429685,13749.50390625,2076.986572265625,5014.712597656249,7844.554565429685,13749.50390625,0.0017301140768852617,0.0048386462099318,7.5841431243079045,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.6.weight,1146880,0,0.0,4803.0869140625,9460.241259765626,12631.396152343748,24630.138671875,4803.0869140625,9460.241259765626,12631.396152343748,24630.138671875,0.022286218657557453,0.030187065959242837,134.81062197004044,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.bias,8960,0,0.0,1459.3726806640625,2321.678845214843,3039.1095776367183,3892.43505859375,1459.3726806640625,2321.678845214843,3039.1095776367183,3892.43505859375,0.003450079386155786,0.00584735992597416,8.624032781805312,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,critic_backbone.7.weight,8960,0,0.0,2504.0732421875,4391.193530273437,11989.856494140622,27558.923828125,2504.0732421875,4391.193530273437,11989.856494140622,27558.923828125,0.004524437738083569,0.004613469316557582,10.791935559681484,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.0.weight,3001600,0,0.0,418724.4375,2603455.75,9469014.519999966,43330368.0,418724.4375,2603455.75,9469014.519999966,43330368.0,0.032887486261980875,0.29043952588524136,237.36520276750838,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.4.bias,8960,0,0.0,1961.510986328125,4454.258837890624,5982.017817382813,6696.517578125,1961.510986328125,4454.258837890624,5982.017817382813,6696.517578125,0.001954484504780599,0.008025089223935668,11.42247907093593,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.6.weight,1146880,0,0.0,3600.030029296875,5545.611840820314,6646.798969726562,11387.5732421875,3600.030029296875,5545.611840820314,6646.798969726562,11387.5732421875,0.023361488059163094,0.04512263693447624,153.0309656415667,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.bias,8960,0,0.0,1495.318359375,2047.9034057617184,2478.735437011718,2965.22412109375,1495.318359375,2047.9034057617184,2478.735437011718,2965.22412109375,0.002297710524622484,0.006336271606518754,9.417966839245388,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.weight,8960,0,0.0,2348.738037109375,3142.926171874999,5835.182119140601,12650.283203125,2348.738037109375,3142.926171874999,5835.182119140601,12650.283203125,0.002646558592095971,0.004010972238445122,9.225952192715235,1.0,1.0,1.0,1.0,0.0,0.0,0.0
