epoch,offload_active_fraction,theta_positive_fraction,route_credit_weight_mean,route_credit_weight_std,route_credit_effective_fraction,route_credit_effective_count,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment
0,0.5054166913032532,0.4908333420753479,1.0,0.0,0.5054166913032532,2426.0,0.9974360466003418,0.9997870922088623,0.020308148115873337,0.001466127228923142,0.4260416626930237,0.0020610056817531586,-0.006746063940227032
1,0.503125011920929,0.5039583444595337,1.0,0.0,0.503125011920929,2415.0,1.0279648303985596,1.0020864009857178,0.003556216135621071,0.008114945143461227,0.5708333253860474,0.16066253185272217,-0.06733213365077972
2,0.44333335757255554,0.5043750405311584,1.0,0.0,0.44333335757255554,2128.0,1.0479793548583984,1.0242910385131836,-0.023098189383745193,-0.010753792710602283,0.4504166841506958,0.22274436056613922,0.14882566034793854
3,0.3712500035762787,0.5166666507720947,1.0,0.0,0.3712500035762787,1782.0,1.0526467561721802,1.0604767799377441,-0.031093349680304527,-0.03768719732761383,0.3631249964237213,0.34455668926239014,0.22820644080638885
4,0.31437501311302185,0.53083336353302,1.0,0.0,0.31437501311302185,1509.0,1.045785903930664,1.0833536386489868,-0.031135737895965576,-0.060550618916749954,0.22083333134651184,0.3207422196865082,0.014336829073727131
5,0.28104168176651,0.5391666889190674,1.0,0.0,0.28104168176651,1349.0,1.0270329713821411,1.0753706693649292,-0.015860717743635178,-0.05464266613125801,0.1693750023841858,0.24610823392868042,0.11164217442274094
6,0.2710416615009308,0.5406250357627869,1.0,0.0,0.2710416615009308,1301.0,1.0256682634353638,1.0595743656158447,-0.015222419053316116,-0.041733790189027786,0.1458333432674408,0.20215219259262085,-0.11728151142597198
7,0.2639583349227905,0.5604166984558105,1.0,0.0,0.2639583349227905,1267.0,1.0185097455978394,1.0362842082977295,-0.011747583746910095,-0.0181887149810791,0.11145833879709244,0.17442777752876282,-0.010821964591741562
8,0.2658333480358124,0.5764583349227905,1.0,0.0,0.2658333480358124,1276.0,1.0172827243804932,1.0324978828430176,-0.010002603754401207,-0.01062228437513113,0.11791666597127914,0.16379310190677643,-0.07013366371393204
9,0.26520833373069763,0.5716666579246521,1.0,0.0,0.26520833373069763,1273.0,1.0208032131195068,1.0244083404541016,-0.013924991711974144,-0.008930228650569916,0.11937500536441803,0.12411626428365707,0.05646194517612457
10,0.2629166841506958,0.5664583444595337,1.0,0.0,0.2629166841506958,1262.0,1.024850845336914,1.0302507877349854,-0.016917966306209564,-0.00721596647053957,0.12833333015441895,0.14580032229423523,0.046601131558418274
11,0.2641666829586029,0.5720833539962769,1.0,0.0,0.2641666829586029,1268.0,1.00894296169281,1.0210239887237549,-0.001581117045134306,-0.002646977547556162,0.11937500536441803,0.12145110964775085,-0.07166935503482819
