epoch,policy_surrogate_mode,actor_structure_mode,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_clip_fraction,route_clip_fraction,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,9.53674295089968e-09,0.9999997615814209,8.648324723026235e-09,0.9999998211860657,2426.0,0.0,-0.0024455133825540543,0.0007604418788105249,0.3109526038169861,0.4260416626930237,0.0020610056817531586,0.5054166913032532,0.5054166913032532
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,2.38418573772492e-09,0.9999998211860657,-2.013970679115573e-08,0.9999999403953552,2415.0,0.0,0.013067618943750858,0.0009212280856445432,0.07049695402383804,0.5708333253860474,0.16066253185272217,0.503125011920929,0.503125011920929
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,4.76837147544984e-09,0.9999999403953552,-7.170483762308777e-09,0.9999999403953552,2128.0,0.0,0.006574028637260199,0.006964841391891241,1.0594464540481567,0.4504166841506958,0.22274436056613922,0.44333335757255554,0.44333335757255554
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.5497208849524213e-08,0.9999999403953552,-1.6055123897018575e-09,1.0,1782.0,0.0,0.0012835005763918161,0.01874065399169922,14.601090431213379,0.3631249964237213,0.34455668926239014,0.3712500035762787,0.3712500035762787
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.2715657859985185e-08,1.0000001192092896,6.3199094846311255e-09,0.9999999403953552,1509.0,0.0,0.0009721454116515815,0.02132519520819187,21.935993194580078,0.22083333134651184,0.3207422196865082,0.31437501311302185,0.31437501311302185
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.9868215961338365e-09,1.0,-2.827796441451369e-09,1.0,1349.0,0.0,0.007837353274226189,0.027996087446808815,3.5721306800842285,0.1693750023841858,0.24610823392868042,0.28104168176651,0.28104168176651
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,4.76837147544984e-09,1.0,-8.796380512876567e-09,1.0,1301.0,0.0,0.007709382567554712,0.004794006235897541,0.621839702129364,0.1458333432674408,0.20215219259262085,0.2710416615009308,0.2710416615009308
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,2.6226043559063328e-08,0.9999999403953552,1.2043242847425972e-08,0.9999999403953552,1267.0,0.0,0.007104640826582909,0.016806593164801598,2.3655762672424316,0.11145833879709244,0.17442777752876282,0.2639583349227905,0.2639583349227905
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,9.53674295089968e-09,1.0,-4.4843617708067995e-09,1.0,1276.0,0.0,0.008656686171889305,0.018273035064339638,2.1108555793762207,0.11791666597127914,0.16379310190677643,0.2658333480358124,0.2658333480358124
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.7881394143159923e-08,0.9999998211860657,6.742395086689612e-09,1.0,1273.0,0.0,0.0035158125683665276,0.0024600850883871317,0.6997182369232178,0.11937500536441803,0.12411626428365707,0.26520833373069763,0.26520833373069763
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-7.947286384535346e-09,1.0,8.312533772425468e-09,0.9999999403953552,1262.0,0.0,0.007796407677233219,0.011708156205713749,1.5017354488372803,0.12833333015441895,0.14580032229423523,0.2629166841506958,0.2629166841506958
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.1126200405442432e-08,1.0000001192092896,1.5042181944480149e-09,0.9999999403953552,1268.0,0.0,0.004090582486242056,0.005625560879707336,1.3752436637878418,0.11937500536441803,0.12145110964775085,0.2641666829586029,0.2641666829586029
