epoch,policy_surrogate_mode,actor_structure_mode,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.00035030491207440457,0.00033282293937060916,-0.0003013125633905085,-0.00026064854497625286,0.0,0.00030115197420985037,0.07385832644867604,0.0821469442348829,0.06890912283881745,0.0567407038037201,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,2.0827129083045294e-05,2.0827129083045294e-05,-0.0011981792049482465,0.0013089312706142664,70,0,1.0,0.0,70,70,0.5054166913032532,0.5054166913032532,0.5,0.0
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-4.6342789002145375e-05,-1.2092012132468101e-05,8.896591371012618e-05,0.00010961174003958669,0.0,0.0002662596512111902,0.06557494885440814,0.08489949927566658,0.0878157733145775,0.09198963971429519,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,3.7400305830357997e-06,3.7400305830357997e-06,-0.00472154188901186,0.002377669559791684,70,0,1.0,0.0,70,70,0.503125011920929,0.503125011920929,0.5,0.0
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00028573734590671456,-0.0008531178893723076,0.0003358245708308719,0.0009648391196346243,0.0,0.00031396465710713527,0.060021853192016306,0.08815660221236492,0.09757096954823176,0.10510539710917496,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00017469857822496643,0.00017469857822496643,-0.0023852670565247536,0.005008498672395945,70,0,1.0,0.0,70,70,0.44333335757255554,0.44333335757255554,0.5,0.0
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0007045090427189799,-0.0024482314533088357,0.000759468870715604,0.0027287591136493056,0.0,0.00032049348135063024,0.055421653485017916,0.08992265716682034,0.09223900643696178,0.12867024170627378,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.000392827663039189,-0.000392827663039189,-0.009399639442563057,0.003266662824898958,70,0,1.0,0.0,70,70,0.3712500035762787,0.3712500035762787,0.5,0.0
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0007080139423213236,-0.004253851360200705,0.0007610491200726496,0.004603664153579042,0.0,0.00028070368831062555,0.04778805636931419,0.09302017982304946,0.08242425669529581,0.13474042323105664,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00039713961765041206,-0.00039713961765041206,-0.009851658716797829,0.0038401132915169,70,0,1.0,0.0,70,70,0.31437501311302185,0.31437501311302185,0.5,0.0
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00042581301270599526,-0.004158960233832789,0.00046868627045374263,0.0047037395450648285,0.0,0.00021449981317605955,0.04385525593215584,0.08774535766543592,0.07790943580936241,0.15954346471341063,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0002946656659592658,-0.0002946656659592658,-0.007347423583269119,0.00606987439095974,70,0,1.0,0.0,70,70,0.28104168176651,0.28104168176651,0.5,0.0
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00039618546840886537,-0.0037138992994316922,0.0004341739294042262,0.004465663498766454,0.0,0.00015693436741587774,0.04208823702752963,0.07397854757701584,0.07587349737779236,0.14336416772281163,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00046262822364836,0.00046262822364836,-0.0024216664023697376,0.017542319372296333,70,0,1.0,0.0,70,70,0.2710416615009308,0.2710416615009308,0.5,0.0
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0003728090707487094,-0.002439854646218009,0.000395785837080049,0.0031174404010276442,0.0,9.522768803955322e-05,0.0367411607941661,0.06860735245051676,0.06830802802032959,0.13106726780656378,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00024382019962234023,-0.00024382019962234023,-0.00379275344312191,0.0036181635223329067,70,0,1.0,0.0,70,70,0.2639583349227905,0.2639583349227905,0.5,0.0
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.0003783283112690177,-0.0015838052750041243,0.00040759559823137743,0.0024357591070124076,0.0,9.746548566909041e-05,0.03612038522796727,0.06305020488081582,0.07012107044602836,0.1417064520146434,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00015551950236840638,0.00015551950236840638,-0.01647450588643551,0.01797112636268139,70,0,1.0,0.0,70,70,0.2658333480358124,0.2658333480358124,0.5,0.0
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-0.00037618722448574515,-0.0016976456618197388,0.00040220429938407116,0.0020220910316441276,0.0,8.33995330270097e-05,0.03286514306753293,0.04606873310730283,0.06634612593069868,0.09792513755357188,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.000245821578417755,-0.000245821578417755,-0.009435608051717281,0.00729266507551074,70,0,1.0,0.0,70,70,0.26520833373069763,0.26520833373069763,0.5,0.0
