epoch,offload_active_fraction,route_logprob_active_fraction,route_residual_credit_mean,route_residual_credit_std,route_expected_score_mean,route_selected_score_mean,route_ratio_mean,route_approx_kl,route_clip_fraction,advantage_action_alignment
0,0.5054166913032532,0.5054166913032532,0.02715572901070118,0.9880446791648865,-0.0029103022534400225,0.024245426058769226,0.9997870922088623,0.001466127228923142,0.0020610056817531586,-0.006746063940227032
1,0.503125011920929,0.503125011920929,-0.008760273456573486,0.9569701552391052,-0.0064711966551840305,-0.015231466852128506,1.0020864009857178,0.008114945143461227,0.16066253185272217,-0.06733213365077972
2,0.44333335757255554,0.44333335757255554,-0.032367266714572906,0.9130241870880127,-0.017448529601097107,-0.049815792590379715,1.0242910385131836,-0.010753792710602283,0.22274436056613922,0.14882566034793854
3,0.3712500035762787,0.3712500035762787,-0.037438664585351944,0.8435558080673218,-0.02825205586850643,-0.06569071859121323,1.0604767799377441,-0.03768719732761383,0.34455668926239014,0.22820644080638885
4,0.31437501311302185,0.31437501311302185,-0.008932352997362614,0.7117810249328613,-0.05070814862847328,-0.05964050069451332,1.0833536386489868,-0.060550618916749954,0.3207422196865082,0.014336829073727131
5,0.28104168176651,0.28104168176651,-0.02550429478287697,0.579257071018219,-0.06342554092407227,-0.08892983198165894,1.0753706693649292,-0.05464266613125801,0.24610823392868042,0.11164217442274094
6,0.2710416615009308,0.2710416615009308,-0.019643303006887436,0.501615047454834,-0.06105389818549156,-0.080697201192379,1.0595743656158447,-0.041733790189027786,0.20215219259262085,-0.11728151142597198
7,0.2639583349227905,0.2639583349227905,-0.02303984947502613,0.42288294434547424,-0.08666684478521347,-0.10970669239759445,1.0362842082977295,-0.0181887149810791,0.17442777752876282,-0.010821964591741562
8,0.2658333480358124,0.2658333480358124,-0.03261027857661247,0.4083154797554016,-0.062185198068618774,-0.09479547291994095,1.0324978828430176,-0.01062228437513113,0.16379310190677643,-0.07013366371393204
9,0.26520833373069763,0.26520833373069763,-0.004966254346072674,0.354587584733963,-0.07830236107110977,-0.08326861262321472,1.0244083404541016,-0.008930228650569916,0.12411626428365707,0.05646194517612457
10,0.2629166841506958,0.2629166841506958,-0.021074999123811722,0.3569214344024658,-0.066878542304039,-0.08795353770256042,1.0302507877349854,-0.00721596647053957,0.14580032229423523,0.046601131558418274
11,0.2641666829586029,0.2641666829586029,-0.005512723699212074,0.3230336904525757,-0.08123473823070526,-0.08674746006727219,1.0210239887237549,-0.002646977547556162,0.12145110964775085,-0.07166935503482819
